學年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師平均每週授課時數-教授,專任教師平均每週授課時數-副教授,專任教師平均每週授課時數-助理教授,專任教師平均每週授課時數-講師,專任教師平均每週授課時數-其他教師
106,公立,一般大學,0001,國立政治大學,7.11,7.26,6.87,13.80,5.33
106,公立,一般大學,0002,國立清華大學,5.62,6.97,6.55,13.11,2
106,公立,一般大學,0003,國立臺灣大學,15.84,18.26,16.18,19.79,9
106,公立,一般大學,0004,國立臺灣師範大學,7.27,8.46,7.78,12.98,0
106,公立,一般大學,0005,國立成功大學,7.58,8.70,8.06,12.05,5.33
106,公立,一般大學,0006,國立中興大學,7.82,9.35,9.35,11.60,4.26
106,公立,一般大學,0007,國立陽明交通大學,5.01,6.25,6.94,11.37,3.20
106,公立,一般大學,0008,國立中央大學,6.10,7.69,7.84,12.36,3.50
106,公立,一般大學,0009,國立中山大學,8.95,10.66,9.64,13.33,3.50
106,公立,一般大學,0012,國立臺灣海洋大學,8.73,10.66,10.95,15.71,2.86
106,公立,一般大學,0013,國立中正大學,7.08,8.17,7.68,11.95,4.67
106,公立,一般大學,0014,國立高雄師範大學,8.16,9.58,9.87,7,2
106,公立,一般大學,0015,國立彰化師範大學,8.95,10,10.15,12,4
106,公立,一般大學,0016,國立陽明大學,5.52,7.26,7.32,8.86,3.45
106,公立,一般大學,0017,國立臺北大學,9.10,10.31,9.33,15.27,8.50
106,公立,一般大學,0018,國立嘉義大學,11.38,12.18,13.11,14.35,2
106,公立,一般大學,0019,國立高雄大學,10.48,11.42,11.59,13.33,4
106,公立,一般大學,0020,國立東華大學,9.41,10.99,11.45,16.09,0
106,公立,一般大學,0021,國立暨南國際大學,7.99,9.51,10.15,15.82,9
106,公立,技專校院,0022,國立臺灣科技大學,5.54,6.02,5.47,5.63,2
106,公立,技專校院,0023,國立雲林科技大學,9.41,10.78,10.96,13.36,3.50
106,公立,技專校院,0024,國立屏東科技大學,9.70,10.63,12.29,13.29,3
106,公立,技專校院,0025,國立臺北科技大學,8.14,9.83,8.70,14.54,8.50
106,公立,技專校院,0026,國立高雄第一科技大學,9.27,9.89,9.93,10.54,3.33
106,公立,技專校院,0027,國立高雄應用科技大學,11.48,12.47,13.11,13.40,12.71
106,公立,一般大學,0028,國立臺北藝術大學,10.09,11.73,12.27,12.81,0
106,公立,一般大學,0029,國立臺灣藝術大學,10.86,11.54,11.78,10.66,0
106,公立,一般大學,0030,國立臺東大學,9.46,10.39,10.45,12.88,0
106,公立,一般大學,0031,國立宜蘭大學,11.15,12.45,12.54,12.76,4
106,公立,一般大學,0032,國立聯合大學,10.28,12.21,12.96,13.51,5
106,公立,技專校院,0033,國立虎尾科技大學,10.35,11.33,11.58,12.43,9.50
106,公立,技專校院,0034,國立高雄海洋科技大學,11.23,11.95,12.26,11.44,1
106,公立,一般大學,0035,國立臺南藝術大學,8.69,10.62,10.79,13.35,0
106,公立,一般大學,0036,國立臺南大學,10.81,11.06,11.65,13,2
106,公立,一般大學,0037,國立臺北教育大學,10.07,10.98,10.16,12.76,1
106,公立,一般大學,0039,國立臺中教育大學,10.42,12.41,11.66,12.42,2
106,公立,技專校院,0042,國立澎湖科技大學,10.96,12,16.28,15.77,6
106,公立,技專校院,0043,國立勤益科技大學,11.51,13.61,13.96,13.03,12.43
106,公立,一般大學,0044,國立體育大學,13.33,15.93,15.28,13.22,25.75
106,公立,技專校院,0046,國立臺北護理健康大學,9.66,12.23,11.18,11.75,14.85
106,公立,技專校院,0047,國立高雄餐旅大學,12.29,13.11,15.75,14.45,11.50
106,公立,一般大學,0048,國立金門大學,12.21,12.41,12.60,10.70,13
106,公立,一般大學,0049,國立臺灣體育運動大學,10.05,13.42,13.59,13.90,10.55
106,公立,技專校院,0050,國立臺中科技大學,11.55,13.29,13.11,15.50,0
106,公立,技專校院,0051,國立臺北商業大學,12.50,13.70,14.29,14.13,5.64
106,公立,一般大學,0052,國立屏東大學,10.22,11.82,11.66,12.76,5
106,公立,技專校院,0144,國立臺灣戲曲學院,6.33,12,11.73,13.57,10
106,公立,技專校院,0221,國立臺南護理專科學校,9.25,13.93,12.73,11.30,15.22
106,公立,技專校院,0222,國立臺東專科學校,13,16.30,15.21,17.38,0
106,私立,一般大學,1001,東海大學,8.58,10.95,10.80,12.65,10.86
106,私立,一般大學,1002,輔仁大學,9.67,11.39,11.22,11.72,3.25
