學年度,設立別,學校類別,學校統計處代碼,學校名稱,是否為教育部全部授權自審學校,專任教師升等方式,專任教師申請升等之人數(A),專任教師通過升等之各職級人數-升等教授人數(B),專任教師通過升等之各職級人數-升等副教授人數(C),專任教師通過升等之各職級人數-升等助理教授人數(D),專任教師通過升等之各職級人數-小計((E)=B+C+D),專任教師通過升等比率(%)(F)=(E/A)*100%
106,公立,一般大學,0001,國立政治大學,是,專門著作,40,16,24,0,40,100
106,公立,一般大學,0001,國立政治大學,是,學位論文(文憑送審),1,0,0,1,1,100
106,公立,一般大學,0002,國立清華大學,是,專門著作,55,31,24,0,55,100
106,公立,一般大學,0003,國立臺灣大學,是,專門著作,116,49,44,1,94,81.03
106,公立,一般大學,0004,國立臺灣師範大學,是,專門著作,53,26,21,0,47,88.68
106,公立,一般大學,0004,國立臺灣師範大學,是,藝術作品(作品及成就),1,1,0,0,1,100
106,公立,一般大學,0005,國立成功大學,是,專門著作,84,31,43,0,74,88.10
106,公立,一般大學,0005,國立成功大學,是,藝術作品(作品及成就),1,0,1,0,1,100
106,公立,一般大學,0005,國立成功大學,是,學位論文(文憑送審),2,0,0,0,0,0
106,公立,一般大學,0006,國立中興大學,是,專門著作,36,12,18,2,32,88.89
106,公立,一般大學,0007,國立陽明交通大學,是,專門著作,32,13,11,1,25,78.13
106,公立,一般大學,0008,國立中央大學,是,專門著作,28,10,12,0,22,78.57
106,公立,一般大學,0009,國立中山大學,是,專門著作,30,9,21,0,30,100
106,公立,一般大學,0009,國立中山大學,是,藝術作品(作品及成就),2,1,1,0,2,100
106,公立,一般大學,0012,國立臺灣海洋大學,是,專門著作,33,13,15,0,28,84.85
106,公立,一般大學,0013,國立中正大學,是,專門著作,28,18,8,0,26,92.86
106,公立,一般大學,0014,國立高雄師範大學,是,專門著作,17,9,7,0,16,94.12
106,公立,一般大學,0014,國立高雄師範大學,是,藝術作品(作品及成就),2,0,1,0,1,50
106,公立,一般大學,0015,國立彰化師範大學,是,專門著作,15,10,3,0,13,86.67
106,公立,一般大學,0015,國立彰化師範大學,是,應用科技(技術報告),1,0,0,0,0,0
106,公立,一般大學,0016,國立陽明大學,是,專門著作,19,12,6,0,18,94.74
106,公立,一般大學,0017,國立臺北大學,是,專門著作,23,11,12,0,23,100
106,公立,一般大學,0018,國立嘉義大學,是,專門著作,19,8,6,0,14,73.68
