學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,專任輔導人員數,兼任輔導人員數,專任就業輔導人員數,兼任就業輔導人員數
105,2,公立,一般大學,0001,國立政治大學,12,15,0,0
105,2,公立,一般大學,0002,國立清華大學,8,15,0,0
105,2,公立,一般大學,0003,國立臺灣大學,17,15,0,1
105,2,公立,一般大學,0004,國立臺灣師範大學,9,16,1,0
105,2,公立,一般大學,0005,國立成功大學,13,2,0,0
105,2,公立,一般大學,0006,國立中興大學,7,10,1,0
105,2,公立,一般大學,0007,國立陽明交通大學,15,22,0,0
105,2,公立,一般大學,0008,國立中央大學,7,8,0,0
105,2,公立,一般大學,0009,國立中山大學,4,2,0,0
105,2,公立,一般大學,0012,國立臺灣海洋大學,4,7,0,0
105,2,公立,一般大學,0013,國立中正大學,5,14,3,0
105,2,公立,一般大學,0014,國立高雄師範大學,2,5,0,0
105,2,公立,一般大學,0015,國立彰化師範大學,4,20,0,1
105,2,公立,一般大學,0016,國立陽明大學,3,9,0,0
105,2,公立,一般大學,0017,國立臺北大學,5,13,1,0
105,2,公立,一般大學,0018,國立嘉義大學,5,10,0,0
105,2,公立,一般大學,0019,國立高雄大學,3,5,0,0
105,2,公立,一般大學,0020,國立東華大學,7,12,0,0
105,2,公立,一般大學,0021,國立暨南國際大學,3,8,1,1
105,2,公立,技專校院,0022,國立臺灣科技大學,4,9,1,0
105,2,公立,技專校院,0023,國立雲林科技大學,5,10,0,0
105,2,公立,技專校院,0024,國立屏東科技大學,6,3,0,0
105,2,公立,技專校院,0025,國立臺北科技大學,5,5,0,0
105,2,公立,技專校院,0026,國立高雄第一科技大學,5,3,0,0
105,2,公立,技專校院,0027,國立高雄應用科技大學,5,5,0,0
105,2,公立,一般大學,0028,國立臺北藝術大學,4,5,0,0
105,2,公立,一般大學,0029,國立臺灣藝術大學,3,5,0,0
105,2,公立,一般大學,0030,國立臺東大學,2,7,0,0
105,2,公立,一般大學,0031,國立宜蘭大學,5,4,0,1
105,2,公立,一般大學,0032,國立聯合大學,3,5,1,2
105,2,公立,技專校院,0033,國立虎尾科技大學,4,6,0,0
105,2,公立,技專校院,0034,國立高雄海洋科技大學,3,7,0,0
105,2,公立,一般大學,0035,國立臺南藝術大學,2,2,0,0
105,2,公立,一般大學,0036,國立臺南大學,3,17,0,0
105,2,公立,一般大學,0037,國立臺北教育大學,3,12,0,0
105,2,公立,一般大學,0038,國立新竹教育大學,3,13,0,0
105,2,公立,一般大學,0039,國立臺中教育大學,3,14,0,0
105,2,公立,技專校院,0042,國立澎湖科技大學,1,1,0,0
105,2,公立,技專校院,0043,國立勤益科技大學,10,7,0,0
105,2,公立,一般大學,0044,國立體育大學,2,2,0,0
105,2,公立,技專校院,0046,國立臺北護理健康大學,3,7,0,0
105,2,公立,技專校院,0047,國立高雄餐旅大學,3,4,0,0
105,2,公立,一般大學,0048,國立金門大學,1,5,0,0
105,2,公立,一般大學,0049,國立臺灣體育運動大學,2,0,0,0
105,2,公立,技專校院,0050,國立臺中科技大學,5,10,1,0
105,2,公立,技專校院,0051,國立臺北商業大學,2,12,1,0
105,2,公立,一般大學,0052,國立屏東大學,3,8,0,0
105,2,公立,技專校院,0144,國立臺灣戲曲學院,1,0,0,0
105,2,公立,技專校院,0221,國立臺南護理專科學校,1,2,0,0
105,2,公立,技專校院,0222,國立臺東專科學校,1,1,0,0
105,2,私立,一般大學,1001,東海大學,9,5,2,33
105,2,私立,一般大學,1002,輔仁大學,9,14,2,0
105,2,私立,一般大學,1003,東吳大學,10,19,1,5
105,2,私立,一般大學,1004,中原大學,9,9,0,3
105,2,私立,一般大學,1005,淡江大學學校財團法人淡江大學,11,32,2,0
105,2,私立,一般大學,1006,中國文化大學,9,12,7,1
105,2,私立,一般大學,1007,逢甲大學,4,6,2,1
105,2,私立,一般大學,1008,靜宜大學,7,14,0,0
105,2,私立,一般大學,1009,長庚大學,6,3,0,0
105,2,私立,一般大學,1010,元智大學,3,7,1,0
