學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內專任教師支給數額情形-教授-平均支給數額,編制內專任教師支給數額情形-教授-與公立學校支給數額相較之比率(%),編制內專任教師支給數額情形-副教授-平均支給數額,編制內專任教師支給數額情形-副教授-與公立學校支給數額相較之比率(%),編制內專任教師支給數額情形-助理教授-平均支給數額,編制內專任教師支給數額情形-助理教授-與公立學校支給數額相較之比率(%),編制內專任教師支給數額情形-講師-平均支給數額,編制內專任教師支給數額情形-講師-與公立學校支給數額相較之比率(%)
107,私立,一般大學,1001,東海大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1002,輔仁大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1003,東吳大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1004,中原大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1006,中國文化大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1007,逢甲大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1008,靜宜大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1009,長庚大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1010,元智大學,"100,165",100,"81,048",100,"71,067",100,"58,289",100
107,私立,一般大學,1011,中華大學學校財團法人中華大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1012,大葉大學,"94,720",95,"79,690",99,"69,880",99,"57,355",99
107,私立,一般大學,1013,華梵大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1014,義守大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1015,世新大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1016,銘傳大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1017,實踐大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1018,朝陽科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1019,高雄醫學大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1020,南華大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1021,真理大學,"92,360",92,"77,690",96,"68,095",96,"55,680",96
107,私立,一般大學,1022,大同大學,"83,270",83,"65,440",81,"59,325",84,"43,210",74
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1024,崑山科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
