學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),學費收費基準,雜費收費基準,備註
107,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),17320,7570,
107,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),17320,7570,
107,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),17320,7570,
107,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),17320,7570,
107,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),17320,7570,
107,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),17480,10950,
107,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),17480,10950,
107,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),17480,10950,
107,公立,一般大學,0001,國立政治大學,03214051,新聞學系,學士班(日間),17480,10950,
107,公立,一般大學,0001,國立政治大學,03213052,廣播電視學系,學士班(日間),17480,10950,
107,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播學士學位學程,學士班(日間),17480,10950,
107,公立,一般大學,0001,國立政治大學,03211056,傳播學院大一大二不分系,學士班(日間),17480,10950,
107,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),17480,10950,
107,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),17480,10950,
107,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),17320,7190,
107,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),17320,7570,
107,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),17320,7570,
107,公立,一般大學,0001,國立政治大學,03143043,地政學系,學士班(日間),17480,10950,
107,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,05399042,理學院學士班,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,99999075,清華學院學士班,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,學士班(日間),15400,6380,
107,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,01111112,竹師教育學院學士班,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,01141090,體育學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,01131084,教育與學習科技學系,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,02151096,音樂學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,02191113,藝術學院學士班,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,05111106,應用科學系,學士班(日間),15550,9730,
107,公立,一般大學,0002,國立清華大學,05411092,應用數學系,學士班(日間),15550,9730,
107,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,04211B01,學士後法律學士學位學程,學士班(日間),20318,11932,
107,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系國際學生學士班,學士班(日間),35700,14760,
107,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),17990,11270,
