學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間學制學士班學雜費收費基準-醫學系,日間學制學士班學雜費收費基準-牙醫學系,日間學制學士班學雜費收費基準-醫學院,日間學制學士班學雜費收費基準-工學院,日間學制學士班學雜費收費基準-理農學院,日間學制學士班學雜費收費基準-商學院,日間學制學士班學雜費收費基準-文法學院,日間學制學士班學雜費收費基準-其他,日間學制副學士學雜費收費基準(五專後2年、二專)-工業類,日間學制副學士學雜費收費基準(五專後2年、二專)-商管類,日間學制副學士學雜費收費基準(五專後2年、二專)-醫護類,日間學制副學士學雜費收費基準(五專後2年、二專)-其他
106,公立,一般大學,0001,國立政治大學,0,0,0,0,"28,430","24,890","24,510",0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,0,0,0,"28,630","28,630","24,370","24,370",0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,"39,560","36,170","31,050","29,470","30,260","25,610","25,230",0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,0,0,0,"27,600","27,380",0,"23,590",0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,"39,550",0,"31,040","29,490","29,250","25,600","25,210",0,0,0,0,0
106,公立,一般大學,0006,國立中興大學,0,0,"27,880","27,330","27,110","23,740","23,390",0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,0,0,0,"28,990","28,740","28,740","24,770",0,0,0,0,0
106,公立,一般大學,0008,國立中央大學,0,0,0,"28,660","28,440","24,870","24,510",0,0,0,0,0
106,公立,一般大學,0009,國立中山大學,0,0,0,"28,940","28,710","25,130","24,730",0,0,0,0,0
106,公立,一般大學,0012,國立臺灣海洋大學,0,0,0,"27,810","27,590","24,140","24,140",0,0,0,0,0
106,公立,一般大學,0013,國立中正大學,0,0,0,"28,100","27,880","24,400","24,020",0,0,0,0,0
106,公立,一般大學,0014,國立高雄師範大學,0,0,0,"27,590","27,365",0,"23,605",0,0,0,0,0
106,公立,一般大學,0015,國立彰化師範大學,0,0,0,"27,570","27,340","23,950","23,590",0,0,0,0,0
106,公立,一般大學,0016,國立陽明大學,"38,380","35,080","30,110",0,0,0,0,0,0,0,0,0
106,公立,一般大學,0017,國立臺北大學,0,0,0,"26,540",0,"22,510","22,170",0,0,0,0,0
106,公立,一般大學,0018,國立嘉義大學,0,0,0,"24,650","24,440","21,390","21,070",0,0,0,0,0
106,公立,一般大學,0019,國立高雄大學,0,0,0,"26,720","26,510","23,320","23,320",0,0,0,0,0
106,公立,一般大學,0020,國立東華大學,0,0,0,"27,790","27,570","24,100","23,740",0,0,0,0,0
