學年度,設立別,學校類別,學校統計處代碼,學校名稱,在學學生數-小計,在學學生數-男,在學學生數-女,獲弱勢學生助學計畫補助之受惠學生人數-小計,獲弱勢學生助學計畫補助之受惠學生人數-男,獲弱勢學生助學計畫補助之受惠學生人數-女,每千名學生獲弱勢學生助學計畫補助之受惠學生人數比率(‰)
105,公立,一般大學,0001,國立政治大學,16372,7207,9165,243,85,158,14.84
105,公立,一般大學,0002,國立清華大學,12466,8348,4118,240,144,96,19.25
105,公立,一般大學,0003,國立臺灣大學,31783,19084,12699,403,229,174,12.68
105,公立,一般大學,0004,國立臺灣師範大學,15307,6444,8863,218,99,119,14.24
105,公立,一般大學,0005,國立成功大學,21119,13536,7583,536,328,208,25.38
105,公立,一般大學,0006,國立中興大學,15047,9015,6032,426,200,226,28.31
105,公立,一般大學,0007,國立陽明交通大學,14083,10055,4028,250,167,83,17.75
105,公立,一般大學,0008,國立中央大學,11943,7871,4072,253,145,108,21.18
105,公立,一般大學,0009,國立中山大學,9417,5851,3566,234,141,93,24.85
105,公立,一般大學,0012,國立臺灣海洋大學,8707,5980,2727,186,110,76,21.36
105,公立,一般大學,0013,國立中正大學,11535,6542,4993,290,141,149,25.14
105,公立,一般大學,0014,國立高雄師範大學,6608,2865,3743,109,46,63,16.50
105,公立,一般大學,0015,國立彰化師範大學,8192,4147,4045,240,106,134,29.30
105,公立,一般大學,0016,國立陽明大學,4335,2254,2081,57,24,33,13.15
105,公立,一般大學,0017,國立臺北大學,9767,4416,5351,235,87,148,24.06
105,公立,一般大學,0018,國立嘉義大學,12545,6477,6068,494,184,310,39.38
105,公立,一般大學,0019,國立高雄大學,5511,3293,2218,154,76,78,27.94
105,公立,一般大學,0020,國立東華大學,10245,5125,5120,239,95,144,23.33
105,公立,一般大學,0021,國立暨南國際大學,6353,3109,3244,230,84,146,36.20
105,公立,技專校院,0022,國立臺灣科技大學,10729,7518,3211,380,251,129,35.42
105,公立,技專校院,0023,國立雲林科技大學,9752,5868,3884,606,315,291,62.14
105,公立,技專校院,0024,國立屏東科技大學,11350,6092,5258,548,230,318,48.28
105,公立,技專校院,0025,國立臺北科技大學,12568,9205,3363,469,307,162,37.32
105,公立,技專校院,0026,國立高雄第一科技大學,7730,4194,3536,511,190,321,66.11
