學年度,設立別,學校類別,學校統計處代碼,學校名稱,學校「自籌」補助學生相關助學措施之金額-生活助學金,學校「自籌」補助學生相關助學措施之金額-緊急紓困助學金,學校「自籌」補助學生相關助學措施之金額-住宿優惠,學校「自籌」補助學生相關助學措施之金額-工讀助學金,學校「自籌」補助學生相關助學措施之金額-研究生獎助學金
105,公立,一般大學,0001,國立政治大學,8314000,471000,1647809,118644841,85054772
105,公立,一般大學,0002,國立清華大學,2160000,0,999140,20180298,113289675
105,公立,一般大學,0003,國立臺灣大學,31428000,126000,2352566,0,272174839
105,公立,一般大學,0004,國立臺灣師範大學,15630000,1054769,895930,5896324,39630339
105,公立,一般大學,0005,國立成功大學,2148000,850000,569783,14619901,144652552
105,公立,一般大學,0006,國立中興大學,23628000,525000,422150,0,86823907
105,公立,一般大學,0007,國立陽明交通大學,3048000,582890,1038360,11918967,106587311
105,公立,一般大學,0008,國立中央大學,2424000,425000,230820,0,119004964
105,公立,一般大學,0009,國立中山大學,120000,240000,336900,8223984,64466913
105,公立,一般大學,0012,國立臺灣海洋大學,1674000,192000,516300,17739846,46831173
105,公立,一般大學,0013,國立中正大學,3920867,90000,482400,56297198,44982478
105,公立,一般大學,0014,國立高雄師範大學,942000,90000,609380,620983,9535140
105,公立,一般大學,0015,國立彰化師範大學,1746000,780000,569260,11344627,11137554
105,公立,一般大學,0016,國立陽明大學,360000,0,0,3495196,39459660
105,公立,一般大學,0017,國立臺北大學,1080000,344600,642950,10911747,31425264
105,公立,一般大學,0018,國立嘉義大學,1412000,505000,693100,13039843,10724866
105,公立,一般大學,0019,國立高雄大學,120000,237000,544350,0,2070540
105,公立,一般大學,0020,國立東華大學,1464000,129000,1553800,7851837,36590163
105,公立,一般大學,0021,國立暨南國際大學,34884000,200000,351920,8850305,2431643
105,公立,技專校院,0022,國立臺灣科技大學,915000,0,333700,0,0
105,公立,技專校院,0023,國立雲林科技大學,1440000,576000,767545,23118068,25298043
105,公立,技專校院,0024,國立屏東科技大學,360000,0,0,0,0
105,公立,技專校院,0025,國立臺北科技大學,816000,0,1595000,2360800,25350847
105,公立,技專校院,0026,國立高雄第一科技大學,0,0,775300,0,0
105,公立,技專校院,0027,國立高雄應用科技大學,9399910,455000,540000,12643645,9633021
105,公立,一般大學,0028,國立臺北藝術大學,210000,280000,159250,6236818,852000
105,公立,一般大學,0029,國立臺灣藝術大學,360000,185000,314500,10106544,0
105,公立,一般大學,0030,國立臺東大學,1872000,35000,435375,5798564,1500000
105,公立,一般大學,0031,國立宜蘭大學,456000,44000,1039000,8902072,3848123
105,公立,一般大學,0032,國立聯合大學,840000,1050000,378000,8476000,6314674
105,公立,技專校院,0033,國立虎尾科技大學,576000,878000,1207000,10468922,6623953
105,公立,技專校院,0034,國立高雄海洋科技大學,2994000,245000,226200,4833000,2202407
105,公立,一般大學,0035,國立臺南藝術大學,684000,30106,57800,3020263,0
105,公立,一般大學,0036,國立臺南大學,1338000,79000,399200,4011000,0
105,公立,一般大學,0037,國立臺北教育大學,540000,240000,36750,6205239,2261966
105,公立,一般大學,0038,國立新竹教育大學,420000,75000,495220,6569617,4233840
105,公立,一般大學,0039,國立臺中教育大學,4773787,503000,410300,0,6281173
105,公立,技專校院,0042,國立澎湖科技大學,763350,242000,73000,1736016,696000
105,公立,技專校院,0043,國立勤益科技大學,0,720000,0,12770905,0
105,公立,一般大學,0044,國立體育大學,1800000,79940,231320,0,1252500
105,公立,技專校院,0046,國立臺北護理健康大學,216000,300000,809950,2272908,150000
105,公立,技專校院,0047,國立高雄餐旅大學,90000,215000,725340,8691255,1290000
105,公立,一般大學,0048,國立金門大學,336000,67000,1074000,3957282,599231
105,公立,一般大學,0049,國立臺灣體育運動大學,2736000,70000,270000,4051921,607160
105,公立,技專校院,0050,國立臺中科技大學,240000,200000,726100,19803168,2160000
105,公立,技專校院,0051,國立臺北商業大學,726000,1070000,237600,7183000,95000
105,公立,一般大學,0052,國立屏東大學,468000,303000,323680,9145848,269044
105,公立,技專校院,0144,國立臺灣戲曲學院,293760,0,226560,0,0
105,公立,技專校院,0221,國立臺南護理專科學校,78000,95240,460800,302151,0
105,公立,技專校院,0222,國立臺東專科學校,72000,0,216000,357616,0
105,私立,一般大學,1001,東海大學,6477500,699420,2121310,35968103,1728515
105,私立,一般大學,1002,輔仁大學,2341900,13152946,404730,61525424,8978979
105,私立,一般大學,1003,東吳大學,1729200,2868026,453900,48885094,8480916
105,私立,一般大學,1004,中原大學,21800,1830000,657950,24903182,15733423
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,108000,1468147,1962800,51768813,22277736
105,私立,一般大學,1006,中國文化大學,2298000,675922,3498900,23987847,5965003
105,私立,一般大學,1007,逢甲大學,3600000,4703000,846400,372195,7457040
105,私立,一般大學,1008,靜宜大學,1111300,590000,1062000,26299616,6925412
105,私立,一般大學,1009,長庚大學,970500,65000,553700,12539195,23787622
105,私立,一般大學,1010,元智大學,0,5877738,838400,13745580,41641312
105,私立,一般大學,1011,中華大學學校財團法人中華大學,136500,2463400,569100,15595105,2525726
105,私立,一般大學,1012,大葉大學,1084200,1947900,2511046,9091682,14126187
105,私立,一般大學,1013,華梵大學,338900,82000,606800,0,0
105,私立,一般大學,1014,義守大學,16800,300000,3678600,20472277,9175114
105,私立,一般大學,1015,世新大學,6612000,705000,696960,28178139,1351216
105,私立,一般大學,1016,銘傳大學,293200,537000,1627000,20306890,4529600
105,私立,一般大學,1017,實踐大學,547500,374800,702100,30244154,596000
105,私立,技專校院,1018,朝陽科技大學,122355,200000,828000,31733814,10000000
105,私立,一般大學,1019,高雄醫學大學,1792200,155000,643200,9220183,2340400
105,私立,一般大學,1020,南華大學,5338084,275000,1627700,7265587,0
105,私立,一般大學,1021,真理大學,31000,108000,772000,5601778,0
105,私立,一般大學,1022,大同大學,973400,205500,135000,5007647,28000
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,9962,440000,1910100,27117385,52763670
105,私立,技專校院,1024,崑山科技大學,4229,135000,1975400,5183083,8306406
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,264000,305000,6471000,12338850,236000
105,私立,技專校院,1026,樹德科技大學,30338,517000,1524501,19080903,8495574
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,290500,366000,196800,5308703,12736525
105,私立,一般大學,1028,臺北醫學大學,2748300,175000,220000,11695623,33864841
105,私立,一般大學,1029,中山醫學大學,609900,360000,987000,10312112,3903950
105,私立,技專校院,1030,龍華科技大學,1229,517000,272000,15461796,2087675
105,私立,技專校院,1031,輔英科技大學,611354,343920,3707000,7213000,0
105,私立,技專校院,1032,明新學校財團法人明新科技大學,2596,570500,391000,1356619,1260000
105,私立,一般大學,1033,長榮大學,300000,1222728,2213220,5110287,630000
105,私立,技專校院,1034,弘光科技大學,2132000,1930000,952000,8292000,2931666
105,私立,一般大學,1035,中國醫藥大學,2939800,520000,210500,10203965,8455741
105,私立,技專校院,1036,健行學校財團法人健行科技大學,768000,493000,804000,19817149,0
105,私立,技專校院,1037,正修學校財團法人正修科技大學,5091258,688000,1700000,24178195,2912991
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,24000,360000,143000,7780169,2004000
105,私立,一般大學,1039,玄奘大學,496000,290000,1512500,11415339,158500
105,私立,技專校院,1040,建國科技大學,595722,70000,565500,15328972,45000
105,私立,技專校院,1041,明志科技大學,224659,0,36000,2317391,3901520
105,私立,技專校院,1042,高苑科技大學,141118,307000,1511090,2538791,1108644
105,私立,技專校院,1043,大仁科技大學,285000,418652,591000,737168,40000
105,私立,技專校院,1044,聖約翰科技大學,2036246,145000,572000,5462563,1640184
105,私立,技專校院,1045,嶺東科技大學,23439,350000,288000,2707429,2780000
105,私立,技專校院,1046,中國科技大學,240000,0,153000,23180159,94948
