學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學雜費減免人數-小計,學雜費減免人數-低收入戶學生,學雜費減免人數-中低收入戶學生,學雜費減免人數-身心障礙學生及身心障礙人士子女,學雜費減免人數-特殊境遇家庭之子女,學雜費減免人數-原住民學生
105,1,公立,一般大學,0001,國立政治大學,666,110,46,341,21,148
105,2,公立,一般大學,0001,國立政治大學,648,96,49,336,19,148
105,1,公立,一般大學,0002,國立清華大學,494,97,43,291,17,46
105,2,公立,一般大學,0002,國立清華大學,718,127,71,375,25,120
105,1,公立,一般大學,0003,國立臺灣大學,1362,163,87,802,36,274
105,2,公立,一般大學,0003,國立臺灣大學,1311,138,80,791,33,269
105,1,公立,一般大學,0004,國立臺灣師範大學,837,99,62,436,12,228
105,2,公立,一般大學,0004,國立臺灣師範大學,811,85,64,427,13,222
105,1,公立,一般大學,0005,國立成功大學,897,82,100,581,31,103
105,2,公立,一般大學,0005,國立成功大學,866,70,95,578,24,99
105,1,公立,一般大學,0006,國立中興大學,756,71,105,456,33,91
105,2,公立,一般大學,0006,國立中興大學,702,61,91,437,30,83
105,1,公立,一般大學,0007,國立陽明交通大學,494,84,73,285,17,35
105,2,公立,一般大學,0007,國立陽明交通大學,455,77,55,270,18,35
105,1,公立,一般大學,0008,國立中央大學,487,73,40,308,21,45
105,2,公立,一般大學,0008,國立中央大學,471,60,38,310,17,46
105,1,公立,一般大學,0009,國立中山大學,481,74,71,271,21,44
105,2,公立,一般大學,0009,國立中山大學,440,65,66,250,15,44
105,1,公立,一般大學,0012,國立臺灣海洋大學,472,77,64,249,18,64
105,2,公立,一般大學,0012,國立臺灣海洋大學,440,68,54,245,13,60
105,1,公立,一般大學,0013,國立中正大學,580,72,83,318,26,81
105,2,公立,一般大學,0013,國立中正大學,540,68,73,299,22,78
105,1,公立,一般大學,0014,國立高雄師範大學,405,56,61,184,12,92
105,2,公立,一般大學,0014,國立高雄師範大學,380,51,55,181,11,82
105,1,公立,一般大學,0015,國立彰化師範大學,453,55,50,258,16,74
105,2,公立,一般大學,0015,國立彰化師範大學,453,48,53,268,10,74
105,1,公立,一般大學,0016,國立陽明大學,168,14,8,115,4,27
105,2,公立,一般大學,0016,國立陽明大學,158,12,7,109,4,26
105,1,公立,一般大學,0017,國立臺北大學,516,82,46,281,15,92
105,2,公立,一般大學,0017,國立臺北大學,499,77,47,274,12,89
105,1,公立,一般大學,0018,國立嘉義大學,911,110,157,467,35,142
105,2,公立,一般大學,0018,國立嘉義大學,848,98,120,460,34,136
105,1,公立,一般大學,0019,國立高雄大學,337,69,48,161,16,43
