學年度,設立別,學校類別,學校統計處代碼,學校名稱,學校財團法人名稱,類別,性別,姓名,屆數,任期起迄年月日
107,私立,一般大學,1001,東海大學,財團法人東海大學,監察人,男,黃秋雄, ,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,監察人,女,詹彩虹, ,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,王國明,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,杜書伍,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,周德璋,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,林稟彬,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,邱上嘉,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,施壽全,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,女,莊淑芬,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,陳錦生,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,女,游文卿,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,黃成鋒,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,楊金山,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,楊濬中,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,趙元旗,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,女,劉語安,34,2018/04/11~2022/04/10
107,私立,一般大學,1001,東海大學,財團法人東海大學,董事,男,蕭隆昌,34,2018/04/11~2022/04/10
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,監察人,男,吳習, ,2016/12/19~2020/12/18
107,私立,一般大學,1002,輔仁大學,輔仁大學學校財團法人,董事,女,吳韻樂,19,2016/11/13~2020/11/12
