學年度,設立別,學校類別,學校統計處代碼,學校名稱,課程資訊公開網址,採購案件公告網址,校務暨財務公開專區
110,公立,一般大學,0001,國立政治大學,https://qrysub.nccu.edu.tw/,http://financial.nccu.edu.tw/index.php/4_3_1/,http://financial.nccu.edu.tw/
110,公立,一般大學,0002,國立清華大學,http://curricul.site.nthu.edu.tw/p/404-1208-102114.php?Lang=zh-tw,http://info.site.nthu.edu.tw/p/426-1091-48.php,http://info.site.nthu.edu.tw/
110,公立,一般大學,0003,國立臺灣大學,https://nol.ntu.edu.tw/nol/guest/index.php,https://ntuinfo.ntu.edu.tw/p4_3_0.html,https://ntuinfo.ntu.edu.tw/
110,公立,一般大學,0004,國立臺灣師範大學,https://courseap2.itc.ntnu.edu.tw/acadmOpenCourse/index.jsp,http://www.ga.ntnu.edu.tw/pro/,https://yreport.iro.ntnu.edu.tw/
110,公立,一般大學,0005,國立成功大學,https://course.ncku.edu.tw,https://purch-oga.ncku.edu.tw/p/412-1058-2892.php?Lang=zh-tw,https://web.ncku.edu.tw/p/412-1000-6.php?Lang=zh-tw
110,公立,一般大學,0006,國立中興大學,https://onepiece.nchu.edu.tw/cofsys/plsql/crseqry_home,https://web.pcc.gov.tw/pishtml/pisindex.html,https://secret.nchu.edu.tw/info/01school.html
110,公立,一般大學,0007,國立陽明交通大學,https://timetable.nycu.edu.tw/,https://oga.ym.edu.tw/ezfiles/140/1140/img/576/index100.html,https://info.nycu.edu.tw/
110,公立,一般大學,0008,國立中央大學,https://lms.ncu.edu.tw/q?pg=coursemap&tg=coursemap-index&cmp=F22.0_479&cx=22.2000,http://pdc.adm.ncu.edu.tw/OMI/A431.html,http://pdc.adm.ncu.edu.tw/omi/
110,公立,一般大學,0009,國立中山大學,http://www3.nsysu.edu.tw/financial/fin04-3.html,https://web.pcc.gov.tw/,http://www3.nsysu.edu.tw/financial/
110,公立,一般大學,0012,國立臺灣海洋大學,https://academics.ntou.edu.tw/?lnk=32,https://web.pcc.gov.tw/pishtml/pisindex.html,https://www.ntou.edu.tw/info
110,公立,一般大學,0013,國立中正大學,https://ecourse2.ccu.edu.tw/index.php,https://web.pcc.gov.tw/pishtml/pisindex.html,https://secretar.ccu.edu.tw/校務資訊/校務資訊公開專區/
110,公立,一般大學,0014,國立高雄師範大學,https://sso.nknu.edu.tw/Staff/CourseEnrollInfo/CourseEnrollInfo.aspx,https://c.nknu.edu.tw/affair/Default.aspx?Kind=work,https://a.nknu.edu.tw/files/90-1000-4.php
110,公立,一般大學,0015,國立彰化師範大學,http://webap0.ncue.edu.tw/DEANV2/Other/ob010?Length=5,http://general2.ncue.edu.tw/files/11-1019-1481.php,https://ncueinfo.ncue.edu.tw/
110,公立,一般大學,0017,國立臺北大學,http://sea.cc.ntpu.edu.tw/pls/dev_stud/course_query_all.chi_main,https://www.ntpu.edu.tw/admin/a9/org/a9-8/news.php,http://sfai.ntpu.edu.tw
110,公立,一般大學,0018,國立嘉義大學,https://web085003.adm.ncyu.edu.tw/pub_course.aspx,http://web.pcc.gov.tw/tps/pss/tender.do?method=goSearch&searchMode=common&orgId=3.10.35&orgName=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8&searchType=basic,http://www.ncyu.edu.tw/NewSite/content.aspx?site_content_sn=8285
110,公立,一般大學,0019,國立高雄大學,https://course.nuk.edu.tw/QueryCourse/QueryCourse.asp,http://web.pcc.gov.tw/pis/main/pis/client/index.do,https://opendata.nuk.edu.tw/app/index.php
110,公立,一般大學,0020,國立東華大學,http://sys.ndhu.edu.tw/aa/class/course/Default.aspx,https://openinfo.ndhu.edu.tw/files/13-1182-109148.php,https://openinfo.ndhu.edu.tw/files/13-1182-108880.php?Lang=zh-tw
