學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,學制班別,授課語言,修習全外語院、系所、學位學程之學生人數-本國學生數-小計,修習全外語院、系所、學位學程之學生人數-本國學生數-男,修習全外語院、系所、學位學程之學生人數-本國學生數-女,修習全外語院、系所、學位學程之學生人數-境外學生數-小計,修習全外語院、系所、學位學程之學生人數-境外學生數-男,修習全外語院、系所、學位學程之學生人數-境外學生數-女
107,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,英語,14,6,8,64,36,28
107,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),英語,27,11,16,46,27,19
107,公立,一般大學,0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,博士班,英語,3,3,0,11,10,1
107,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),英語,15,4,11,46,28,18
107,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),英語,34,6,28,21,2,19
107,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),英語,107,52,55,70,38,32
107,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),英語,22,9,13,16,9,7
107,公立,一般大學,0002,國立清華大學,05311035,分子科學與技術學程,博士班,英語,3,1,2,12,10,2
107,公立,一般大學,0002,國立清華大學,05311036,化學生物學與分子生物物理學學程,博士班,英語,8,5,3,17,9,8
107,公立,一般大學,0002,國立清華大學,05121031,生物資訊學學程,博士班,英語,1,0,1,7,7,0
107,公立,一般大學,0002,國立清華大學,07199070,全球營運管理碩士雙聯學位學程,碩士班(日間),英語,17,10,7,1,0,1
107,公立,一般大學,0002,國立清華大學,07194067,奈米科學與技術學程,博士班,英語,11,8,3,24,18,6
107,公立,一般大學,0002,國立清華大學,06134048,社群網路與人智計算國際研究生博士學位學程,博士班,英語,0,0,0,17,15,2
107,公立,一般大學,0002,國立清華大學,01131105,英語教學系,碩士班(日間),英語,29,1,28,2,0,2
107,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,博士班,英語,3,2,1,0,0,0
107,公立,一般大學,0002,國立清華大學,06134045,計算語言學與中文語言處理學程,博士班,英語,0,0,0,1,0,1
107,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),英語,13,4,9,50,23,27
107,公立,一般大學,0002,國立清華大學,06134047,國際資訊科技與應用碩士學程,碩士班(日間),英語,0,0,0,15,10,5
107,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,英語,49,39,10,15,9,6
107,公立,一般大學,0003,國立臺灣大學,07112154,分子科學與技術國際研究生博士學位學程,博士班,英語,2,2,0,3,1,2
107,公立,一般大學,0003,國立臺灣大學,05124155,生物資訊學國際研究生博士學位學程,博士班,英語,2,1,1,1,1,0
107,公立,一般大學,0003,國立臺灣大學,09199159,國際三校農業生技與健康醫療碩士學位學程,碩士班(日間),英語,10,5,5,0,0,0
107,公立,一般大學,0003,國立臺灣大學,05199156,跨領域神經科學國際研究生博士學位學程,博士班,英語,4,2,2,2,1,1
107,公立,一般大學,0003,國立臺灣大學,04131028,管理學院企業管理碩士專班,碩士班(日間),英語,79,24,55,62,35,27
107,公立,一般大學,0003,國立臺灣大學,09121119,轉譯醫學博士學位學程,博士班,英語,5,2,3,0,0,0
107,公立,一般大學,0004,國立臺灣師範大學,05111057,生物多樣性國際研究生博士學位學程,博士班,英語,11,5,6,28,20,8
107,公立,一般大學,0004,國立臺灣師範大學,04191054,國際人力資源發展研究所,碩士班(日間),英語,32,9,23,31,7,24
