學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別[日間],專業必修實際開設學分數,專業選修實際開設學分數
105,2,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),6,66
105,2,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),3,64
105,2,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),18,48
105,2,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),12,50
105,2,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),90,33
105,2,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),35,27
105,2,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),32,16
105,2,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),34,31
105,2,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),24,26
105,2,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),98,6
105,2,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),67,72
105,2,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),36,91
105,2,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),11,29
105,2,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),15,27
105,2,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),31,36
105,2,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),22,52
105,2,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),12,38
105,2,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),12,44
105,2,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),6,30
105,2,公立,一般大學,0001,國立政治大學,03299056,傳播學院大一大二不分系,學士班(日間),30,54
105,2,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),40,23
105,2,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),0,30
105,2,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),9,15
105,2,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),24,24
105,2,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),16,22
105,2,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),15,39
105,2,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),27,12
105,2,公立,一般大學,0001,國立政治大學,04134043,地政學系,學士班(日間),64,42
105,2,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),9,39
105,2,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),9,42
105,2,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),0,157
105,2,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),32,19
105,2,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),18,11
105,2,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),55,26
105,2,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),18,60
105,2,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),36,127
105,2,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),61,83
105,2,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),21,72
105,2,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),51,51
105,2,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),37,31
105,2,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),7,2
105,2,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),33,39
105,2,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),14,0
105,2,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),66,20
105,2,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),87,31
105,2,公立,一般大學,0002,國立清華大學,05399042,理學院學士班,學士班(日間),16,0
105,2,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),82,25
105,2,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),47,53
105,2,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),46,6
105,2,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),54,25
105,2,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),44,59
105,2,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),52,77
105,2,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),9,0
105,2,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),59,45
105,2,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),31,25
105,2,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),30,34
105,2,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),12,2
105,2,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),15,0
105,2,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),35,3
105,2,公立,一般大學,0002,國立清華大學,99999075,清華學院學士班,學士班(日間),2,18
105,2,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),33,52
105,2,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),18,101
105,2,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),33,30
105,2,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),23,62
105,2,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),252,233
105,2,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),42,25
105,2,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),82,60
