學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,畢業總學分數
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播學士學位學程,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,03299056,傳播學院大一大二不分系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),114,28,0,0,142
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,學士班(日間),65,28,0,35,128
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),86,28,4,10,128
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),80,28,0,20,128
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),80,28,0,20,128
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,學士班(日間),80,28,0,20,128
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),80,28,0,20,128
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,學士班(日間),88,28,0,12,128
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),78,28,0,22,128
