學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),科目類別,必選修,每學期課程開課數,課程數-上課人數達100至199人,課程數-上課人數達200人以上
107,1,公立,一般大學,0001,國立政治大學,學士班(日間),專業科目,選修,489,14,9
107,1,公立,一般大學,0001,國立政治大學,學士班(日間),專業科目,必修,572,41,24
107,2,公立,一般大學,0001,國立政治大學,學士班(日間),專業科目,選修,522,10,2
107,2,公立,一般大學,0001,國立政治大學,學士班(日間),專業科目,必修,526,35,0
107,1,公立,一般大學,0002,國立清華大學,學士班(日間),共同科目,選修,147,9,3
107,1,公立,一般大學,0002,國立清華大學,學士班(日間),共同科目,必修,230,4,8
107,1,公立,一般大學,0002,國立清華大學,學士班(日間),通識科目,選修,156,11,0
107,1,公立,一般大學,0002,國立清華大學,學士班(日間),通識科目,必修,77,5,4
107,1,公立,一般大學,0002,國立清華大學,學士班(日間),專業科目,選修,726,24,6
107,1,公立,一般大學,0002,國立清華大學,學士班(日間),專業科目,必修,510,54,23
107,2,公立,一般大學,0002,國立清華大學,學士班(日間),共同科目,選修,188,0,0
107,2,公立,一般大學,0002,國立清華大學,學士班(日間),共同科目,必修,119,0,0
107,2,公立,一般大學,0002,國立清華大學,學士班(日間),通識科目,選修,151,9,1
107,2,公立,一般大學,0002,國立清華大學,學士班(日間),通識科目,必修,84,7,3
107,2,公立,一般大學,0002,國立清華大學,學士班(日間),專業科目,選修,733,11,0
107,2,公立,一般大學,0002,國立清華大學,學士班(日間),專業科目,必修,440,57,1
107,1,公立,一般大學,0003,國立臺灣大學,學士班(日間),共同科目,必修,195,0,6
107,1,公立,一般大學,0003,國立臺灣大學,學士班(日間),通識科目,選修,259,40,24
107,1,公立,一般大學,0003,國立臺灣大學,學士班(日間),通識科目,必修,1,0,0
107,1,公立,一般大學,0003,國立臺灣大學,學士班(日間),專業科目,選修,3117,155,86
107,1,公立,一般大學,0003,國立臺灣大學,學士班(日間),專業科目,必修,2367,128,100
107,2,公立,一般大學,0003,國立臺灣大學,學士班(日間),共同科目,必修,181,0,0
107,2,公立,一般大學,0003,國立臺灣大學,學士班(日間),通識科目,選修,228,47,19
107,2,公立,一般大學,0003,國立臺灣大學,學士班(日間),通識科目,必修,2,0,0
107,2,公立,一般大學,0003,國立臺灣大學,學士班(日間),專業科目,選修,3385,126,24
107,2,公立,一般大學,0003,國立臺灣大學,學士班(日間),專業科目,必修,2242,208,29
107,1,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),共同科目,選修,5,0,0
107,1,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),共同科目,必修,304,18,10
107,1,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),通識科目,選修,186,37,8
107,1,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),專業科目,選修,912,22,12
107,1,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),專業科目,必修,901,62,6
107,2,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),共同科目,選修,4,0,0
107,2,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),共同科目,必修,314,0,0
107,2,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),通識科目,選修,160,19,3
107,2,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),專業科目,選修,934,1,0
107,2,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),專業科目,必修,837,4,0
107,1,公立,一般大學,0005,國立成功大學,學士班(日間),共同科目,選修,20,2,3
107,1,公立,一般大學,0005,國立成功大學,學士班(日間),通識科目,選修,70,0,7
107,1,公立,一般大學,0005,國立成功大學,學士班(日間),通識科目,必修,296,43,15
