學年度,設立別,學校類別,學校統計處代碼,學校名稱,紙本圖書收藏冊數(冊)-中文紙本圖書-總類,紙本圖書收藏冊數(冊)-中文紙本圖書-哲學類,紙本圖書收藏冊數(冊)-中文紙本圖書-宗教類,紙本圖書收藏冊數(冊)-中文紙本圖書-自然科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-應用科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-社會科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-史地類(含世界史地類),紙本圖書收藏冊數(冊)-中文紙本圖書-語言文學類,紙本圖書收藏冊數(冊)-中文紙本圖書-藝術類,紙本圖書收藏冊數(冊)-外文紙本圖書,期刊合訂本(未以紙本圖書編目)(冊),電子資料可使用量-線上資料庫(種),電子資料可使用量-光碟及其他類型資料庫(種),電子資料可使用量-電子期刊(種),電子資料可使用量-電子書(冊),視聽資料(件),現期書報(種)-報紙(種),現期書報(種)期刊-中日文(種),現期書報(種)期刊-西文(種),圖書館服務(人次)-圖書閱覽座位數,圖書館服務(人次)-借閱人次(僅含紙本圖書及非書資料),圖書館服務(人次)-借閱冊次(僅含紙本圖書及非書資料),圖書館服務(人次)-線上及光碟資料庫(含電子書及電子期刊)檢索人次
106,公立,一般大學,0001,國立政治大學,325452,50070,37552,31293,75104,300417,212796,200278,18776,620163,232477,266,36,65663,710055,24995,89,1858,1424,2972,130678,392035,2625902
106,公立,一般大學,0002,國立清華大學,79921,44710,24269,69328,85024,212799,128422,196525,65951,424346,363131,441,3,117566,3247511,119977,27,2150,854,3439,170220,467638,361794
106,公立,一般大學,0003,國立臺灣大學,141908,70121,43078,113479,320846,424715,278817,286160,90258,2389116,881702,570,0,52940,3123007,180981,27,2294,1557,3754,176341,499061,31342010
106,公立,一般大學,0004,國立臺灣師範大學,141399,73118,23635,62214,76836,254861,159544,216064,71690,518619,130361,357,0,97296,2649247,49659,14,1198,1488,1182,139434,232071,7319485
106,公立,一般大學,0005,國立成功大學,188290,35209,21745,43216,107981,125130,102284,127716,40836,588522,441089,549,25,59768,744694,58127,16,1847,196,2524,87965,554763,5903434
106,公立,一般大學,0006,國立中興大學,108978,26143,10998,49943,94265,102473,68114,97846,22111,275229,147291,389,0,40227,1419403,73119,13,1064,131,2047,59588,127862,2161741
106,公立,一般大學,0007,國立陽明交通大學,102454,18708,9945,62556,76708,81681,41020,68053,38525,356397,167052,236,0,94424,652524,62459,15,1010,147,1346,78653,204496,4346447
106,公立,一般大學,0008,國立中央大學,95900,25072,16936,27769,46756,77480,60867,88996,27666,270836,159252,423,0,51157,634588,60831,15,833,448,1485,65817,155003,1482268
106,公立,一般大學,0009,國立中山大學,124750,29722,13565,39414,71015,94709,64555,106265,33407,410375,133137,208,28,70192,169953,26098,11,471,527,1580,44843,152462,786254
106,公立,一般大學,0012,國立臺灣海洋大學,39715,13602,3805,22339,41055,42350,22118,39853,10746,94458,76006,261,8,59530,276210,11545,10,632,233,524,19876,118286,1197482
106,公立,一般大學,0013,國立中正大學,95243,30991,21187,29900,65080,134452,81601,119538,42821,410348,0,213,0,96962,366015,28424,16,873,296,1500,47204,127931,778168
106,公立,一般大學,0014,國立高雄師範大學,79782,18700,6156,15497,21127,66092,38293,67927,21896,127121,87517,59,0,41434,552708,25398,13,490,190,1324,40938,232683,725372
106,公立,一般大學,0015,國立彰化師範大學,48185,17738,7652,21051,39182,74933,29633,52854,15267,102051,49088,78,0,79160,174619,31012,7,659,123,1132,31705,94270,160033
106,公立,一般大學,0016,國立陽明大學,14720,9801,2544,11849,32823,19153,12849,35438,8552,96189,62170,168,0,17171,118537,20870,7,150,46,430,23362,70194,747977
106,公立,一般大學,0017,國立臺北大學,44232,9795,4770,7950,19412,65908,29734,39249,7825,172367,39054,179,30,57603,867952,5598,7,163,133,662,45089,94626,1371829
106,公立,一般大學,0018,國立嘉義大學,41100,24373,10340,51607,83925,141987,51657,98140,32355,147225,52196,260,1,59661,728747,25881,16,1169,151,1290,50404,90021,246813
106,公立,一般大學,0019,國立高雄大學,12514,16993,6556,16703,41987,55469,22624,60272,22154,56555,25562,103,19,14976,408188,17702,10,475,161,1038,28514,76632,248881
106,公立,一般大學,0020,國立東華大學,76270,52662,24093,53393,95063,207020,110564,184779,65715,206768,83253,258,33,92640,1062606,93838,63,3196,2629,1053,60797,332707,666446
106,公立,一般大學,0021,國立暨南國際大學,38263,19950,10783,10162,22107,72664,63765,72152,14582,127444,71665,255,0,73202,141384,22625,17,261,62,1446,51416,131081,42600
106,公立,技專校院,0022,國立臺灣科技大學,47084,18001,4973,23155,51673,35089,22231,48988,14707,95593,76154,246,3,47194,729355,19825,9,928,2374,653,110380,201091,1981375
106,公立,技專校院,0023,國立雲林科技大學,39265,17294,9093,24347,60399,56881,31094,58572,32535,86020,46666,109,0,44603,616442,13527,10,1520,1146,1500,91167,173287,1458738
106,公立,技專校院,0024,國立屏東科技大學,12907,12893,7256,31681,89049,51684,24783,36963,15693,53316,65680,80,0,32,474981,17916,9,708,307,845,70456,83170,544282
106,公立,技專校院,0025,國立臺北科技大學,45241,12749,3960,38593,73640,35594,20266,33996,19036,84901,34010,228,0,42584,836216,6418,7,109,19,1096,41494,81496,616363
106,公立,技專校院,0026,國立高雄第一科技大學,4586,13591,6029,25421,57362,55382,17276,44828,14253,72768,40441,288,11,17179,426198,29123,16,1925,1342,1030,28629,89652,3006864
