,學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,學制,學生總人數,學期內新增辦理休學人數,男,女,至學期底總休學人數,男,女
,101,1,公立,一般大學,1,國立政治大學,學士班(日間),9782,130,72,58,206,106,100
,101,1,公立,一般大學,1,國立政治大學,碩士班(日間),3596,313,112,201,840,354,486
,101,1,公立,一般大學,1,國立政治大學,碩士在職專班,1636,171,79,92,440,215,225
,101,1,公立,一般大學,1,國立政治大學,博士班,1014,101,68,33,273,172,101
,101,1,公立,一般大學,2,國立清華大學,學士班(日間),6325,142,112,30,184,142,42
,101,1,公立,一般大學,2,國立清華大學,碩士班(日間),3804,140,70,70,218,109,109
,101,1,公立,一般大學,2,國立清華大學,碩士在職專班,291,27,17,10,54,32,22
,101,1,公立,一般大學,2,國立清華大學,博士班,2028,207,166,41,392,307,85
,101,1,公立,一般大學,3,國立臺灣大學,學士班(日間),16915,434,264,170,469,286,183
,101,1,公立,一般大學,3,國立臺灣大學,學士班(進修),29,5,2,3,8,4,4
,101,1,公立,一般大學,3,國立臺灣大學,碩士班(日間),9741,782,394,388,1072,574,498
,101,1,公立,一般大學,3,國立臺灣大學,碩士在職專班,1119,268,154,114,308,186,122
,101,1,公立,一般大學,3,國立臺灣大學,博士班,4889,717,480,237,1025,712,313
,101,1,公立,一般大學,4,國立臺灣師範大學,學士班(日間),7768,122,64,58,171,88,83
,101,1,公立,一般大學,4,國立臺灣師範大學,碩士班(日間),4115,672,233,439,822,301,521
,101,1,公立,一般大學,4,國立臺灣師範大學,碩士在職專班,2037,283,66,217,363,91,272
,101,1,公立,一般大學,4,國立臺灣師範大學,博士班,1387,291,143,148,372,186,186
,101,1,公立,一般大學,5,國立成功大學,學士班(日間),11688,270,179,91,344,231,113
,101,1,公立,一般大學,5,國立成功大學,學士班(進修),2,0,0,0,0,0,0
,101,1,公立,一般大學,5,國立成功大學,碩士班(日間),6404,224,123,101,472,247,225
,101,1,公立,一般大學,5,國立成功大學,碩士在職專班,1303,94,57,37,208,144,64
,101,1,公立,一般大學,5,國立成功大學,博士班,3020,263,194,69,724,525,199
,101,1,公立,一般大學,6,國立中興大學,學士班(日間),8321,177,122,55,229,164,65
,101,1,公立,一般大學,6,國立中興大學,學士班(進修),1145,29,15,14,30,12,18
,101,1,公立,一般大學,6,國立中興大學,碩士班(日間),3419,193,121,72,414,237,177
,101,1,公立,一般大學,6,國立中興大學,碩士在職專班,1845,147,100,47,291,198,93
,101,1,公立,一般大學,6,國立中興大學,博士班,1400,138,99,39,320,242,78
,101,1,公立,一般大學,7,國立交通大學,學士班(日間),5527,134,104,30,159,127,32
,101,1,公立,一般大學,7,國立交通大學,碩士班(日間),5096,220,120,100,326,187,139
,101,1,公立,一般大學,7,國立交通大學,碩士在職專班,1817,268,200,68,401,306,95
,101,1,公立,一般大學,7,國立交通大學,博士班,2184,224,182,42,402,320,82
,101,1,公立,一般大學,8,國立中央大學,學士班(日間),6168,104,73,31,140,97,43
,101,1,公立,一般大學,8,國立中央大學,碩士班(日間),3308,158,77,81,251,127,124
,101,1,公立,一般大學,8,國立中央大學,碩士在職專班,1424,113,72,41,283,192,91
,101,1,公立,一般大學,8,國立中央大學,博士班,1362,139,109,30,290,216,74
,101,1,公立,一般大學,9,國立中山大學,學士班(日間),4628,93,63,30,118,79,39
,101,1,公立,一般大學,9,國立中山大學,碩士班(日間),2904,184,88,96,342,190,152
,101,1,公立,一般大學,9,國立中山大學,碩士在職專班,841,81,37,44,154,65,89
,101,1,公立,一般大學,9,國立中山大學,博士班,1041,127,91,36,264,194,70
,101,1,公立,一般大學,12,國立臺灣海洋大學,學士班(日間),5204,99,79,20,110,79,31
,101,1,公立,一般大學,12,國立臺灣海洋大學,學士班(進修),551,28,18,10,61,40,21
,101,1,公立,一般大學,12,國立臺灣海洋大學,碩士班(日間),1555,78,49,29,137,90,47
,101,1,公立,一般大學,12,國立臺灣海洋大學,碩士在職專班,624,38,29,9,81,55,26
,101,1,公立,一般大學,12,國立臺灣海洋大學,博士班,352,34,26,8,77,54,23
,101,1,公立,一般大學,13,國立中正大學,學士班(日間),6624,119,80,39,164,112,52
,101,1,公立,一般大學,13,國立中正大學,碩士班(日間),2990,210,119,91,362,200,162
,101,1,公立,一般大學,13,國立中正大學,碩士在職專班,1788,215,128,87,318,186,132
,101,1,公立,一般大學,13,國立中正大學,博士班,734,97,65,32,193,132,61
,101,1,公立,一般大學,14,國立高雄師範大學,學士班(日間),3370,47,28,19,60,40,20
,101,1,公立,一般大學,14,國立高雄師範大學,碩士班(日間),1393,328,111,217,469,158,311
,101,1,公立,一般大學,14,國立高雄師範大學,碩士在職專班,1590,122,42,80,237,77,160
,101,1,公立,一般大學,14,國立高雄師範大學,博士班,470,63,26,37,80,32,48
,101,1,公立,一般大學,15,國立彰化師範大學,學士班(日間),4747,45,34,11,70,51,19
,101,1,公立,一般大學,15,國立彰化師範大學,碩士班(日間),1618,160,60,100,276,108,168
,101,1,公立,一般大學,15,國立彰化師範大學,碩士在職專班,1477,80,34,46,142,59,83
,101,1,公立,一般大學,15,國立彰化師範大學,博士班,439,45,26,19,88,43,45
,101,1,公立,一般大學,16,國立陽明大學,學士班(日間),2051,68,35,33,79,42,37
,101,1,公立,一般大學,16,國立陽明大學,碩士班(日間),1324,127,42,85,240,91,149
,101,1,公立,一般大學,16,國立陽明大學,碩士在職專班,125,23,8,15,46,15,31
