學年度,設立別,學校類別,學校統計處代碼,學校名稱,108學年度購買圖書經費,108學年度學生數,108學年度每生平均圖書經費,107學年度購買圖書經費,107學年度學生數,107學年度每生平均圖書經費,106學年度購買圖書經費,106學年度學生數,106學年度每生平均圖書經費,近3學年度購買圖書經費之平均
110,公立,一般大學,0001,國立政治大學,109941049,16390,6708,102374281,16343,6264,105090385,16353,6426,105801905
110,公立,一般大學,0002,國立清華大學,142280421,16678,8531,145724316,16657,8749,149063064,16664,8945,145689267
110,公立,一般大學,0003,國立臺灣大學,223888892,31945,7009,218960685,31745,6897,227946217,31802,7168,223598598
110,公立,一般大學,0004,國立臺灣師範大學,62667987,15716,3988,64436088,15582,4135,73503281,15426,4765,66869118
110,公立,一般大學,0005,國立成功大學,162007865,21456,7551,163597760,21276,7689,161369473,21252,7593,162325033
110,公立,一般大學,0006,國立中興大學,95172928,14983,6352,94366979,14884,6340,88455574,14877,5946,92665160
110,公立,一般大學,0007,國立陽明交通大學,119708757,14742,8120,139309828,18605,7488,136488601,18501,7377,131835728
110,公立,一般大學,0008,國立中央大學,55575827,11822,4701,57062566,11960,4771,53288741,11924,4469,55309045
110,公立,一般大學,0009,國立中山大學,53578138,9563,5603,53044964,9425,5628,53322490,9466,5633,53315197
110,公立,一般大學,0012,國立臺灣海洋大學,48572396,8838,5496,47446187,8655,5482,44270674,8652,5117,46763085
110,公立,一般大學,0013,國立中正大學,44539407,11205,3975,44204423,11328,3902,53849995,11512,4678,47531275
110,公立,一般大學,0014,國立高雄師範大學,2050000,6690,306,2121965,6678,318,2349465,6654,353,2173810
110,公立,一般大學,0015,國立彰化師範大學,35588347,8385,4244,34193519,8333,4103,32601235,8235,3959,34127700
110,公立,一般大學,0017,國立臺北大學,23950650,9954,2406,25097514,9923,2529,27080423,9853,2748,25376195
110,公立,一般大學,0018,國立嘉義大學,27437070,11885,2309,28095465,12219,2299,31156776,12399,2513,28896437
110,公立,一般大學,0019,國立高雄大學,15527954,5663,2742,15343024,5565,2757,15097607,5506,2742,15322862
110,公立,一般大學,0020,國立東華大學,41650426,9907,4204,45517320,9928,4585,47635092,10154,4691,44934279
110,公立,一般大學,0021,國立暨南國際大學,22205072,6108,3635,25528310,6200,4117,27192288,6361,4275,24975223
110,公立,技專校院,0022,國立臺灣科技大學,49500948,11274,4391,49185052,11137,4416,48994631,11019,4446,49226877
110,公立,技專校院,0023,國立雲林科技大學,23562278,9716,2425,23848797,9732,2451,24320706,9715,2503,23910593
110,公立,技專校院,0024,國立屏東科技大學,4323932,10863,398,3925569,11122,353,3461225,11187,309,3903575
110,公立,技專校院,0025,國立臺北科技大學,8419211,13464,625,11702994,13097,894,14385491,12973,1109,11502565
110,公立,一般大學,0028,國立臺北藝術大學,5305443,3098,1713,5300000,3072,1725,6492500,3131,2074,5699314
110,公立,一般大學,0029,國立臺灣藝術大學,15432258,5601,2755,15500000,5714,2713,16225000,5683,2855,15719086
110,公立,一般大學,0030,國立臺東大學,11886678,4722,2517,12181864,4583,2658,12318776,4616,2669,12129106
110,公立,一般大學,0031,國立宜蘭大學,19980966,5419,3687,22327892,5470,4082,23188216,5511,4208,21832358
110,公立,一般大學,0032,國立聯合大學,16133664,7588,2126,16142574,7622,2118,16064661,7729,2078,16113633
110,公立,技專校院,0033,國立虎尾科技大學,24141839,10749,2246,23924680,10328,2316,22721094,10188,2230,23595871
110,公立,一般大學,0035,國立臺南藝術大學,7390778,1607,4599,7741736,1564,4950,8785925,1580,5561,7972813
110,公立,一般大學,0036,國立臺南大學,24986089,5667,4409,24493376,5692,4303,23852920,5745,4152,24444128
110,公立,一般大學,0037,國立臺北教育大學,20009193,5790,3456,19853281,5814,3415,18907299,5808,3255,19589924
110,公立,一般大學,0039,國立臺中教育大學,14998395,4929,3043,14735556,4966,2967,14357761,5006,2868,14697237
110,公立,技專校院,0042,國立澎湖科技大學,9453929,3051,3099,9280026,3025,3068,9166185,3008,3047,9300047
110,公立,技專校院,0043,國立勤益科技大學,18941137,11130,1702,18095186,11101,1630,17465909,11176,1563,18167411
110,公立,一般大學,0044,國立體育大學,6332132,2525,2508,6287087,2465,2551,6501738,2464,2639,6373652
110,公立,技專校院,0046,國立臺北護理健康大學,22379121,5227,4281,22106673,5247,4213,22050953,5077,4343,22178916
110,公立,技專校院,0047,國立高雄餐旅大學,13425976,5036,2666,13053960,5197,2512,16077861,5267,3053,14185932
110,公立,一般大學,0048,國立金門大學,2623806,4387,598,2221549,4303,516,2471393,4501,549,2438916
110,公立,一般大學,0049,國立臺灣體育運動大學,4600000,3107,1481,4134238,3100,1334,3522404,3154,1117,4085547
110,公立,技專校院,0050,國立臺中科技大學,28696427,13367,2147,28453685,13565,2098,28624896,13599,2105,28591669
110,公立,技專校院,0051,國立臺北商業大學,13025398,6761,1927,12951420,6729,1925,12507267,6730,1858,12828028
110,公立,一般大學,0052,國立屏東大學,19595188,8964,2186,18767316,8969,2092,17341860,8963,1935,18568121
110,公立,技專校院,0053,國立高雄科技大學,48594350,27302,1780,52043771,27274,1908,56675515,27320,2075,52437879
110,公立,技專校院,0144,國立臺灣戲曲學院,1223368,595,2056,1626627,607,2680,1522462,614,2480,1457486
110,公立,技專校院,0221,國立臺南護理專科學校,4164502,1939,2148,3797728,1958,1940,3416815,1955,1748,3793015
110,公立,技專校院,0222,國立臺東專科學校,662363,1120,591,1129057,1174,962,1911185,1244,1536,1234202
110,私立,一般大學,1001,東海大學,60215174,15751,3823,61060994,16080,3797,64622004,16429,3933,61966057
110,私立,一般大學,1002,輔仁大學,85257930,25709,3316,87882957,26176,3357,87931360,27017,3255,87024082
110,私立,一般大學,1003,東吳大學,41790051,15444,2706,51897581,15665,3313,60886049,15850,3841,51524560
110,私立,一般大學,1004,中原大學,80328276,16217,4953,77914741,16189,4813,74083965,16342,4533,77442327
110,私立,一般大學,1005,淡江大學學校財團法人淡江大學,79994276,24635,3247,83890925,25343,3310,90372055,26032,3472,84752419
110,私立,一般大學,1006,中國文化大學,76279780,25186,3029,85625611,25225,3394,85937887,25885,3320,82614426
110,私立,一般大學,1007,逢甲大學,61501035,20544,2994,58283003,20812,2800,64197124,21146,3036,61327054
110,私立,一般大學,1008,靜宜大學,46011466,12007,3832,46033736,12104,3803,46344402,12289,3771,46129868
110,私立,一般大學,1009,長庚大學,78401952,6834,11472,83436007,7052,11832,78488673,7187,10921,80108877
110,私立,一般大學,1010,元智大學,46510000,8703,5344,46510000,8882,5236,51485000,9135,5636,48168333
110,私立,一般大學,1011,中華大學學校財團法人中華大學,17498773,5471,3198,16188992,6267,2583,14889728,6722,2215,16192498
110,私立,一般大學,1012,大葉大學,22117005,9166,2413,24853337,10311,2410,24982934,11147,2241,23984425
110,私立,一般大學,1013,華梵大學,1298300,1518,855,1672434,1871,894,1709187,2320,737,1559974
110,私立,一般大學,1014,義守大學,23927478,14933,1602,29006030,15532,1868,39618217,16209,2444,30850575
110,私立,一般大學,1015,世新大學,12807991,11387,1125,14800863,11590,1277,16406583,11723,1400,14671812
110,私立,一般大學,1016,銘傳大學,48128782,18791,2561,49490394,18975,2608,54202843,19129,2834,50607340
110,私立,一般大學,1017,實踐大學,24539449,13555,1810,25679920,13968,1838,25835067,14579,1772,25351479
