,學年度,設立別 ,學校類別,學校代碼,學校名稱,縣市別,宿舍類別,自有宿舍床位數(床),男,女,租賃合約4年以上宿舍床位數(床),男,女
,101,公立,一般大學,1,國立政治大學,臺北市,自有,6696,2421,4275,0,0,0
,101,公立,一般大學,2,國立清華大學,新竹市,自有,5960,3667,2293,0,0,0
,101,公立,一般大學,3,國立臺灣大學,臺北市,自有,8618,4942,3676,0,0,0
,101,公立,一般大學,3,國立臺灣大學,臺北市,BOT,3507,1813,1694,0,0,0
,101,公立,一般大學,4,國立臺灣師範大學,新北市,自有,528,264,264,0,0,0
,101,公立,一般大學,4,國立臺灣師範大學,臺北市,自有,4702,1743,2959,0,0,0
,101,公立,一般大學,5,國立成功大學,臺南市,自有,6636,4183,2453,0,0,0
,101,公立,一般大學,5,國立成功大學,臺南市,BOT,680,350,330,0,0,0
,101,公立,一般大學,6,國立中興大學,臺中市,自有,3329,2062,1267,0,0,0
,101,公立,一般大學,7,國立交通大學,新竹市,自有,7651,5301,2350,0,0,0
,101,公立,一般大學,8,國立中央大學,桃園縣,自有,6648,4155,2493,0,0,0
,101,公立,一般大學,9,國立中山大學,高雄市,自有,3925,2429,1496,0,0,0
,101,公立,一般大學,12,國立臺灣海洋大學,基隆市,自有,2835,1907,928,0,0,0
,101,公立,一般大學,13,國立中正大學,嘉義縣,自有,3735,2029,1706,0,0,0
,101,公立,一般大學,14,國立高雄師範大學,高雄市,自有,3502,1682,1820,0,0,0
,101,公立,一般大學,15,國立彰化師範大學,彰化縣,自有,2553,1095,1458,0,0,0
,101,公立,一般大學,16,國立陽明大學,臺北市,自有,1667,866,801,0,0,0
,101,公立,一般大學,17,國立臺北大學,新北市,自有,1039,374,665,0,0,0
,101,公立,一般大學,17,國立臺北大學,臺北市,自有,549,206,343,0,0,0
,101,公立,一般大學,18,國立嘉義大學,嘉義縣,自有,1262,418,844,0,0,0
,101,公立,一般大學,18,國立嘉義大學,嘉義市,自有,2915,1349,1566,0,0,0
,101,公立,一般大學,19,國立高雄大學,高雄市,自有,1058,562,496,0,0,0
,101,公立,一般大學,20,國立東華大學,花蓮縣,自有,6234,2938,3296,0,0,0
,101,公立,一般大學,21,國立暨南國際大學,南投縣,自有,2844,1386,1458,0,0,0
,101,公立,一般大學,28,國立臺北藝術大學,臺北市,自有,1154,357,797,0,0,0
,101,公立,一般大學,29,國立臺灣藝術大學,新北市,自有,822,194,628,0,0,0
,101,公立,一般大學,30,國立臺東大學,臺東縣,自有,570,240,330,0,0,0
,101,公立,一般大學,30,國立臺東大學,臺東縣,BOT,1184,519,665,0,0,0
,101,公立,一般大學,31,國立宜蘭大學,宜蘭縣,自有,1528,788,740,0,0,0
,101,公立,一般大學,32,國立聯合大學,苗栗縣,自有,1590,902,688,0,0,0
,101,公立,一般大學,35,國立臺南藝術大學,臺南市,自有,1325,416,909,0,0,0
,101,公立,一般大學,36,國立臺南大學,臺南市,自有,1510,520,990,0,0,0
,101,公立,一般大學,37,國立臺北教育大學,臺北市,自有,1370,432,938,0,0,0
,101,公立,一般大學,38,國立新竹教育大學,新竹市,自有,1518,99,1419,0,0,0
,101,公立,一般大學,39,國立臺中教育大學,臺中市,自有,2031,625,1406,0,0,0
,101,公立,一般大學,40,國立屏東教育大學,屏東縣,自有,2874,1148,1726,0,0,0
,101,公立,一般大學,44,國立體育大學,桃園縣,自有,1224,634,590,0,0,0
,101,公立,一般大學,48,國立金門大學,金門縣,自有,584,240,344,0,0,0
,101,公立,一般大學,49,國立臺灣體育運動大學,嘉義縣,自有,0,0,0,353,160,193
,101,公立,一般大學,49,國立臺灣體育運動大學,臺中市,自有,735,444,291,0,0,0
,101,公立,一般大學,3001,臺北市立教育大學,臺北市,自有,1130,340,790,0,0,0
,101,公立,一般大學,3102,臺北市立體育學院,臺北市,自有,364,210,154,0,0,0
,101,公立,技專校院,22,國立臺灣科技大學,臺北市,自有,2710,1870,840,0,0,0
