年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「產學合作」計畫經費-小計,學校承接「產學合作」計畫經費-政府部門資助,學校承接「產學合作」計畫經費-企業部門資助,學校承接「產學合作」計畫經費-其他單位資助,專任教師每師平均承接「產學合作」計畫經費
105,公立,一般大學,0001,國立政治大學,731,212480543,196239868,5237508,11003167,290671.06
105,公立,一般大學,0002,國立清華大學,655,503149732,205869850,208608726,88671156,768167.53
105,公立,一般大學,0003,國立臺灣大學,2056,1967182921,1251168406,438325888,277688627,956801.03
105,公立,一般大學,0004,國立臺灣師範大學,820,1062942206,967412099,59314620,36215487,1296270.98
105,公立,一般大學,0005,國立成功大學,1342,1479233089,914227718,293672112,271333259,1102260.13
105,公立,一般大學,0006,國立中興大學,771,428775403,146766250,237374166,44634987,556128.93
105,公立,一般大學,0007,國立陽明交通大學,729,903801395,472796414,280286856,150718125,1239782.43
105,公立,一般大學,0008,國立中央大學,655,818396932,432574582,96177001,289645349,1249460.96
105,公立,一般大學,0009,國立中山大學,515,354983078,170264789,77413086,107305203,689287.53
105,公立,一般大學,0012,國立臺灣海洋大學,415,265634513,132559274,85620637,47454602,640083.16
105,公立,一般大學,0013,國立中正大學,536,148073507,31594564,116202181,276762,276256.54
105,公立,一般大學,0014,國立高雄師範大學,293,21917902,11718419,7169483,3030000,74805.13
105,公立,一般大學,0015,國立彰化師範大學,377,23178000,10643000,9476000,3059000,61480.11
105,公立,一般大學,0016,國立陽明大學,404,105436301,31986098,69100203,4350000,260980.94
105,公立,一般大學,0017,國立臺北大學,369,24017764,3251800,8391736,12374228,65088.79
105,公立,一般大學,0018,國立嘉義大學,519,110924034,33423084,60437365,17063585,213726.46
105,公立,一般大學,0019,國立高雄大學,236,49815472,33473851,12395621,3946000,211082.51
105,公立,一般大學,0020,國立東華大學,492,84626573,46692987,36257586,1676000,172005.23
105,公立,一般大學,0021,國立暨南國際大學,266,18147704,2293000,8936845,6917859,68224.45
105,公立,技專校院,0022,國立臺灣科技大學,462,367322256,92948086,213666580,60707590,795069.82
105,公立,技專校院,0023,國立雲林科技大學,370,342634038,250753428,71437220,20443390,926037.94
105,公立,技專校院,0024,國立屏東科技大學,398,92041408,0,92041408,0,231259.82
105,公立,技專校院,0025,國立臺北科技大學,445,325230409,136947370,151588804,36694235,730854.85
105,公立,技專校院,0026,國立高雄第一科技大學,266,191486658,111684808,51200905,28600945,719874.65
105,公立,技專校院,0027,國立高雄應用科技大學,355,119120575,59713612,44240137,15166826,335550.92
105,公立,一般大學,0028,國立臺北藝術大學,163,27937835,6529560,196764,21211511,171397.76
105,公立,一般大學,0029,國立臺灣藝術大學,160,53034619,43995988,3771706,5266925,331466.37
105,公立,一般大學,0030,國立臺東大學,186,8401417,2783417,4948000,670000,45168.91
105,公立,一般大學,0031,國立宜蘭大學,233,62954563,24290738,28929225,9734600,270191.26
105,公立,一般大學,0032,國立聯合大學,292,63734628,30698905,20679698,12356025,218269.27
105,公立,技專校院,0033,國立虎尾科技大學,330,161056916,62451974,75942373,22662569,488051.26
105,公立,技專校院,0034,國立高雄海洋科技大學,234,143059170,22180430,112827885,8050855,611363.97
105,公立,一般大學,0035,國立臺南藝術大學,106,27764524,22194930,1060000,4509594,261929.47
105,公立,一般大學,0036,國立臺南大學,242,22450478,12809140,9641338,0,92770.57
105,公立,一般大學,0037,國立臺北教育大學,224,4570500,300500,4270000,0,20404.02
