年度,設立別,學校類別,學校統計處代碼,學校名稱,中華民國有實體審查-小計,中華民國有實體審查-專利公告數,中華民國有實體審查-新品種數,美國專利公告數,其他國家有實體審查-小計,其他國家有實體審查-專利公告數,其他國家有實體審查-新品種數,已授權-小計,已授權-專利公告數,已授權-新品種數
105,公立,一般大學,0001,國立政治大學,2,...,...,0,0,...,...,1,...,...
105,公立,一般大學,0002,國立清華大學,174,...,...,80,13,...,...,40,...,...
105,公立,一般大學,0003,國立臺灣大學,118,...,...,34,4,...,...,28,...,...
105,公立,一般大學,0004,國立臺灣師範大學,27,...,...,13,2,...,...,4,...,...
105,公立,一般大學,0005,國立成功大學,166,...,...,50,31,...,...,79,...,...
105,公立,一般大學,0006,國立中興大學,97,...,...,6,1,...,...,20,...,...
105,公立,一般大學,0007,國立陽明交通大學,152,...,...,52,20,...,...,25,...,...
105,公立,一般大學,0008,國立中央大學,57,...,...,14,10,...,...,1,...,...
105,公立,一般大學,0009,國立中山大學,86,...,...,18,5,...,...,3,...,...
105,公立,一般大學,0012,國立臺灣海洋大學,19,...,...,2,1,...,...,0,...,...
105,公立,一般大學,0013,國立中正大學,0,...,...,9,0,...,...,0,...,...
105,公立,一般大學,0014,國立高雄師範大學,8,...,...,0,0,...,...,0,...,...
105,公立,一般大學,0015,國立彰化師範大學,23,...,...,0,0,...,...,0,...,...
105,公立,一般大學,0016,國立陽明大學,17,...,...,12,2,...,...,10,...,...
105,公立,一般大學,0017,國立臺北大學,5,...,...,0,0,...,...,0,...,...
105,公立,一般大學,0018,國立嘉義大學,75,...,...,1,1,...,...,10,...,...
105,公立,一般大學,0019,國立高雄大學,19,...,...,0,0,...,...,0,...,...
105,公立,一般大學,0020,國立東華大學,3,...,...,0,0,...,...,1,...,...
105,公立,一般大學,0021,國立暨南國際大學,17,...,...,6,1,...,...,1,...,...
105,公立,技專校院,0022,國立臺灣科技大學,107,...,...,26,0,...,...,13,...,...
105,公立,技專校院,0023,國立雲林科技大學,47,...,...,2,0,...,...,1,...,...
105,公立,技專校院,0024,國立屏東科技大學,57,...,...,7,2,...,...,8,...,...
105,公立,技專校院,0025,國立臺北科技大學,51,...,...,4,4,...,...,4,...,...
105,公立,技專校院,0026,國立高雄第一科技大學,26,...,...,2,2,...,...,7,...,...
105,公立,技專校院,0027,國立高雄應用科技大學,56,...,...,1,0,...,...,2,...,...
105,公立,一般大學,0030,國立臺東大學,3,...,...,0,0,...,...,0,...,...
105,公立,一般大學,0031,國立宜蘭大學,9,...,...,0,0,...,...,0,...,...
105,公立,一般大學,0032,國立聯合大學,12,...,...,0,0,...,...,0,...,...
105,公立,技專校院,0033,國立虎尾科技大學,30,...,...,4,0,...,...,5,...,...
105,公立,技專校院,0034,國立高雄海洋科技大學,16,...,...,0,0,...,...,1,...,...
105,公立,一般大學,0036,國立臺南大學,8,...,...,2,0,...,...,0,...,...
105,公立,一般大學,0037,國立臺北教育大學,4,...,...,1,1,...,...,0,...,...
105,公立,技專校院,0042,國立澎湖科技大學,1,...,...,0,1,...,...,0,...,...
105,公立,技專校院,0043,國立勤益科技大學,76,...,...,1,3,...,...,6,...,...
105,公立,一般大學,0044,國立體育大學,0,...,...,0,0,...,...,1,...,...
105,公立,技專校院,0046,國立臺北護理健康大學,3,...,...,0,0,...,...,2,...,...
105,公立,技專校院,0047,國立高雄餐旅大學,1,...,...,0,0,...,...,0,...,...
105,公立,技專校院,0050,國立臺中科技大學,6,...,...,0,0,...,...,1,...,...
105,公立,技專校院,0051,國立臺北商業大學,0,...,...,0,0,...,...,1,...,...
105,公立,一般大學,0052,國立屏東大學,3,...,...,0,0,...,...,0,...,...
105,私立,一般大學,1001,東海大學,11,...,...,0,1,...,...,0,...,...
105,私立,一般大學,1002,輔仁大學,9,...,...,1,3,...,...,0,...,...
105,私立,一般大學,1003,東吳大學,2,...,...,0,0,...,...,0,...,...
105,私立,一般大學,1004,中原大學,37,...,...,20,3,...,...,1,...,...
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,9,...,...,1,0,...,...,0,...,...
105,私立,一般大學,1007,逢甲大學,17,...,...,2,4,...,...,1,...,...
105,私立,一般大學,1009,長庚大學,38,...,...,3,7,...,...,7,...,...
105,私立,一般大學,1010,元智大學,32,...,...,5,0,...,...,0,...,...
105,私立,一般大學,1011,中華大學學校財團法人中華大學,19,...,...,8,0,...,...,0,...,...
105,私立,一般大學,1012,大葉大學,12,...,...,0,0,...,...,0,...,...
105,私立,一般大學,1013,華梵大學,1,...,...,0,0,...,...,0,...,...
105,私立,一般大學,1014,義守大學,26,...,...,3,1,...,...,7,...,...
105,私立,一般大學,1016,銘傳大學,4,...,...,1,1,...,...,0,...,...
105,私立,技專校院,1018,朝陽科技大學,14,...,...,0,0,...,...,0,...,...
105,私立,一般大學,1019,高雄醫學大學,33,...,...,10,7,...,...,3,...,...
105,私立,一般大學,1022,大同大學,5,...,...,0,2,...,...,12,...,...
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,132,...,...,3,5,...,...,1,...,...
105,私立,技專校院,1024,崑山科技大學,82,...,...,5,1,...,...,7,...,...
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,25,...,...,0,0,...,...,1,...,...
105,私立,技專校院,1026,樹德科技大學,51,...,...,0,3,...,...,0,...,...
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,2,...,...,1,2,...,...,0,...,...
105,私立,一般大學,1028,臺北醫學大學,16,...,...,6,4,...,...,3,...,...
105,私立,一般大學,1029,中山醫學大學,3,...,...,0,0,...,...,3,...,...
105,私立,技專校院,1030,龍華科技大學,29,...,...,0,0,...,...,0,...,...
105,私立,技專校院,1031,輔英科技大學,8,...,...,0,0,...,...,0,...,...
105,私立,技專校院,1032,明新學校財團法人明新科技大學,9,...,...,0,0,...,...,1,...,...
105,私立,一般大學,1033,長榮大學,2,...,...,0,0,...,...,0,...,...
105,私立,技專校院,1034,弘光科技大學,12,...,...,0,2,...,...,5,...,...
105,私立,一般大學,1035,中國醫藥大學,11,...,...,4,20,...,...,2,...,...
105,私立,技專校院,1036,健行學校財團法人健行科技大學,7,...,...,0,0,...,...,5,...,...
105,私立,技專校院,1037,正修學校財團法人正修科技大學,17,...,...,1,0,...,...,9,...,...
