年度,設立別,學校類別,學校統計處代碼,學校名稱,須繳交科發基金之金額-科技部,須繳交科發基金之金額-經濟部,須繳交科發基金之金額-中研院,須繳交科發基金之金額-其他部會,不須繳交科發基金之金額
105,公立,一般大學,0001,國立政治大學,7382,0,0,0,1207058
105,公立,一般大學,0002,國立清華大學,28165830,67140000,0,0,36720390
105,公立,一般大學,0003,國立臺灣大學,187403764,1000000,0,2449950,28196328
105,公立,一般大學,0004,國立臺灣師範大學,2703932,0,0,0,11938974
105,公立,一般大學,0005,國立成功大學,26799022,5005000,0,860000,23335000
105,公立,一般大學,0006,國立中興大學,14089532,0,0,1415350,28336720
105,公立,一般大學,0007,國立陽明交通大學,44383598,3000000,0,2060000,71771426
105,公立,一般大學,0008,國立中央大學,1038633,0,0,0,7016000
105,公立,一般大學,0009,國立中山大學,15203345,0,0,0,9232560
105,公立,一般大學,0012,國立臺灣海洋大學,50000,0,0,0,8411173
105,公立,一般大學,0013,國立中正大學,7424286,0,0,0,153847
105,公立,一般大學,0014,國立高雄師範大學,60000,0,0,0,0
105,公立,一般大學,0015,國立彰化師範大學,430500,0,0,0,712500
105,公立,一般大學,0016,國立陽明大學,124665,200000,0,0,4707235
105,公立,一般大學,0017,國立臺北大學,342230,0,0,0,200000
105,公立,一般大學,0018,國立嘉義大學,925247,350000,0,893170,300000
105,公立,一般大學,0019,國立高雄大學,441102,0,0,0,0
105,公立,一般大學,0020,國立東華大學,660,0,0,0,35000
105,公立,一般大學,0021,國立暨南國際大學,297,0,0,0,0
105,公立,技專校院,0022,國立臺灣科技大學,890398,429800,0,0,39016072
105,公立,技專校院,0023,國立雲林科技大學,782774,0,0,0,6265103
105,公立,技專校院,0024,國立屏東科技大學,8528740,0,0,1000000,3350000
105,公立,技專校院,0025,國立臺北科技大學,3765495,5150000,0,0,29894401
105,公立,技專校院,0026,國立高雄第一科技大學,971471,0,0,0,15029840
105,公立,技專校院,0027,國立高雄應用科技大學,0,0,0,0,14173840
105,公立,一般大學,0028,國立臺北藝術大學,2200,0,0,0,30000
105,公立,一般大學,0031,國立宜蘭大學,0,0,0,125000,560000
105,公立,一般大學,0032,國立聯合大學,727784,0,0,0,205950
105,公立,技專校院,0033,國立虎尾科技大學,270200,979800,0,0,10178000
105,公立,技專校院,0034,國立高雄海洋科技大學,1071314,0,0,0,1320000
105,公立,一般大學,0036,國立臺南大學,22542,0,0,0,28414
105,公立,一般大學,0037,國立臺北教育大學,13015,0,0,0,0
105,公立,技專校院,0042,國立澎湖科技大學,0,0,0,0,260000
105,公立,技專校院,0043,國立勤益科技大學,0,0,0,0,2805000
105,公立,一般大學,0044,國立體育大學,200000,0,0,0,800000
105,公立,技專校院,0046,國立臺北護理健康大學,37504,0,0,0,130000
105,公立,技專校院,0047,國立高雄餐旅大學,9390,0,0,0,637561
105,公立,技專校院,0050,國立臺中科技大學,0,0,0,0,74271
105,公立,一般大學,0052,國立屏東大學,133060,0,0,0,84965
105,私立,一般大學,1001,東海大學,744420,0,0,0,265029
105,私立,一般大學,1002,輔仁大學,534700,0,0,0,2320000
105,私立,一般大學,1003,東吳大學,89677,0,0,0,0
105,私立,一般大學,1004,中原大學,7162740,1000000,0,0,3307505
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,665674,0,0,0,0
105,私立,一般大學,1006,中國文化大學,162358,0,0,0,0
105,私立,一般大學,1007,逢甲大學,16997872,0,0,0,2820000
105,私立,一般大學,1008,靜宜大學,27532,0,0,0,365920
105,私立,一般大學,1009,長庚大學,8878423,323750,0,3600000,518720
105,私立,一般大學,1010,元智大學,1319658,200000,0,0,30000
105,私立,一般大學,1011,中華大學學校財團法人中華大學,605009,0,0,0,320000
105,私立,一般大學,1012,大葉大學,503894,0,0,0,500000
