年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「學術研究」計畫經費-小計,學校承接「學術研究」計畫經費-政府部門資助,學校承接「學術研究」計畫經費-企業部門資助,學校承接「學術研究」計畫經費-其他單位資助,學校承接「學術研究」計畫經費-學校自籌經費,專任教師每師平均-承接政府、企業及其他部門資助學術研究計畫經費,專任教師每師平均-承接學校自籌補助學術研究計畫經費
105,公立,一般大學,0001,國立政治大學,731,370412655,352882354,10474191,5806610,1249500,505011.16,1709.30
105,公立,一般大學,0002,國立清華大學,655,1636872591,1577701550,8157699,7199487,43813855,2432150.74,66891.38
105,公立,一般大學,0003,國立臺灣大學,2056,3730547233,3730547233,0,0,0,1814468.50,0
105,公立,一般大學,0004,國立臺灣師範大學,820,542801446,540841375,0,0,1960071,659562.65,2390.33
105,公立,一般大學,0005,國立成功大學,1342,1735195077,1735195077,0,0,0,1292991.86,0
105,公立,一般大學,0006,國立中興大學,771,894218489,893893489,0,50000,275000,1159459.78,356.68
105,公立,一般大學,0007,國立陽明交通大學,729,1366747462,1366747462,0,0,0,1874825.05,0
105,公立,一般大學,0008,國立中央大學,655,1076085215,1061223215,2720000,1500000,10642000,1626630.86,16247.33
105,公立,一般大學,0009,國立中山大學,515,678867630,678867630,0,0,0,1318189.57,0
105,公立,一般大學,0012,國立臺灣海洋大學,415,487368548,463994677,5857871,17516000,0,1174382.04,0
105,公立,一般大學,0013,國立中正大學,536,597642585,503192219,58734966,35715400,0,1115004.82,0
105,公立,一般大學,0014,國立高雄師範大學,293,188189508,162339706,0,22807122,3042680,631900.44,10384.57
105,公立,一般大學,0015,國立彰化師範大學,377,146909000,146709000,0,200000,0,389679.05,0
105,公立,一般大學,0016,國立陽明大學,404,694845764,650213509,0,44632255,0,1719915.26,0
105,公立,一般大學,0017,國立臺北大學,369,159206541,159206541,0,0,0,431454.04,0
105,公立,一般大學,0018,國立嘉義大學,519,254889002,251096759,0,400000,3392243,484579.50,6536.11
105,公立,一般大學,0019,國立高雄大學,236,81731096,80804509,120000,806587,0,346318.20,0
105,公立,一般大學,0020,國立東華大學,492,233961442,233961442,0,0,0,475531.39,0
105,公立,一般大學,0021,國立暨南國際大學,266,107019746,106699746,0,0,320000,401126.86,1203.01
105,公立,技專校院,0022,國立臺灣科技大學,462,504550051,492188300,12361751,0,0,1092099.68,0
105,公立,技專校院,0023,國立雲林科技大學,370,129754904,129754904,0,0,0,350688.93,0
105,公立,技專校院,0024,國立屏東科技大學,398,277677774,277677774,0,0,0,697682.85,0
105,公立,技專校院,0025,國立臺北科技大學,445,209345000,209345000,0,0,0,470438.20,0
105,公立,技專校院,0026,國立高雄第一科技大學,266,68918000,68918000,0,0,0,259090.23,0
105,公立,技專校院,0027,國立高雄應用科技大學,355,103065938,100100638,0,0,2965300,281973.63,8352.96
105,公立,一般大學,0028,國立臺北藝術大學,163,17327943,16900918,0,39373,387652,103928.17,2378.23
