年度,設立別,學校類別,學校統計處代碼,學校名稱,國立學校可用資金,國立學校本年度現金增減情形-業務活動之淨現金流入(出),國立學校本年度現金增減情形-投資活動之淨現金流入(出),國立學校本年度現金增減情形-融資活動之淨現金流入(出),國立學校本年度現金增減情形-匯率變動影響數(107新增),國立學校本年度現金增減情形-小計
105,國立,一般大學,0001,國立政治大學,1455526,488455,-195935,424437,...,716958
105,國立,一般大學,0002,國立清華大學,1103481,1210318,-1224046,730782,...,717055
105,國立,一般大學,0003,國立臺灣大學,5811313,1475365,-1606002,700637,...,570000
105,國立,一般大學,0004,國立臺灣師範大學,2079285,327832,-399085,257148,...,185895
105,國立,一般大學,0005,國立成功大學,1696974,878255,-1343129,116863,...,-348011
105,國立,一般大學,0006,國立中興大學,1563394,459664,-491789,180826,...,148701
105,國立,一般大學,0007,國立陽明交通大學,391051,437324,-930824,250594,...,-242906
105,國立,一般大學,0008,國立中央大學,1568227,599532,-786560,102491,...,-84537
105,國立,一般大學,0009,國立中山大學,1561359,380380,-386371,144183,...,138192
105,國立,一般大學,0012,國立臺灣海洋大學,1736943,174287,-223885,148544,...,98946
105,國立,一般大學,0013,國立中正大學,2212752,280766,-323531,84750,...,41986
105,國立,一般大學,0014,國立高雄師範大學,1407032,193618,-194696,66725,...,65647
105,國立,一般大學,0015,國立彰化師範大學,937158,97216,-139318,94683,...,52581
105,國立,一般大學,0016,國立陽明大學,1019574,187336,-440904,215306,...,-38262
105,國立,一般大學,0017,國立臺北大學,991482,207478,-136293,81828,...,153013
105,國立,一般大學,0018,國立嘉義大學,1617006,293927,-168519,107324,...,232732
105,國立,一般大學,0019,國立高雄大學,633403,95557,-102527,109221,...,102250
105,國立,一般大學,0020,國立東華大學,1608218,367828,-208795,245829,...,404862
105,國立,一般大學,0021,國立暨南國際大學,228011,120833,-100748,57354,...,77439
105,國立,技專校院,0022,國立臺灣科技大學,989954,314627,-304743,228730,...,238614
105,國立,技專校院,0023,國立雲林科技大學,2258823,255179,-439353,275409,...,91235
105,國立,技專校院,0024,國立屏東科技大學,1380312,280613,-401797,238073,...,116889
105,國立,技專校院,0025,國立臺北科技大學,2573255,296887,-322815,475453,...,449525
105,國立,技專校院,0026,國立高雄第一科技大學,1050777,154873,-239019,171192,...,87046
105,國立,技專校院,0027,國立高雄應用科技大學,1830663,316831,-268529,388184,...,436486
105,國立,一般大學,0028,國立臺北藝術大學,288682,65785,-120873,50005,...,-5084
