年度,設立別,學校類別,學校統計處代碼,學校名稱,學雜費收入,業務總收入(總收入),學雜費收入占總收入之比率(%)
105,國立,一般大學,0001,國立政治大學,988059,3955085,24.98
105,國立,一般大學,0002,國立清華大學,794310,6312676,12.58
105,國立,一般大學,0003,國立臺灣大學,1840087,16679243,11.03
105,國立,一般大學,0004,國立臺灣師範大學,805255,5323549,15.13
105,國立,一般大學,0005,國立成功大學,1114597,8199389,13.59
105,國立,一般大學,0006,國立中興大學,799347,4495383,17.78
105,國立,一般大學,0007,國立陽明交通大學,757533,5570296,13.60
105,國立,一般大學,0008,國立中央大學,664076,4634719,14.33
105,國立,一般大學,0009,國立中山大學,557706,3348704,16.65
105,國立,一般大學,0012,國立臺灣海洋大學,479797,2294021,20.92
105,國立,一般大學,0013,國立中正大學,565964,2571608,22.01
105,國立,一般大學,0014,國立高雄師範大學,338950,1340513,25.29
105,國立,一般大學,0015,國立彰化師範大學,438455,1587467,27.62
105,國立,一般大學,0016,國立陽明大學,258502,2520059,10.26
105,國立,一般大學,0017,國立臺北大學,460587,1583853,29.08
105,國立,一般大學,0018,國立嘉義大學,600119,2403890,24.96
105,國立,一般大學,0019,國立高雄大學,285126,1029597,27.69
105,國立,一般大學,0020,國立東華大學,514374,2368827,21.71
105,國立,一般大學,0021,國立暨南國際大學,302856,1255100,24.13
105,國立,技專校院,0022,國立臺灣科技大學,565540,2893629,19.54
105,國立,技專校院,0023,國立雲林科技大學,555969,2167332,25.65
105,國立,技專校院,0024,國立屏東科技大學,570987,2123506,26.89
105,國立,技專校院,0025,國立臺北科技大學,763973,2782438,27.46
105,國立,技專校院,0026,國立高雄第一科技大學,382193,1391104,27.47
105,國立,技專校院,0027,國立高雄應用科技大學,620183,1822636,34.03
105,國立,一般大學,0028,國立臺北藝術大學,176549,810014,21.80
105,國立,一般大學,0029,國立臺灣藝術大學,281404,958323,29.36
105,國立,一般大學,0030,國立臺東大學,235506,1079983,21.81
105,國立,一般大學,0031,國立宜蘭大學,275235,1153047,23.87
105,國立,一般大學,0032,國立聯合大學,365847,1126569,32.47
105,國立,技專校院,0033,國立虎尾科技大學,483957,1553903,31.14
105,國立,技專校院,0034,國立高雄海洋科技大學,368249,1187805,31
105,國立,一般大學,0035,國立臺南藝術大學,89976,499927,18
105,國立,一般大學,0036,國立臺南大學,281861,1160910,24.28
105,國立,一般大學,0037,國立臺北教育大學,278165,1297611,21.44
105,國立,一般大學,0039,國立臺中教育大學,258351,1148616,22.49
105,國立,技專校院,0042,國立澎湖科技大學,125159,537351,23.29
105,國立,技專校院,0043,國立勤益科技大學,582290,1391950,41.83
105,國立,一般大學,0044,國立體育大學,97694,598194,16.33
105,國立,技專校院,0046,國立臺北護理健康大學,210908,731296,28.84
105,國立,技專校院,0047,國立高雄餐旅大學,242046,753518,32.12
105,國立,一般大學,0048,國立金門大學,200188,591070,33.87
105,國立,一般大學,0049,國立臺灣體育運動大學,140650,550596,25.54
105,國立,技專校院,0050,國立臺中科技大學,674605,1666169,40.49
105,國立,技專校院,0051,國立臺北商業大學,342994,964492,35.56
105,國立,一般大學,0052,國立屏東大學,392812,1486116,26.43
105,國立,技專校院,0144,國立臺灣戲曲學院,28417,532574,5.34
105,國立,技專校院,0221,國立臺南護理專科學校,63551,271193,23.43
105,國立,技專校院,0222,國立臺東專科學校,64466,465152,13.86
106,國立,一般大學,0001,國立政治大學,1032816,3976518,25.97
106,國立,一般大學,0002,國立清華大學,799665,6519121,12.27
106,國立,一般大學,0003,國立臺灣大學,1787481,16976768,10.53
106,國立,一般大學,0004,國立臺灣師範大學,824605,5465414,15.09
106,國立,一般大學,0005,國立成功大學,1129175,8536219,13.23
106,國立,一般大學,0006,國立中興大學,788550,4564724,17.27
106,國立,一般大學,0007,國立陽明交通大學,770907,5783589,13.33
106,國立,一般大學,0008,國立中央大學,657628,4406651,14.92
106,國立,一般大學,0009,國立中山大學,559048,3413908,16.38
106,國立,一般大學,0012,國立臺灣海洋大學,474429,2352371,20.17
106,國立,一般大學,0013,國立中正大學,578959,2600495,22.26
106,國立,一般大學,0014,國立高雄師範大學,340630,1381728,24.65
106,國立,一般大學,0015,國立彰化師範大學,438516,1618740,27.09
106,國立,一般大學,0016,國立陽明大學,262016,2522807,10.39
106,國立,一般大學,0017,國立臺北大學,464575,1607467,28.90
106,國立,一般大學,0018,國立嘉義大學,531031,2339016,22.70
106,國立,一般大學,0019,國立高雄大學,288845,1047277,27.58
106,國立,一般大學,0020,國立東華大學,510761,2353131,21.71
106,國立,一般大學,0021,國立暨南國際大學,310386,1291740,24.03
106,國立,技專校院,0022,國立臺灣科技大學,587637,2906029,20.22
106,國立,技專校院,0023,國立雲林科技大學,558682,2145164,26.04
106,國立,技專校院,0024,國立屏東科技大學,577938,2221952,26.01
106,國立,技專校院,0025,國立臺北科技大學,734534,2871176,25.58
106,國立,技專校院,0026,國立高雄第一科技大學,386677,1430676,27.03
106,國立,技專校院,0027,國立高雄應用科技大學,622578,1803359,34.52
106,國立,一般大學,0028,國立臺北藝術大學,171951,810446,21.22
106,國立,一般大學,0029,國立臺灣藝術大學,282521,994592,28.41
106,國立,一般大學,0030,國立臺東大學,232809,1044786,22.28
106,國立,一般大學,0031,國立宜蘭大學,275333,1199203,22.96
106,國立,一般大學,0032,國立聯合大學,362277,1204300,30.08
106,國立,技專校院,0033,國立虎尾科技大學,485956,1653341,29.39
106,國立,技專校院,0034,國立高雄海洋科技大學,355595,1215610,29.25
106,國立,一般大學,0035,國立臺南藝術大學,92347,539169,17.13
106,國立,一般大學,0036,國立臺南大學,275993,1162828,23.73
106,國立,一般大學,0037,國立臺北教育大學,286167,1356647,21.09
106,國立,一般大學,0039,國立臺中教育大學,258243,1188943,21.72
106,國立,技專校院,0042,國立澎湖科技大學,123482,526957,23.43
106,國立,技專校院,0043,國立勤益科技大學,572886,1439797,39.79
106,國立,一般大學,0044,國立體育大學,105192,613122,17.16
106,國立,技專校院,0046,國立臺北護理健康大學,224338,776528,28.89
106,國立,技專校院,0047,國立高雄餐旅大學,238060,746688,31.88
106,國立,一般大學,0048,國立金門大學,200839,631620,31.80
106,國立,一般大學,0049,國立臺灣體育運動大學,139001,576716,24.10
106,國立,技專校院,0050,國立臺中科技大學,670072,1691822,39.61
106,國立,技專校院,0051,國立臺北商業大學,352055,989402,35.58
106,國立,一般大學,0052,國立屏東大學,412668,1547928,26.66
106,國立,技專校院,0144,國立臺灣戲曲學院,32787,566992,5.78
106,國立,技專校院,0221,國立臺南護理專科學校,63335,275287,23.01
106,國立,技專校院,0222,國立臺東專科學校,63574,416298,15.27
107,國立,一般大學,0001,國立政治大學,1066514,4276684,24.94
107,國立,一般大學,0002,國立清華大學,799219,6870739,11.63
107,國立,一般大學,0003,國立臺灣大學,1789484,17385571,10.29
107,國立,一般大學,0004,國立臺灣師範大學,814243,5872004,13.87
107,國立,一般大學,0005,國立成功大學,1145115,9432136,12.14
107,國立,一般大學,0006,國立中興大學,800065,5403304,14.81
107,國立,一般大學,0007,國立陽明交通大學,777204,6506272,11.95
107,國立,一般大學,0008,國立中央大學,648659,4567811,14.20
107,國立,一般大學,0009,國立中山大學,566184,3585297,15.79
107,國立,一般大學,0012,國立臺灣海洋大學,466394,2552805,18.27
107,國立,一般大學,0013,國立中正大學,588784,2790120,21.10
107,國立,一般大學,0014,國立高雄師範大學,346535,1461259,23.71
107,國立,一般大學,0015,國立彰化師範大學,437091,1704405,25.64
107,國立,一般大學,0016,國立陽明大學,260907,2737874,9.53
107,國立,一般大學,0017,國立臺北大學,466846,1717968,27.17
107,國立,一般大學,0018,國立嘉義大學,558984,2506390,22.30
107,國立,一般大學,0019,國立高雄大學,282424,1113657,25.36
107,國立,一般大學,0020,國立東華大學,506173,2491283,20.32
107,國立,一般大學,0021,國立暨南國際大學,302303,1404571,21.52
107,國立,技專校院,0022,國立臺灣科技大學,595959,3234985,18.42
107,國立,技專校院,0023,國立雲林科技大學,558959,2478347,22.55
107,國立,技專校院,0024,國立屏東科技大學,549782,2463538,22.32
107,國立,技專校院,0025,國立臺北科技大學,752935,3160725,23.82
107,國立,一般大學,0028,國立臺北藝術大學,178330,931409,19.15
107,國立,一般大學,0029,國立臺灣藝術大學,275749,1021232,27
107,國立,一般大學,0030,國立臺東大學,229256,1154948,19.85
107,國立,一般大學,0031,國立宜蘭大學,273722,1286553,21.28
107,國立,一般大學,0032,國立聯合大學,355188,1304223,27.23
107,國立,技專校院,0033,國立虎尾科技大學,498965,1946051,25.64
107,國立,一般大學,0035,國立臺南藝術大學,92350,589487,15.67
107,國立,一般大學,0036,國立臺南大學,270009,1258957,21.45
107,國立,一般大學,0037,國立臺北教育大學,290491,1352158,21.48
107,國立,一般大學,0039,國立臺中教育大學,260369,1311784,19.85
107,國立,技專校院,0042,國立澎湖科技大學,125975,572577,22
107,國立,技專校院,0043,國立勤益科技大學,553729,1630468,33.96
107,國立,一般大學,0044,國立體育大學,108256,773492,14
107,國立,技專校院,0046,國立臺北護理健康大學,235397,874710,26.91
107,國立,技專校院,0047,國立高雄餐旅大學,233548,800686,29.17
107,國立,一般大學,0048,國立金門大學,200015,733196,27.28
107,國立,一般大學,0049,國立臺灣體育運動大學,141194,664488,21.25
107,國立,技專校院,0050,國立臺中科技大學,669762,1825580,36.69
107,國立,技專校院,0051,國立臺北商業大學,356029,1080377,32.95
107,國立,一般大學,0052,國立屏東大學,414885,1677862,24.73
107,國立,技專校院,0053,國立高雄科技大學,1351849,4992434,27.08
