年度,設立別,學校類別,學校統計處代碼,學校名稱,負債金額(扣除應付代管資產),總資產金額(扣除代管資產),負債占總資產比率(%)(扣除代管資產及應付代管資產)
105,國立,一般大學,0001,國立政治大學,2681473,10755999,24.93
105,國立,一般大學,0002,國立清華大學,4339984,16688817,26.01
105,國立,一般大學,0003,國立臺灣大學,15659132,49224737,31.81
105,國立,一般大學,0004,國立臺灣師範大學,940758,7765431,12.11
105,國立,一般大學,0005,國立成功大學,5711108,19770574,28.89
105,國立,一般大學,0006,國立中興大學,1856966,9379200,19.80
105,國立,一般大學,0007,國立陽明交通大學,4283247,12968949,33.03
105,國立,一般大學,0008,國立中央大學,2633999,9533861,27.63
105,國立,一般大學,0009,國立中山大學,2129384,7443455,28.61
105,國立,一般大學,0012,國立臺灣海洋大學,692764,4868427,14.23
105,國立,一般大學,0013,國立中正大學,1120610,7379894,15.18
105,國立,一般大學,0014,國立高雄師範大學,265620,3439148,7.72
105,國立,一般大學,0015,國立彰化師範大學,829677,3492012,23.76
105,國立,一般大學,0016,國立陽明大學,1613551,5627988,28.67
105,國立,一般大學,0017,國立臺北大學,380142,5015828,7.58
105,國立,一般大學,0018,國立嘉義大學,421943,5527601,7.63
105,國立,一般大學,0019,國立高雄大學,242063,3870411,6.25
105,國立,一般大學,0020,國立東華大學,891850,9489971,9.40
105,國立,一般大學,0021,國立暨南國際大學,470412,3297773,14.26
105,國立,技專校院,0022,國立臺灣科技大學,1269768,5795740,21.91
105,國立,技專校院,0023,國立雲林科技大學,738999,5319396,13.89
105,國立,技專校院,0024,國立屏東科技大學,967345,5131771,18.85
105,國立,技專校院,0025,國立臺北科技大學,1102465,8477038,13.01
105,國立,技專校院,0026,國立高雄第一科技大學,511951,4259066,12.02
105,國立,技專校院,0027,國立高雄應用科技大學,796720,6473237,12.31
105,國立,一般大學,0028,國立臺北藝術大學,276083,2077205,13.29
105,國立,一般大學,0029,國立臺灣藝術大學,342487,3210284,10.67
105,國立,一般大學,0030,國立臺東大學,135192,4768849,2.83
105,國立,一般大學,0031,國立宜蘭大學,385841,4547475,8.48
105,國立,一般大學,0032,國立聯合大學,269667,5260002,5.13
105,國立,技專校院,0033,國立虎尾科技大學,445723,4072914,10.94
105,國立,技專校院,0034,國立高雄海洋科技大學,507495,3457830,14.68
105,國立,一般大學,0035,國立臺南藝術大學,35263,1940850,1.82
105,國立,一般大學,0036,國立臺南大學,223765,2432421,9.20
105,國立,一般大學,0037,國立臺北教育大學,252161,2941229,8.57
105,國立,一般大學,0039,國立臺中教育大學,382887,3040354,12.59
105,國立,技專校院,0042,國立澎湖科技大學,62644,2380607,2.63
105,國立,技專校院,0043,國立勤益科技大學,327197,4345779,7.53
105,國立,一般大學,0044,國立體育大學,137494,2556916,5.38
105,國立,技專校院,0046,國立臺北護理健康大學,93450,1972179,4.74
105,國立,技專校院,0047,國立高雄餐旅大學,310038,2710005,11.44
105,國立,一般大學,0048,國立金門大學,289460,2383025,12.15
105,國立,一般大學,0049,國立臺灣體育運動大學,66216,2098746,3.16
105,國立,技專校院,0050,國立臺中科技大學,122748,4182464,2.93
105,國立,技專校院,0051,國立臺北商業大學,124125,3353843,3.70
105,國立,一般大學,0052,國立屏東大學,214345,4065038,5.27
105,國立,技專校院,0144,國立臺灣戲曲學院,137183,1355774,10.12
105,國立,技專校院,0221,國立臺南護理專科學校,20409,1693021,1.21
105,國立,技專校院,0222,國立臺東專科學校,27177,1839252,1.48
106,國立,一般大學,0001,國立政治大學,3099921,11456433,27.06
106,國立,一般大學,0002,國立清華大學,4690467,17282084,27.14
106,國立,一般大學,0003,國立臺灣大學,16757259,51161127,32.75
106,國立,一般大學,0004,國立臺灣師範大學,1175570,8166958,14.39
106,國立,一般大學,0005,國立成功大學,6323522,20518898,30.82
106,國立,一般大學,0006,國立中興大學,2063265,9620282,21.45
106,國立,一般大學,0007,國立陽明交通大學,4621544,13312339,34.72
106,國立,一般大學,0008,國立中央大學,2546962,9588897,26.56
106,國立,一般大學,0009,國立中山大學,2294236,7739300,29.64
106,國立,一般大學,0012,國立臺灣海洋大學,768535,4985425,15.42
106,國立,一般大學,0013,國立中正大學,1247543,7584592,16.45
106,國立,一般大學,0014,國立高雄師範大學,375635,3569354,10.52
106,國立,一般大學,0015,國立彰化師範大學,921271,3625804,25.41
106,國立,一般大學,0016,國立陽明大學,1689920,5810823,29.08
106,國立,一般大學,0017,國立臺北大學,464540,5463802,8.50
106,國立,一般大學,0018,國立嘉義大學,579483,5741845,10.09
106,國立,一般大學,0019,國立高雄大學,262348,3870729,6.78
106,國立,一般大學,0020,國立東華大學,937952,9797044,9.57
106,國立,一般大學,0021,國立暨南國際大學,555443,3374238,16.46
106,國立,技專校院,0022,國立臺灣科技大學,1387416,6142409,22.59
106,國立,技專校院,0023,國立雲林科技大學,843530,5637571,14.96
106,國立,技專校院,0024,國立屏東科技大學,1013208,5403928,18.75
106,國立,技專校院,0025,國立臺北科技大學,1249324,9008249,13.87
106,國立,技專校院,0026,國立高雄第一科技大學,544666,4433760,12.28
106,國立,技專校院,0027,國立高雄應用科技大學,839640,6723638,12.49
106,國立,一般大學,0028,國立臺北藝術大學,449388,2285610,19.66
106,國立,一般大學,0029,國立臺灣藝術大學,226340,3478649,6.51
106,國立,一般大學,0030,國立臺東大學,176300,4783943,3.69
106,國立,一般大學,0031,國立宜蘭大學,580857,4965780,11.70
106,國立,一般大學,0032,國立聯合大學,311975,5362981,5.82
106,國立,技專校院,0033,國立虎尾科技大學,479750,4341170,11.05
106,國立,技專校院,0034,國立高雄海洋科技大學,571761,3576460,15.99
106,國立,一般大學,0035,國立臺南藝術大學,77396,2021862,3.83
106,國立,一般大學,0036,國立臺南大學,312913,2528459,12.38
106,國立,一般大學,0037,國立臺北教育大學,258543,3070965,8.42
106,國立,一般大學,0039,國立臺中教育大學,410369,3151973,13.02
106,國立,技專校院,0042,國立澎湖科技大學,63146,2424763,2.60
106,國立,技專校院,0043,國立勤益科技大學,371989,4514569,8.24
106,國立,一般大學,0044,國立體育大學,145572,2802938,5.19
106,國立,技專校院,0046,國立臺北護理健康大學,110409,2087096,5.29
106,國立,技專校院,0047,國立高雄餐旅大學,342571,2855387,12
106,國立,一般大學,0048,國立金門大學,261369,2386773,10.95
106,國立,一般大學,0049,國立臺灣體育運動大學,115696,2231049,5.19
106,國立,技專校院,0050,國立臺中科技大學,155569,4479215,3.47
