設立別,學校類別,學校統計處代碼,學校名稱,財務報表公告網址
國立,一般大學,0001,國立政治大學,http://www.acc.nccu.edu.tw/content/%E9%A0%90%E7%AE%97%E5%8F%8A%E6%B1%BA%E7%AE%97
國立,一般大學,0002,國立清華大學,https://account.site.nthu.edu.tw/
國立,一般大學,0003,國立臺灣大學,http://www.ntuacc.ntu.edu.tw/web/finance/finance.jsp
國立,一般大學,0004,國立臺灣師範大學,http://iweb.ntnu.edu.tw/accwww/finance.php
國立,一般大學,0005,國立成功大學,http://acco.ncku.edu.tw/
國立,一般大學,0006,國立中興大學,http://account.nchu.edu.tw/nchu/index.aspx
國立,一般大學,0007,國立陽明交通大學,https://acc.nycu.edu.tw/
國立,一般大學,0008,國立中央大學,http://oa-22.adm.ncu.edu.tw/
國立,一般大學,0009,國立中山大學,https://acc.nsysu.edu.tw/
國立,一般大學,0012,國立臺灣海洋大學,https://acc.ntou.edu.tw/
國立,一般大學,0013,國立中正大學,https://account.ccu.edu.tw/?page_id=582
國立,一般大學,0014,國立高雄師範大學,https://www.nknu.edu.tw/~acc/
國立,一般大學,0015,國立彰化師範大學,http://accounting.ncue.edu.tw/bin/home.php
國立,一般大學,0016,國立陽明大學,http://acc.web.ym.edu.tw/files/11-1145-1551.php
國立,一般大學,0017,國立臺北大學,http://www.ntpu.edu.tw/admin/a5/eqpaper_other.php
國立,一般大學,0018,國立嘉義大學,http://www.ncyu.edu.tw/account/itemize_list.aspx?site_content_sn=50501
國立,一般大學,0019,國立高雄大學,https://acc.nuk.edu.tw/
國立,一般大學,0020,國立東華大學,https://accounting.ndhu.edu.tw/files/11-1023-1623.php?Lang=zh-tw
國立,一般大學,0021,國立暨南國際大學,http://www.doc.ncnu.edu.tw/account/index.php?option=com_content&view=category&id=84&Itemid=141
國立,技專校院,0022,國立臺灣科技大學,http://140.118.70.193/webppr/EQPAPER.HTM
國立,技專校院,0023,國立雲林科技大學,http://acx.yuntech.edu.tw/index.php?option=com_content&task=view&id=848&Itemid=662
國立,技專校院,0024,國立屏東科技大學,http://140.127.2.179/
國立,技專校院,0025,國立臺北科技大學,https://ao.ntut.edu.tw/
國立,一般大學,0028,國立臺北藝術大學,http://account.tnua.edu.tw/accounting/main/report.php
國立,一般大學,0029,國立臺灣藝術大學,http://140.131.21.61/webppr/EQPAPER.HTM
國立,一般大學,0030,國立臺東大學,https://acc.nttu.edu.tw/p/412-1046-9611.php?Lang=zh-tw
國立,一般大學,0031,國立宜蘭大學,http://actwww2.niu.edu.tw/files/11-1012-1341.php?Lang=zh-tw
國立,一般大學,0032,國立聯合大學,https://acc.nuu.edu.tw/p/412-1009-3336.php?Lang=zh-tw
國立,技專校院,0033,國立虎尾科技大學,http://account.nfu.edu.tw/files/11-1009-7162.php
國立,一般大學,0035,國立臺南藝術大學,https://accounting.tnnua.edu.tw/p/412-1022-111.php?Lang=zh-tw
國立,一般大學,0036,國立臺南大學,http://accountweb.nutn.edu.tw/webppr/EQPAPER.HTM
國立,一般大學,0037,國立臺北教育大學,http://p10.ntue.edu.tw/bookxml.html
國立,一般大學,0039,國立臺中教育大學,https://acc.ntcu.edu.tw/
國立,技專校院,0042,國立澎湖科技大學,http://www.npu.edu.tw/sub/from/index.asp?m=2&m1=6&m2=438&gp=32&gp1=437
國立,技專校院,0043,國立勤益科技大學,http://info.ncut.edu.tw/files/11-1042-4087.php
國立,一般大學,0044,國立體育大學,https://accounting.ntsu.edu.tw/p/412-1007-30.php?Lang=zh-tw
國立,技專校院,0046,國立臺北護理健康大學,http://acco.ntunhs.edu.tw/files/40-1023-779-1.php
國立,技專校院,0047,國立高雄餐旅大學,http://acc1073.nkuht.edu.tw/p/426-1014-7.php?Lang=zh-tw
國立,一般大學,0048,國立金門大學,http://www.nqu.edu.tw/orgaccounting/index.php?code=list&ids=1096
國立,一般大學,0049,國立臺灣體育運動大學,https://acc.ntus.edu.tw/
國立,技專校院,0050,國立臺中科技大學,http://acc.nutc.edu.tw/files/11-1011-7381.php
國立,技專校院,0051,國立臺北商業大學,https://acct.ntub.edu.tw/
國立,一般大學,0052,國立屏東大學,https://acc.nptu.edu.tw/
國立,技專校院,0053,國立高雄科技大學,https://accounting.nkust.edu.tw/p/412-1020-2308.php
國立,技專校院,0144,國立臺灣戲曲學院,https://rb007.tcpa.edu.tw/
國立,技專校院,0221,國立臺南護理專科學校,http://www.ntin.edu.tw/administration_president1.aspx?id=283
國立,技專校院,0222,國立臺東專科學校,https://accounting.ntc.edu.tw/
