學校名稱,財務報告公告網址 
國立臺灣大學,http://www.ntuacc.ntu.edu.tw/chief/chief8.jsp  
國立政治大學,http://www.acc.nccu.edu.tw/content/%E9%A0%90%E7%AE%97%E5%8F%8A%E6%B1%BA%E7%AE%97 
"國立政治大學附設實驗
國民小學",http://www.acc.nccu.edu.tw/content/%E9%A0%90%E7%AE%97%E5%8F%8A%E6%B1%BA%E7%AE%97
國立清華大學,http://account.web.nthu.edu.tw/files/11-1098-2993.php 
國立中興大學,http://account.nchu.edu.tw/nchu/index.aspx
國立成功大學,http://acco.ncku.edu.tw/files/11-1017-1398-1.php?Lang=zh-tw 
國立交通大學,https://accountpwss.nctu.edu.tw/webppr/eqpaper.htm (預決算)(不含xml檔)
,(新增)http://account.nctu.edu.tw/budget.php(預算)(包含xml檔)
,(新增)http://account.nctu.edu.tw/account.php(決算及月報)(包含xml檔)
國立中央大學,http://140.115.183.112:88/side/page.php?id=21(預算)
,http://140.115.183.112:88/side/page.php?id=53(決算)
,http://140.115.183.112:88/side/page.php?id=55(月報)
國立中山大學,http://acc.nsysu.edu.tw/files/11-1018-7351.php?Lang=zh-tw
國立中正大學,http://140.123.13.144/?page_id=338
國立臺灣海洋大學,http://www.acc.ntou.edu.tw/wordpress/%e8%b2%a1%e5%8b%99%e8%b3%87%e8%a8%8a%e5%85%ac%e9%96%8b/
國立陽明大學,http://ymadm1.ym.edu.tw/event/ymbulletin.asp?page=1&College=& dept=&keyword=&kind=13 
國立東華大學,http://www.accounting.ndhu.edu.tw/files/11-1023-14893-1.php 
"國立東華大學附設實驗
國民小學",http://210.240.97.23/webppr/EQPAPER.HTM 
國立暨南國際大學,http://www.doc.ncnu.edu.tw/account/index.php?option=com_content&view=category&id=84&Itemid=141
國立臺北大學,http://www.ntpu.edu.tw/admin/a5/eqpaper_other.php  
國立嘉義大學,http://www.ncyu.edu.tw/account/itemize_list.aspx?site_content_sn= 50501
"國立嘉義大學附設實驗
國民小學",http://140.130.211.140/WEBPPR/EQPAPER.HTM(預、決算、月報)(不含xml檔)
,http://140.130.211.182/eweb/office07(預、決算xml檔)
國立高雄大學,http://acc.nuk.edu.tw/cht/0G/ 
國立臺東大學,http://acc.nttu.edu.tw/files/11-1033-1403.php?Lang=zh-tw
"國立臺東大學附設實驗
國民小學",http://210.240.151.8/webppr/EQPAPER.HTM 
國立宜蘭大學,公告預算網址:http://actwww2.niu.edu.tw/files/11-1012-1341.php?Lang=zh-tw
,公告決算網址:http://actwww2.niu.edu.tw/files/11-1012-1342.php?Lang=zh-tw
,公告會計報表網址:http://actwww2.niu.edu.tw/files/11-1012-1346.php
