年度,基金代碼,基金名稱,"學雜費收入占總收入比率
(財務結構，註1)","負債占資產比率
(財務結構允當性)","速動比率
(短期償債能力)","營運活動淨現金流量占流動負債比率
(指學校營運產生的主要收支現金賸餘，用以償還流動負債之能力)"
101,1,國立政治大學,23.63%,11.82%,180.63%,23.50%
101,2,國立清華大學,10.72%,9.64%,258.79%,-37.87%
101,3,國立臺灣大學,11.10%,20.27%,142.38%,15.40%
101,4,國立臺灣師範大學,14.91%,11.08%,418.21%,37.29%
101,5,國立成功大學,14.06%,21.56%,175.21%,24.94%
101,6,國立中興大學,18.23%,15.67%,211.89%,24.12%
101,7,國立交通大學,13.22%,21.71%,146.17%,11.85%
101,8,國立中央大學,14.75%,22.81%,181.53%,2.52%
101,9,國立中山大學,16.48%,25.98%,185.34%,26.74%
101,12,國立臺灣海洋大學,21.72%,8.28%,587.33%,74.25%
101,13,國立中正大學,22.43%,12.44%,452.83%,54.33%
101,14,國立高雄師範大學,27.47%,6.07%,828.45%,76.80%
101,15,國立彰化師範大學,27.64%,11.02%,404.19%,32.39%
101,16,國立陽明大學,10.40%,17.05%,277.16%,34.23%
101,17,國立臺北大學,30.47%,5.55%,374.62%,67.68%
101,18,國立嘉義大學,25.67%,4.56%,452.43%,160.08%
101,19,國立高雄大學,30.48%,3.94%,624.81%,71.58%
101,20,國立東華大學,22.66%,14.15%,402.59%,24.21%
101,21,國立暨南國際大學,23.56%,8.63%,152.81%,18.59%
101,22,國立臺灣科技大學,19.99%,13.60%,179.07%,20.68%
101,23,國立雲林科技大學,26.40%,14.00%,407.78%,47.44%
101,24,國立屏東科技大學,26.06%,9.30%,425.28%,40.24%
101,25,國立臺北科技大學,25.55%,9.22%,405.65%,52.44%
101,26,國立高雄第一科技大學,30.15%,8.20%,404.76%,50.93%
101,27,國立高雄應用科技大學,35.28%,12.28%,274.51%,42.16%
101,28,國立臺北藝術大學,18.06%,5.93%,424.42%,11.90%
101,29,國立臺灣藝術大學,31.24%,6.57%,2714.44%,263.10%
101,30,國立臺東大學,26.05%,6.74%,431.26%,64.84%
101,31,國立宜蘭大學,23.76%,3.72%,1955.46%,209.58%
101,32,國立聯合大學,33.70%,7.44%,392.61%,57.75%
101,33,國立虎尾科技大學,34.45%,8.31%,458.10%,86.25%
101,34,國立高雄海洋科技大學,32.62%,12.88%,340.19%,47.11%
101,35,國立臺南藝術大學,19.55%,1.59%,5318.23%,534.41%
101,36,國立臺南大學,27.13%,6.75%,616.28%,44.65%
101,37,國立臺北教育大學,23.67%,8.22%,862.86%,128.90%
101,38,國立新竹教育大學,18.64%,5.36%,823.75%,72.65%
101,39,國立臺中教育大學,23.72%,9.38%,852.45%,129.10%
101,40,國立屏東教育大學,21.03%,2.93%,3179.42%,192.34%
101,42,國立澎湖科技大學,26.46%,2.15%,1727.94%,167.46%
101,43,國立勤益科技大學,38.81%,7.17%,534.16%,59.77%
101,44,國立體育大學,18.27%,4.22%,2064.54%,244.40%
101,46,國立臺北護理健康大學,25.87%,4.29%,1629.73%,146.38%
101,47,國立高雄餐旅大學,32.39%,12.32%,274.69%,20.54%
101,48,國立金門大學,33.07%,9.03%,131.59%,38.16%
101,49,國立臺灣體育運動大學,27.64%,2.19%,3483.42%,330.09%
101,136,國立屏東商業技術學院,33.55%,3.10%,2793.40%,210.36%
101,137,國立臺中技術學院,44.05%,3.90%,1476.02%,183.26%
101,142,國立臺北商業技術學院,37.46%,2.31%,2235.72%,184.36%
101,144,國立臺灣戲曲學院,4.64%,10.33%,2061.15%,339.25%
101,220,國立臺中護理專科學校,24.34%,1.17%,9528.65%,1579.87%
101,221,國立臺南護理專科學校,25.99%,2.21%,2095.24%,46.60%
101,222,國立臺東專科學校,15.65%,5.36%,438.05%,164.01%
102,1,國立政治大學,24.48%,15.00%,166.59%,46.35%
102,2,國立清華大學,10.89%,9.70%,170.66%,108.33%
102,3,國立臺灣大學,11.71%,20.85%,153.15%,21.28%
102,4,國立臺灣師範大學,15.35%,9.47%,534.21%,67.68%
102,5,國立成功大學,14.26%,22.60%,165.04%,23.54%
102,6,國立中興大學,18.36%,15.99%,192.83%,33.10%
102,7,國立交通大學,13.13%,24.31%,139.55%,28.82%
102,8,國立中央大學,14.62%,21.27%,201.70%,19.77%
102,9,國立中山大學,16.61%,26.50%,178.05%,28.72%
102,12,國立臺灣海洋大學,21.50%,8.87%,554.92%,41.55%
102,13,國立中正大學,21.89%,12.19%,435.11%,31.33%
102,14,國立高雄師範大學,26.59%,6.48%,801.87%,57.10%
102,15,國立彰化師範大學,28.38%,10.65%,387.43%,25.57%
102,16,國立陽明大學,10.51%,19.64%,232.88%,28.29%
102,17,國立臺北大學,30.62%,5.88%,351.10%,65.55%
102,18,國立嘉義大學,25.97%,4.57%,590.46%,167.81%
102,19,國立高雄大學,30.61%,4.12%,498.88%,40.63%
102,20,國立東華大學,22.30%,9.40%,288.68%,42.28%
102,21,國立暨南國際大學,23.82%,9.78%,167.56%,30.55%
102,22,國立臺灣科技大學,20.00%,14.43%,179.91%,26.01%
102,23,國立雲林科技大學,27.11%,14.14%,421.40%,42.29%
102,24,國立屏東科技大學,27.89%,9.34%,421.94%,57.06%
102,25,國立臺北科技大學,27.05%,11.09%,383.35%,62.41%
102,26,國立高雄第一科技大學,29.98%,9.14%,404.70%,40.91%
102,27,國立高雄應用科技大學,37.41%,12.64%,220.65%,40.49%
102,28,國立臺北藝術大學,20.55%,6.34%,304.73%,88.76%
102,29,國立臺灣藝術大學,30.71%,6.92%,1582.31%,132.68%
102,30,國立臺東大學,25.78%,6.89%,198.35%,49.88%
102,31,國立宜蘭大學,24.22%,2.70%,2321.51%,181.62%
102,32,國立聯合大學,34.12%,10.33%,220.49%,38.90%
102,33,國立虎尾科技大學,34.01%,8.02%,521.77%,90.18%
102,34,國立高雄海洋科技大學,32.73%,15.02%,344.74%,48.92%
102,35,國立臺南藝術大學,18.50%,1.56%,4608.65%,428.73%
102,36,國立臺南大學,26.44%,8.01%,536.38%,57.51%
102,37,國立臺北教育大學,23.29%,8.52%,772.65%,67.62%
102,38,國立新竹教育大學,18.65%,5.13%,952.53%,131.93%
102,39,國立臺中教育大學,23.99%,10.30%,786.11%,57.75%
102,40,國立屏東教育大學,25.16%,4.11%,2543.16%,266.39%
102,42,國立澎湖科技大學,25.58%,2.20%,1731.36%,129.14%
102,43,國立勤益科技大學,37.17%,7.39%,489.32%,55.14%
102,44,國立體育大學,18.61%,3.82%,1380.75%,218.28%
102,46,國立臺北護理健康大學,27.13%,4.33%,1639.13%,158.58%
102,47,國立高雄餐旅大學,31.83%,13.18%,275.53%,31.51%
102,48,國立金門大學,31.06%,9.21%,133.58%,-73.26%
102,49,國立臺灣體育運動大學,25.45%,2.26%,2813.09%,377.00%
102,50,國立臺中科技大學,42.60%,3.86%,1840.42%,258.40%
102,136,國立屏東商業技術學院,33.96%,3.20%,3012.03%,215.08%
102,142,國立臺北商業技術學院,36.82%,3.92%,811.45%,114.02%
102,144,國立臺灣戲曲學院,4.74%,9.90%,2036.61%,484.32%
102,221,國立臺南護理專科學校,24.49%,3.52%,1272.60%,243.27%
102,222,國立臺東專科學校,14.87%,3.68%,860.61%,127.41%
103,1,國立政治大學,24.57%,16.65%,151.22%,44.19%
103,2,國立清華大學,11.45%,10.85%,152.92%,49.69%
103,3,國立臺灣大學,11.09%,21.74%,148.47%,34.87%
103,4,國立臺灣師範大學,14.93%,10.14%,513.13%,76.77%
103,5,國立成功大學,13.48%,23.15%,156.06%,15.05%
103,6,國立中興大學,17.88%,16.56%,195.30%,34.64%
103,7,國立交通大學,13.28%,25.84%,151.85%,1.72%
103,8,國立中央大學,14.08%,19.95%,220.29%,26.02%
103,9,國立中山大學,16.57%,26.99%,174.83%,26.53%
103,12,國立臺灣海洋大學,21.48%,9.80%,482.26%,46.06%
103,13,國立中正大學,22.41%,12.88%,389.27%,34.13%
103,14,國立高雄師範大學,25.37%,6.30%,804.32%,73.28%
103,15,國立彰化師範大學,27.81%,10.31%,408.62%,37.68%
103,16,國立陽明大學,10.26%,21.10%,198.47%,32.10%
103,17,國立臺北大學,29.84%,6.21%,390.25%,68.51%
103,18,國立嘉義大學,25.64%,4.37%,701.51%,167.02%
103,19,國立高雄大學,31.20%,4.28%,447.97%,50.20%
103,20,國立東華大學,22.40%,8.18%,218.95%,55.48%
103,21,國立暨南國際大學,23.99%,10.91%,163.45%,32.06%
103,22,國立臺灣科技大學,20.38%,16.37%,167.22%,24.85%
103,23,國立雲林科技大學,26.07%,13.53%,438.27%,43.61%
103,24,國立屏東科技大學,27.76%,10.26%,394.34%,49.37%
103,25,國立臺北科技大學,27.73%,9.94%,476.35%,82.03%
103,26,國立高雄第一科技大學,29.70%,11.34%,340.70%,38.42%
103,27,國立高雄應用科技大學,35.98%,12.49%,244.65%,40.25%
103,28,國立臺北藝術大學,22.23%,6.82%,302.82%,39.26%
103,29,國立臺灣藝術大學,30.50%,8.83%,918.66%,94.32%
103,30,國立臺東大學,24.55%,3.74%,109.19%,49.17%
103,31,國立宜蘭大學,24.51%,2.91%,2023.15%,180.46%
103,32,國立聯合大學,32.85%,6.86%,315.93%,29.26%
103,33,國立虎尾科技大學,33.49%,9.28%,523.33%,100.04%
103,34,國立高雄海洋科技大學,32.38%,14.07%,328.27%,38.81%
103,35,國立臺南藝術大學,18.74%,1.67%,4231.35%,389.10%
103,36,國立臺南大學,26.04%,9.13%,483.99%,55.28%
103,37,國立臺北教育大學,22.74%,8.56%,712.83%,87.77%
103,38,國立新竹教育大學,18.81%,6.55%,870.63%,127.94%
103,39,國立臺中教育大學,23.51%,10.97%,648.56%,97.15%
103,40,國立屏東教育大學,24.64%,4.53%,2203.33%,157.75%
103,42,國立澎湖科技大學,24.85%,2.11%,2171.01%,145.91%
103,43,國立勤益科技大學,38.78%,7.15%,528.64%,53.78%
103,44,國立體育大學,17.84%,3.93%,2233.78%,254.30%
103,46,國立臺北護理健康大學,26.57%,3.73%,2114.59%,148.89%
103,47,國立高雄餐旅大學,30.85%,12.58%,274.64%,23.31%
103,48,國立金門大學,31.64%,6.13%,116.72%,174.62%
103,49,國立臺灣體育運動大學,26.77%,2.06%,4300.18%,119.53%
103,50,國立臺中科技大學,41.70%,3.39%,2504.54%,302.15%
103,136,國立屏東商業技術學院,34.47%,3.97%,3027.79%,221.55%
103,142,國立臺北商業技術學院,36.29%,5.37%,714.89%,106.65%
103,144,國立臺灣戲曲學院,4.70%,8.74%,2971.52%,467.73%
103,221,國立臺南護理專科學校,24.76%,2.05%,2634.04%,158.61%
103,222,國立臺東專科學校,14.35%,5.31%,1551.96%,230.93%
104,1,國立政治大學,24.94%,22.88%,144.00%,46.00%
104,2,國立清華大學,11.45%,15.28%,88.22%,40.61%
104,3,國立臺灣大學,11.23%,23.16%,150.35%,25.54%
104,4,國立臺灣師範大學,14.76%,10.59%,494.60%,45.00%
104,5,國立成功大學,13.48%,24.65%,143.87%,17.73%
104,6,國立中興大學,17.63%,17.68%,205.40%,39.50%
104,7,國立交通大學,13.79%,28.66%,119.94%,24.68%
104,8,國立中央大學,15.48%,23.05%,190.63%,39.82%
104,9,國立中山大學,16.66%,26.44%,177.57%,22.39%
104,12,國立臺灣海洋大學,21.33%,11.97%,418.67%,49.38%
104,13,國立中正大學,22.30%,13.85%,354.24%,28.44%
104,14,國立高雄師範大學,25.88%,7.11%,730.77%,65.78%
104,15,國立彰化師範大學,27.54%,18.92%,386.55%,41.24%
104,16,國立陽明大學,10.31%,26.35%,165.68%,16.71%
104,17,國立臺北大學,29.45%,6.81%,412.84%,52.56%
104,18,國立嘉義大學,25.36%,5.32%,639.12%,140.57%
104,19,國立高雄大學,28.81%,5.01%,399.81%,39.70%
104,20,國立東華大學,22.56%,8.25%,307.79%,54.30%
104,21,國立暨南國際大學,24.17%,12.78%,154.24%,35.26%
104,22,國立臺灣科技大學,19.51%,18.01%,166.65%,36.88%
104,23,國立雲林科技大學,26.74%,13.32%,453.96%,46.87%
104,24,國立屏東科技大學,27.07%,12.55%,353.61%,49.27%
104,25,國立臺北科技大學,28.84%,10.09%,582.67%,93.96%
104,26,國立高雄第一科技大學,28.38%,11.53%,318.96%,31.65%
104,27,國立高雄應用科技大學,35.72%,12.03%,301.93%,41.02%
104,28,國立臺北藝術大學,22.39%,7.21%,301.78%,53.61%
104,29,國立臺灣藝術大學,30.68%,6.32%,1753.14%,-20.32%
104,30,國立臺東大學,23.63%,4.63%,169.71%,112.65%
104,31,國立宜蘭大學,24.55%,3.68%,1634.24%,182.62%
104,32,國立聯合大學,31.09%,5.03%,432.13%,30.05%
104,33,國立虎尾科技大學,32.29%,9.43%,537.19%,86.46%
104,34,國立高雄海洋科技大學,31.78%,14.91%,319.42%,38.10%
104,35,國立臺南藝術大學,18.26%,1.99%,5494.10%,445.45%
104,36,國立臺南大學,24.79%,9.53%,504.18%,50.14%
104,37,國立臺北教育大學,21.67%,9.89%,647.88%,44.22%
104,38,國立新竹教育大學,18.55%,6.96%,857.52%,125.30%
104,39,國立臺中教育大學,23.29%,12.10%,586.90%,77.98%
104,42,國立澎湖科技大學,24.06%,2.70%,2241.66%,171.43%
104,43,國立勤益科技大學,40.84%,7.36%,549.38%,67.21%
104,44,國立體育大學,17.33%,5.83%,1208.27%,138.25%
104,46,國立臺北護理健康大學,28.17%,4.83%,2290.39%,152.62%
104,47,國立高雄餐旅大學,31.72%,12.39%,283.74%,23.99%
104,48,國立金門大學,35.68%,6.30%,126.85%,12.09%
104,49,國立臺灣體育運動大學,27.81%,2.78%,4653.86%,270.27%
104,50,國立臺中科技大學,40.85%,3.65%,2386.90%,293.35%
104,51,國立臺北商業大學,34.49%,4.33%,1018.90%,89.44%
104,52,國立屏東大學,27.09%,5.34%,1703.39%,125.86%
104,144,國立臺灣戲曲學院,4.85%,9.38%,2113.12%,409.30%
104,221,國立臺南護理專科學校,24.20%,2.33%,4787.70%,422.08%
104,222,國立臺東專科學校,15.00%,3.65%,2622.28%,167.65%
