年度,設立別,學校類別,學校統計處代碼,學校名稱,學雜費收入占總收入比率(%)(財務結構，註1),負債占總資產比率(%)(財務結構允當性),速動比率(%)(短期償債能力),營運活動淨現金流量占流動負債比率(%)(指學校營運產生的主要收支現金賸餘，用以償還流動負債之能力)
105,國立,一般大學,0001,國立政治大學,24.98,24.93,162.16,32.06
105,國立,一般大學,0002,國立清華大學,11.35,29.12,89.81,42.71
105,國立,一般大學,0003,國立臺灣大學,11.03,31.81,151.99,16.24
105,國立,一般大學,0004,國立臺灣師範大學,15.13,12.11,522.41,62.59
105,國立,一般大學,0005,國立成功大學,13.59,28.89,133.53,19.03
105,國立,一般大學,0006,國立中興大學,17.78,19.80,196.37,28.88
105,國立,一般大學,0007,國立陽明交通大學,13.60,33.03,112.18,13.83
105,國立,一般大學,0008,國立中央大學,14.33,27.63,169.65,27.58
105,國立,一般大學,0009,國立中山大學,16.65,28.61,177.33,20.01
105,國立,一般大學,0012,國立臺灣海洋大學,20.92,14.23,414.82,31.93
105,國立,一般大學,0013,國立中正大學,22.01,15.18,326.38,28.11
105,國立,一般大學,0014,國立高雄師範大學,25.29,7.72,745.00,88.22
105,國立,一般大學,0015,國立彰化師範大學,27.62,23.76,385.63,29.88
105,國立,一般大學,0016,國立陽明大學,10.26,28.67,172.17,18.57
105,國立,一般大學,0017,國立臺北大學,29.08,7.58,379.68,61.00
105,國立,一般大學,0018,國立嘉義大學,24.96,7.63,680.22,105.77
105,國立,一般大學,0019,國立高雄大學,27.69,6.25,377.42,45.48
105,國立,一般大學,0020,國立東華大學,21.71,9.40,349.24,55.24
105,國立,一般大學,0021,國立暨南國際大學,24.13,14.26,156.68,28.12
105,國立,技專校院,0022,國立臺灣科技大學,19.54,21.91,187.24,33.44
105,國立,技專校院,0023,國立雲林科技大學,25.65,13.89,427.11,37.19
105,國立,技專校院,0024,國立屏東科技大學,26.89,18.85,320.97,44.88
105,國立,技專校院,0025,國立臺北科技大學,27.46,13.01,591.12,57.05
105,國立,技專校院,0026,國立高雄第一科技大學,27.47,12.02,342.00,35.72
105,國立,技專校院,0027,國立高雄應用科技大學,34.03,12.31,348.37,43.38
105,國立,一般大學,0028,國立臺北藝術大學,21.80,13.29,313.29,52.51
105,國立,一般大學,0029,國立臺灣藝術大學,29.36,10.67,1703.09,234.73
105,國立,一般大學,0030,國立臺東大學,21.81,2.83,896.50,65.71
105,國立,一般大學,0031,國立宜蘭大學,23.87,8.48,1616.99,165.97
105,國立,一般大學,0032,國立聯合大學,32.47,5.13,513.01,50.24
105,國立,技專校院,0033,國立虎尾科技大學,31.14,10.94,466.07,51.08
105,國立,技專校院,0034,國立高雄海洋科技大學,31.00,14.68,329.10,39.72
105,國立,一般大學,0035,國立臺南藝術大學,18.00,1.82,4413.48,386.31
105,國立,一般大學,0036,國立臺南大學,24.28,9.20,526.96,31.36
105,國立,一般大學,0037,國立臺北教育大學,21.44,8.57,729.09,79.29
105,國立,一般大學,0038,國立新竹教育大學,19.30,6.76,945.24,125.42
105,國立,一般大學,0039,國立臺中教育大學,22.49,12.59,574.83,34.34
105,國立,技專校院,0042,國立澎湖科技大學,23.29,2.63,1806.72,152.26
105,國立,技專校院,0043,國立勤益科技大學,41.83,7.53,518.55,50.73
105,國立,一般大學,0044,國立體育大學,16.33,5.38,1781.81,128.97
105,國立,技專校院,0046,國立臺北護理健康大學,28.84,4.74,1626.75,139.35
105,國立,技專校院,0047,國立高雄餐旅大學,32.12,11.44,340.90,27.13
105,國立,一般大學,0048,國立金門大學,33.87,12.15,235.79,77.14
105,國立,一般大學,0049,國立臺灣體育運動大學,25.54,3.16,2602.47,255.96
105,國立,技專校院,0050,國立臺中科技大學,40.49,2.93,3086.76,328.89
105,國立,技專校院,0051,國立臺北商業大學,35.56,3.70,1875.50,229.47
105,國立,一般大學,0052,國立屏東大學,26.43,5.27,1643.37,129.93
