查核年度,設立別,學校類別,學校統計處代碼,學校名稱,受查範圍(年度),未發現重大異常情形,須持續追蹤改善-建議改進事項(件),須持續追蹤改善-更正事項(件),須持續追蹤改善-收回事項(件),須持續追蹤改善-查明事項(件),須持續追蹤改善-其他事項(件),本部持續追蹤改善結果說明,備註
108,國立,一般大學,0001,國立政治大學,107、108,,10,0,0,2,0,本部至109年9月持續追蹤改善結果說明：已改善完畢。,
108,國立,一般大學,0013,國立中正大學,107、108,,10,2,0,5,0,本部至109年9月持續追蹤改善結果說明：已改善完畢。,
108,國立,一般大學,0017,國立臺北大學,107、108,,10,0,0,0,0,本部至109年3月持續追蹤改善結果說明：已改善完畢。,
108,國立,一般大學,0018,國立嘉義大學,107、108,,11,0,2,3,0,本部至109年3月持續追蹤改善結果說明：已改善完畢。,
108,國立,一般大學,0028,國立臺北藝術大學,107、108,,13,0,2,0,0,本部至109年9月持續追蹤改善結果說明：已改善完畢。,
108,國立,一般大學,0030,國立臺東大學,107、108,,9,3,2,0,0,本部至109年3月持續追蹤改善結果說明：已改善完畢。,
109,國立,一般大學,0002,國立清華大學,108、109,,13,0,0,3,0,本部至110年3月持續追蹤改善結果說明：已改善完畢。,
109,國立,一般大學,0003,國立臺灣大學,108、109,,13,0,0,12,0,本部至110年3月持續追蹤改善結果說明：已改善完畢。,
109,國立,一般大學,0009,國立中山大學,108、109,,11,0,0,4,0,本部至110年3月持續追蹤改善結果說明：已改善完畢。,
109,國立,一般大學,0012,國立臺灣海洋大學,108、109,,15,0,0,4,0,本部至110年3月持續追蹤改善結果說明：已改善完畢。,
109,國立,一般大學,0031,國立宜蘭大學,108、109,,7,0,0,5,0,本部至110年3月持續追蹤改善結果說明：已改善完畢。,
109,國立,一般大學,0039,國立臺中教育大學,108、109,,9,0,0,0,0,本部至110年3月持續追蹤改善結果說明：已改善完畢。,
109,國立,技專校院,0221,國立臺南護理專科學校,108、109,,11,0,0,4,0,本部至110年3月持續追蹤改善結果說明：已改善完畢。,
109,國立,技專校院,0222,國立臺東專科學校,108、109,,7,0,1,4,0,本部至110年3月持續追蹤改善結果說明：已改善完畢。,
110,國立,一般大學,0008,國立中央大學,109、110,,8,0,0,3,0,已改善完畢。,
110,國立,一般大學,0014,國立高雄師範大學,109、110,,11,0,0,1,0,已改善完畢。,
110,國立,一般大學,0019,國立高雄大學,109、110,,9,0,0,5,0,已改善完畢。,
110,國立,一般大學,0020,國立東華大學,109、110,,7,0,4,3,0,學校須續予追蹤14件，本部將持續追蹤至改善完成。,
110,國立,技專校院,0025,國立臺北科技大學,109、110,,7,0,3,0,0,已改善完畢。,
110,國立,一般大學,0049,國立臺灣體育運動大學,109、110,,11,0,1,1,0,學校須續予追蹤13件，本部將持續追蹤至改善完成。,
110,國立,技專校院,0051,國立臺北商業大學,109、110,,5,2,0,1,0,已改善完畢。,
110,國立,技專校院,0144,國立臺灣戲曲學院,109、110,,10,0,0,0,0,已改善完畢。,
