學年度,設立別,學校類別,學校統計處代碼,學校名稱,私立學校可用資金,私立學校本學年現金增減情形-營運活動淨現金流入(出),私立學校本學年現金增減情形-投資活動淨現金流入(出),私立學校本學年現金增減情形-籌資活動淨現金流入(出),私立學校本學年現金增減情形-匯率變動影響數(107新增),私立學校本學年現金增減情形-小計
105,私立,一般大學,1001,東海大學,1680036,431619,-259556,-3240,...,168823
105,私立,一般大學,1002,輔仁大學,4445426,749697,-2154176,1499597,...,95118
105,私立,一般大學,1003,東吳大學,1492508,269781,-109386,-3849,...,156545
105,私立,一般大學,1004,中原大學,916919,487670,-673946,104919,...,-81357
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,-107199,497354,-491575,-88816,...,-83037
105,私立,一般大學,1006,中國文化大學,3036649,434105,-333624,-5483,...,94998
105,私立,一般大學,1007,逢甲大學,3190030,564009,81032,-74089,...,570952
105,私立,一般大學,1008,靜宜大學,2287892,259155,-97148,-15685,...,146322
105,私立,一般大學,1009,長庚大學,5218827,836626,-580844,1286,...,257067
105,私立,一般大學,1010,元智大學,593967,195264,-246144,-4429,...,-55309
105,私立,一般大學,1011,中華大學學校財團法人中華大學,449865,94128,-98629,-17246,...,-21748
105,私立,一般大學,1012,大葉大學,1277067,300707,-96627,581,...,204661
105,私立,一般大學,1013,華梵大學,323876,-42276,-27840,-158,...,-70273
105,私立,一般大學,1014,義守大學,319735,562686,-165951,-272696,...,124040
105,私立,一般大學,1015,世新大學,713576,392720,-394731,1903,...,-108
105,私立,一般大學,1016,銘傳大學,1383151,288703,-126816,-29547,...,132340
105,私立,一般大學,1017,實踐大學,738754,373589,-112525,-14067,...,246997
105,私立,技專校院,1018,朝陽科技大學,1178846,420983,-363188,3506,...,61301
105,私立,一般大學,1019,高雄醫學大學,369585,-555774,152600,-4532,...,-407705
105,私立,一般大學,1020,南華大學,210049,129326,-46238,1990,...,85077
105,私立,一般大學,1021,真理大學,-24941,125005,-41335,-68635,...,15036
105,私立,一般大學,1022,大同大學,156967,124726,-61891,447,...,63281
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,1377937,470499,-400449,-1706,...,68344
105,私立,技專校院,1024,崑山科技大學,441461,386339,-204503,-53349,...,128487
