學年度,設立別,學校類別,學校統計處代碼,學校名稱,營運能力-學雜費收入變動率燈號,營運能力-學雜費收入變動率(%)數值,營運能力-現金餘絀變動率燈號,營運能力-現金餘絀變動率(%)數值,營運能力-本期餘絀比率燈號,營運能力-本期餘絀比率(%)數值,償債能力-現金流量比率燈號,償債能力-現金流量比率(%)數值,償債能力-速動比率燈號,償債能力-速動比率(%)數值,償債能力-可用資金比率燈號,償債能力-可用資金比率(%)數值,財務結構-負債權益比率燈號,財務結構-負債權益比率(%)數值,其他-舉債指數
105,私立,一般大學,1001,東海大學,●,-0.32,●,1.59,●,7.72,●,80.17,●,521.01,●,110.92,●,8.35,0
105,私立,一般大學,1002,輔仁大學,●,0.98,●,0.04,●,11.79,●,-156.82,●,724.15,●,216.52,●,36.23,0
105,私立,一般大學,1003,東吳大學,●,0.97,●,-4.34,●,4,●,37.43,●,396.27,●,113.20,●,8.59,0
105,私立,一般大學,1004,中原大學,●,3.20,●,-1.96,●,7.23,●,39.31,●,249.67,●,61.14,●,8.99,0
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,●,-0.92,●,2.86,●,3.62,●,26.21,●,83.73,●,-4.93,●,25.87,0
105,私立,一般大學,1006,中國文化大學,●,0.49,●,-2.32,●,1.04,●,29.11,●,965.68,●,145.54,●,3.79,0
105,私立,一般大學,1007,逢甲大學,●,1.18,●,1.53,●,4.98,●,38.86,●,417.86,●,152.12,●,21.63,0
105,私立,一般大學,1008,靜宜大學,●,-0.82,●,2.07,●,2.40,●,75.55,●,994.80,●,243.80,●,4.47,0
105,私立,一般大學,1009,長庚大學,●,0.68,●,9.67,●,18.65,●,91.83,●,838.57,●,242.65,●,3.81,0
105,私立,一般大學,1010,元智大學,●,-1.87,●,-13.75,●,0.03,●,26.63,●,257.94,●,61.20,●,3.72,0
105,私立,一般大學,1011,中華大學學校財團法人中華大學,●,-8.84,●,-11.79,●,2.56,●,8.35,●,245.18,●,65.01,●,8.17,0
105,私立,一般大學,1012,大葉大學,●,-0.51,●,-3.38,●,10.54,●,78.84,●,603.70,●,154.43,●,7.34,0
105,私立,一般大學,1013,華梵大學,●,-16.05,●,-8.68,●,-31.52,●,-157.58,●,765.44,●,114.93,●,1.84,0
105,私立,一般大學,1014,義守大學,●,-0.65,●,2.50,●,9.97,●,63.40,●,103.10,●,26.50,●,12.91,0
105,私立,一般大學,1015,世新大學,●,-0.10,●,1.57,●,8.66,●,147.61,●,378.59,●,88.07,●,3.93,0
105,私立,一般大學,1016,銘傳大學,●,-0.66,●,-6.62,●,2.78,●,66.29,●,596.91,●,91.11,●,4.54,0
105,私立,一般大學,1017,實踐大學,●,-0.94,●,-0.02,●,9,●,64.13,●,234.84,●,75.88,●,8.34,0
105,私立,技專校院,1018,朝陽科技大學,●,-2.16,●,0.21,●,14.60,●,66.02,●,330.42,●,116.42,●,8.67,0
105,私立,一般大學,1019,高雄醫學大學,●,0.52,●,-4.42,●,0.59,●,20.13,●,100.77,●,26.37,●,4.38,0
105,私立,一般大學,1020,南華大學,●,0.31,●,7.98,●,21.39,●,54.78,●,188.99,●,36.80,●,5.09,0
105,私立,一般大學,1021,真理大學,●,-8.65,●,-7.04,●,5.84,●,58.13,●,62.49,●,-4.31,●,21.35,3.86
105,私立,一般大學,1022,大同大學,●,-0.72,●,-5.36,●,5.02,●,30.97,●,125.11,●,38.92,●,4.08,0
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,●,-1.07,●,-4.48,●,10.14,●,159.02,●,783.52,●,109.63,●,3.93,0
