學年度,設立別,學校類別,學校統計處代碼,學校名稱,學雜費收入,業務總收入(總收入),學雜費收入占總收入之比率(%)
105,私立,一般大學,1001,東海大學,1628235,2632524,61.85
105,私立,一般大學,1002,輔仁大學,2470111,4147611,59.56
105,私立,一般大學,1003,東吳大學,1419787,2214801,64.10
105,私立,一般大學,1004,中原大學,1636214,3030991,53.98
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,2407387,3707847,64.93
105,私立,一般大學,1006,中國文化大學,2193681,3756363,58.40
105,私立,一般大學,1007,逢甲大學,2113851,3914661,54
105,私立,一般大學,1008,靜宜大學,1125252,1733745,64.90
105,私立,一般大學,1009,長庚大學,609234,4518694,13.48
105,私立,一般大學,1010,元智大學,880100,1752729,50.21
105,私立,一般大學,1011,中華大學學校財團法人中華大學,705258,1165484,60.51
105,私立,一般大學,1012,大葉大學,1151321,1715550,67.11
105,私立,一般大學,1013,華梵大學,240242,415911,57.76
105,私立,一般大學,1014,義守大學,1581418,2621793,60.32
105,私立,一般大學,1015,世新大學,1199423,1780022,67.38
105,私立,一般大學,1016,銘傳大學,1856294,2691695,68.96
105,私立,一般大學,1017,實踐大學,1253852,1880148,66.69
105,私立,技專校院,1018,朝陽科技大學,1524645,2304385,66.16
105,私立,一般大學,1019,高雄醫學大學,775906,2898127,26.77
105,私立,一般大學,1020,南華大學,489201,1403731,34.85
105,私立,一般大學,1021,真理大學,691917,891275,77.63
105,私立,一般大學,1022,大同大學,451458,791788,57.02
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,1645164,2545136,64.64
105,私立,技專校院,1024,崑山科技大學,1050961,1747628,60.14
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,1485222,2072904,71.65
105,私立,技專校院,1026,樹德科技大學,983213,1417734,69.35
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,328540,1534514,21.41
105,私立,一般大學,1028,臺北醫學大學,652655,3924916,16.63
105,私立,一般大學,1029,中山醫學大學,809527,1580125,51.23
105,私立,技專校院,1030,龍華科技大學,840743,1232362,68.22
105,私立,技專校院,1031,輔英科技大學,817130,1168561,69.93
105,私立,技專校院,1032,明新學校財團法人明新科技大學,1052243,1398750,75.23
105,私立,一般大學,1033,長榮大學,938227,1317153,71.23
105,私立,技專校院,1034,弘光科技大學,1079002,1631752,66.13
105,私立,一般大學,1035,中國醫藥大學,864979,4326885,19.99
105,私立,技專校院,1036,健行學校財團法人健行科技大學,909519,1237426,73.50
105,私立,技專校院,1037,正修學校財團法人正修科技大學,1446518,2140759,67.57
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,850793,1174434,72.44
105,私立,一般大學,1039,玄奘大學,427879,654823,65.34
105,私立,技專校院,1040,建國科技大學,756989,1033990,73.21
105,私立,技專校院,1041,明志科技大學,406414,2383607,17.05
105,私立,技專校院,1042,高苑科技大學,550528,809879,67.98
105,私立,技專校院,1043,大仁科技大學,578760,863279,67.04
105,私立,技專校院,1044,聖約翰科技大學,413721,611595,67.65
105,私立,技專校院,1045,嶺東科技大學,891182,1141572,78.07
105,私立,技專校院,1046,中國科技大學,1052404,1381392,76.18
105,私立,技專校院,1047,中臺科技大學,766633,1072044,71.51
105,私立,一般大學,1048,亞洲大學,1182002,1935990,61.05
105,私立,一般大學,1049,開南大學,709004,946511,74.91
105,私立,一般大學,1050,佛光大學,295054,726326,40.62
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,1162463,1457903,79.74
105,私立,技專校院,1052,遠東科技大學,643340,997701,64.48
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,612763,855105,71.66
105,私立,技專校院,1054,景文科技大學,580907,817384,71.07
105,私立,技專校院,1055,中華醫事科技大學,763021,1030974,74.01
105,私立,技專校院,1056,東南科技大學,606470,817710,74.17
105,私立,技專校院,1057,德明財經科技大學,732032,1039294,70.44
105,私立,一般大學,1058,明道學校財團法人明道大學,429608,740229,58.04
105,私立,技專校院,1060,南開科技大學,494548,687712,71.91
105,私立,技專校院,1061,中華學校財團法人中華科技大學,653118,864878,75.52
105,私立,技專校院,1062,僑光科技大學,821199,1141157,71.96
105,私立,技專校院,1063,廣亞學校財團法人育達科技大學,365574,569900,64.15
105,私立,技專校院,1064,美和學校財團法人美和科技大學,646758,884210,73.15
105,私立,技專校院,1065,吳鳳科技大學,483695,653671,74
105,私立,技專校院,1066,環球學校財團法人環球科技大學,465724,678002,68.69
105,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,244212,347497,70.28
105,私立,技專校院,1068,中州學校財團法人中州科技大學,272777,483341,56.44
105,私立,技專校院,1069,修平學校財團法人修平科技大學,569355,761358,74.78
105,私立,技專校院,1070,長庚學校財團法人長庚科技大學,527901,1855532,28.45
105,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,858325,1067798,80.38
105,私立,技專校院,1072,大華學校財團法人敏實科技大學,235756,401025,58.79
105,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,725926,948035,76.57
105,私立,技專校院,1074,南榮學校財團法人南榮科技大學,204466,291710,70.09
105,私立,技專校院,1075,文藻學校財團法人文藻外語大學,766086,1120926,68.34
