學年度,設立別,學校類別,學校統計處代碼,學校名稱,負債金額,總資產金額,負債占總資產比率(%)
105,私立,一般大學,1001,東海大學,567559,7848081,7.23
105,私立,一般大學,1002,輔仁大學,3678085,14376736,25.58
105,私立,一般大學,1003,東吳大學,455279,6131996,7.42
105,私立,一般大學,1004,中原大學,694541,8717493,7.97
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,2283937,14007142,16.31
105,私立,一般大學,1006,中國文化大學,443049,14188044,3.12
105,私立,一般大學,1007,逢甲大學,1846383,11256728,16.40
105,私立,一般大學,1008,靜宜大學,276142,6514384,4.24
105,私立,一般大學,1009,長庚大學,678317,49764750,1.36
105,私立,一般大學,1010,元智大學,256079,13018699,1.97
105,私立,一般大學,1011,中華大學學校財團法人中華大學,293484,4254461,6.90
105,私立,一般大學,1012,大葉大學,342556,5288600,6.48
105,私立,一般大學,1013,華梵大學,52476,3762952,1.39
105,私立,一般大學,1014,義守大學,806223,7406607,10.89
105,私立,一般大學,1015,世新大學,232734,7073846,3.29
105,私立,一般大學,1016,銘傳大學,287909,6731863,4.28
105,私立,一般大學,1017,實踐大學,450006,6392073,7.04
105,私立,技專校院,1018,朝陽科技大學,453113,7011855,6.46
105,私立,一般大學,1019,高雄醫學大學,707462,16993882,4.16
105,私立,一般大學,1020,南華大學,166877,4157425,4.01
105,私立,一般大學,1021,真理大學,477854,2781860,17.18
105,私立,一般大學,1022,大同大學,209629,6437674,3.26
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,210549,5876190,3.58
105,私立,技專校院,1024,崑山科技大學,915117,6641490,13.78
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,645068,9011641,7.16
105,私立,技專校院,1026,樹德科技大學,398017,4569201,8.71
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,270946,12568722,2.16
105,私立,一般大學,1028,臺北醫學大學,5393615,17658032,30.54
105,私立,一般大學,1029,中山醫學大學,2855365,7286270,39.19
105,私立,技專校院,1030,龍華科技大學,161502,4451711,3.63
105,私立,技專校院,1031,輔英科技大學,223164,3908667,5.71
105,私立,技專校院,1032,明新學校財團法人明新科技大學,573016,3728980,15.37
105,私立,一般大學,1033,長榮大學,154380,4207659,3.67
105,私立,技專校院,1034,弘光科技大學,303067,2987306,10.15
105,私立,一般大學,1035,中國醫藥大學,1314158,27859930,4.72
105,私立,技專校院,1036,健行學校財團法人健行科技大學,192386,4698065,4.10
105,私立,技專校院,1037,正修學校財團法人正修科技大學,285600,4834700,5.91
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,117981,3065604,3.85
105,私立,一般大學,1039,玄奘大學,124843,2959194,4.22
105,私立,技專校院,1040,建國科技大學,215240,2507859,8.58
105,私立,技專校院,1041,明志科技大學,281003,39228093,0.72
105,私立,技專校院,1042,高苑科技大學,149311,3156138,4.73
105,私立,技專校院,1043,大仁科技大學,119041,2014972,5.91
105,私立,技專校院,1044,聖約翰科技大學,104233,2408945,4.33
105,私立,技專校院,1045,嶺東科技大學,300457,4624292,6.50
105,私立,技專校院,1046,中國科技大學,285644,5403883,5.29
105,私立,技專校院,1047,中臺科技大學,191127,3204670,5.96
105,私立,一般大學,1048,亞洲大學,1590860,6706735,23.72
105,私立,一般大學,1049,開南大學,385828,3237449,11.92
105,私立,一般大學,1050,佛光大學,134813,4275440,3.15
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,240867,5869810,4.10
105,私立,技專校院,1052,遠東科技大學,118600,1853273,6.40
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,134589,2761564,4.87
105,私立,技專校院,1054,景文科技大學,178755,2477870,7.21
105,私立,技專校院,1055,中華醫事科技大學,173603,2539000,6.84
105,私立,技專校院,1056,東南科技大學,128315,2186847,5.87
105,私立,技專校院,1057,德明財經科技大學,140939,4311741,3.27
105,私立,一般大學,1058,明道學校財團法人明道大學,335813,2041269,16.45
105,私立,技專校院,1060,南開科技大學,124347,1978897,6.28
105,私立,技專校院,1061,中華學校財團法人中華科技大學,266469,2123889,12.55
105,私立,技專校院,1062,僑光科技大學,110805,4098660,2.70
105,私立,技專校院,1063,廣亞學校財團法人育達科技大學,84960,2566126,3.31
105,私立,技專校院,1064,美和學校財團法人美和科技大學,130355,1803337,7.23
105,私立,技專校院,1065,吳鳳科技大學,77483,2543930,3.05
