設立別,學校類別,學校統計處代碼,學校名稱,財務報表公告網址
私立,一般大學,1001,東海大學,http://account.thu.edu.tw/web/information/information.php
私立,一般大學,1002,輔仁大學,http://www.acc.fju.edu.tw/networkServices.jsp?labelID=5
私立,一般大學,1003,東吳大學,http://web-ch.scu.edu.tw/account/file/1415
私立,一般大學,1004,中原大學,https://acct.cycu.edu.tw/財務報表/
私立,一般大學,1005,淡江大學學校財團法人淡江大學,http://www.finance.tku.edu.tw/Front/Information/Checkreport/Archive.aspx?id=VU0go6RdqiE=&lan=hant
私立,一般大學,1006,中國文化大學,https://tuition.pccu.edu.tw/
私立,一般大學,1007,逢甲大學,https://accounting.fcu.edu.tw/
私立,一般大學,1008,靜宜大學,https://b020.pu.edu.tw/
私立,一般大學,1009,長庚大學,https://accounting.cgu.edu.tw/p/412-1006-89.php?Lang=zh-tw
私立,一般大學,1010,元智大學,https://www.yzu.edu.tw/admin/bo/index.php/tw/2016-03-16-08-22-28
私立,一般大學,1011,中華大學學校財團法人中華大學,https://accounting.chu.edu.tw/
私立,一般大學,1012,大葉大學,http://ao.dyu.edu.tw/public/public_1.html
私立,一般大學,1013,華梵大學,https://acc.hfu.edu.tw/main.php
私立,一般大學,1014,義守大學,http://www.cfo.isu.edu.tw/2018/showpage_v01.php?dept_mno=632&dept_id=10&page_id=26665
私立,一般大學,1015,世新大學,http://account.web.shu.edu.tw/%e5%85%ac%e5%91%8a%e4%ba%8b%e9%a0%85/
私立,一般大學,1016,銘傳大學,http://control.mcu.edu.tw/zh-hant/content/財務公開資訊financial-information-0
私立,一般大學,1017,實踐大學,https://acc.usc.edu.tw/?Lang=zh-tw
私立,技專校院,1018,朝陽科技大學,http://account.cyut.edu.tw/p/412-1011-1821.php?Lang=zh-tw
私立,一般大學,1019,高雄醫學大學,http://accounting.kmu.edu.tw/index.php/zh-TW/%E8%B2%A1%E5%8B%99%E5%A0%B1%E8%A1%A8
私立,一般大學,1020,南華大學,http://accounting3.nhu.edu.tw/Web/Download?mid=1698&tid=443&n=%E8%B2%A1%E5%8B%99%E8%B3%87%E8%A8%8A%E5%B0%88%E5%8D%80
私立,一般大學,1021,真理大學,https://accounting.au.edu.tw/p/403-1003-111353.php?Lang=zh-tw
私立,一般大學,1022,大同大學,https://account.ttu.edu.tw/p/412-1013-564.php
