年度,設立別,學校類別,學校統計處代碼,學校名稱,營運能力-累積餘絀比率燈號,營運能力-累積餘絀比率(%)數值,營運能力-資產效益比率燈號,營運能力-資產效益比率(%)數值,營運能力-學雜費收入變動率燈號,營運能力-學雜費收入變動率(%)數值,償債能力-現金流量比率燈號,償債能力-現金流量比率(%)數值,償債能力-速動比率燈號,償債能力-速動比率(%)數值,財務結構-負債變動率燈號,財務結構-負債變動率(%)數值,其他-舉債指數
105,私立,一般大學,1001,東海大學,●,86.63,●,2.62,●,-0.32,●,109.44,●,521.01,●,2.67,0
105,私立,一般大學,1002,輔仁大學,●,70.88,●,3.64,●,0.98,●,110.99,●,724.15,●,66.24,0
105,私立,一般大學,1003,東吳大學,●,86.43,●,1.46,●,0.97,●,64.86,●,396.27,●,4.45,0
105,私立,一般大學,1004,中原大學,●,88.61,●,2.57,●,3.20,●,92.91,●,249.67,●,33.22,0
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,●,63.44,●,0.96,●,-0.92,●,51.08,●,83.73,●,-2.04,0
105,私立,一般大學,1006,中國文化大學,●,82.33,●,0.28,●,0.49,●,125.60,●,965.68,●,-1.54,0
105,私立,一般大學,1007,逢甲大學,●,76.87,●,1.75,●,1.18,●,56.87,●,417.86,●,2.18,0
105,私立,一般大學,1008,靜宜大學,●,94.78,●,0.64,●,-0.82,●,106.32,●,994.80,●,29.74,0
105,私立,一般大學,1009,長庚大學,●,35.78,●,1.81,●,0.68,●,123.61,●,838.57,●,22.45,0
105,私立,一般大學,1010,元智大學,●,52.81,●,0,●,-1.87,●,79.93,●,257.94,●,-30.29,0
105,私立,一般大學,1011,中華大學學校財團法人中華大學,●,84.41,●,0.70,●,-8.84,●,41.79,●,245.18,●,-17.41,0
105,私立,一般大學,1012,大葉大學,●,88.29,●,3.47,●,-0.51,●,129.91,●,603.70,●,-8.42,0
105,私立,一般大學,1013,華梵大學,●,75.72,●,-3.42,●,-16.05,●,-91.73,●,765.44,●,-18.96,0
105,私立,一般大學,1014,義守大學,●,84.35,●,3.54,●,-0.65,●,81.61,●,103.10,●,-20.94,0
105,私立,一般大學,1015,世新大學,●,83.70,●,2.21,●,-0.10,●,176.13,●,378.59,●,-13.33,0
105,私立,一般大學,1016,銘傳大學,●,94.20,●,1.11,●,-0.66,●,110.85,●,596.91,●,-10.17,0
105,私立,一般大學,1017,實踐大學,●,85.22,●,2.69,●,-0.94,●,89.19,●,234.84,●,6.10,0
105,私立,技專校院,1018,朝陽科技大學,●,75.40,●,4.91,●,-2.16,●,99.05,●,330.42,●,-5.84,0
105,私立,一般大學,1019,高雄醫學大學,●,95.08,●,0.10,●,0.52,●,-83.64,●,100.77,●,-6.87,0
105,私立,一般大學,1020,南華大學,●,83.73,●,7.49,●,0.31,●,84.79,●,188.99,●,25.81,0
105,私立,一般大學,1021,真理大學,●,80.47,●,1.85,●,-8.65,●,84.42,●,62.49,●,-16.98,3.86
105,私立,一般大學,1022,大同大學,●,79.90,●,0.68,●,-0.72,●,60.54,●,125.11,●,16.87,0
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,●,91.85,●,4.48,●,-1.07,●,243.13,●,783.52,●,-14.73,0
105,私立,技專校院,1024,崑山科技大學,●,67.62,●,1.65,●,-1.66,●,150.87,●,231.19,●,-7.42,0
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,●,89.80,●,3.07,●,-3.51,●,233.37,●,254.02,●,19.60,0.30
105,私立,技專校院,1026,樹德科技大學,●,89.22,●,0.07,●,-2.22,●,82.48,●,469.69,●,-7.08,0
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,●,91.62,●,1.87,●,2.07,●,162.94,●,1465.98,●,-2.11,0
105,私立,一般大學,1028,臺北醫學大學,●,46.36,●,2.75,●,1.75,●,-31.61,●,46.42,●,-7.22,-3.75
105,私立,一般大學,1029,中山醫學大學,●,58.22,●,2.26,●,-0.70,●,16.57,●,27.90,●,-9.26,53.71
105,私立,技專校院,1030,龍華科技大學,●,92.36,●,3.71,●,-1.73,●,220.55,●,1732.69,●,26.66,0
105,私立,技專校院,1031,輔英科技大學,●,91.99,●,2.11,●,-1.09,●,107.32,●,532.39,●,16.22,0
105,私立,技專校院,1032,明新學校財團法人明新科技大學,●,83.28,●,1.35,●,-3.20,●,76.09,●,228.74,●,-6.05,0
105,私立,一般大學,1033,長榮大學,●,90.93,●,1.81,●,-1.86,●,133.64,●,726.59,●,-5.17,0
105,私立,技專校院,1034,弘光科技大學,●,83.90,●,5.58,●,0.47,●,104.85,●,426.41,●,5.48,0
105,私立,一般大學,1035,中國醫藥大學,●,85.46,●,8.75,●,0.18,●,5.11,●,185.90,●,26.16,0
105,私立,技專校院,1036,健行學校財團法人健行科技大學,●,95.42,●,0.25,●,-9.89,●,96.96,●,421.90,●,-28.10,0
105,私立,技專校院,1037,正修學校財團法人正修科技大學,●,90.67,●,3.40,●,-1.31,●,156.47,●,327.81,●,-30.87,0
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,●,96.26,●,-0.12,●,-5.59,●,151.35,●,903.13,●,-6.65,0
105,私立,一般大學,1039,玄奘大學,●,94.14,●,-1.06,●,-9.49,●,32.78,●,562.73,●,-41.31,0
105,私立,技專校院,1040,建國科技大學,●,92,●,-0.58,●,-7.96,●,55.76,●,113.26,●,-15.30,0
105,私立,技專校院,1041,明志科技大學,●,44.94,●,3.15,●,-0.17,●,287.82,●,2111.39,●,-3.36,0
105,私立,技專校院,1042,高苑科技大學,●,92.38,●,0.72,●,-11.31,●,55.41,●,441.37,●,-6.89,0
105,私立,技專校院,1043,大仁科技大學,●,96.48,●,-3.31,●,-7.45,●,28.25,●,266.04,●,47.24,0
105,私立,技專校院,1044,聖約翰科技大學,●,98.78,●,-4.80,●,-13.84,●,-39.73,●,664.28,●,-16.54,0
105,私立,技專校院,1045,嶺東科技大學,●,89.72,●,3.85,●,-1.50,●,206.94,●,1475.02,●,-6.74,0
105,私立,技專校院,1046,中國科技大學,●,88.32,●,3.53,●,-2.84,●,171.99,●,607.65,●,-4.82,0
105,私立,技專校院,1047,中臺科技大學,●,90.07,●,4.02,●,-0.94,●,156.39,●,574.37,●,-14.19,0
105,私立,一般大學,1048,亞洲大學,●,73.18,●,2.11,●,-0.47,●,77.89,●,64.46,●,4.75,2.96
105,私立,一般大學,1049,開南大學,●,83.98,●,2.23,●,-13.28,●,36.85,●,115.71,●,-22.66,0
105,私立,一般大學,1050,佛光大學,●,94.25,●,-2.05,●,9.32,●,-9.26,●,86.15,●,-18.44,0
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,●,91.39,●,4.51,●,-0.81,●,192.82,●,997.59,●,14.39,0
105,私立,技專校院,1052,遠東科技大學,●,91.70,●,1.34,●,-13.54,●,103.61,●,254.71,●,-19.15,0
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,●,92.55,●,2.51,●,-5.04,●,126.80,●,901.76,●,-6.37,0
105,私立,技專校院,1054,景文科技大學,●,90.03,●,1.64,●,-6.63,●,51.23,●,438.19,●,-18.21,0
105,私立,技專校院,1055,中華醫事科技大學,●,89.40,●,3.84,●,-0.81,●,125.46,●,189,●,7.42,0
105,私立,技專校院,1056,東南科技大學,●,87.68,●,-0.45,●,-8.97,●,56.56,●,531.65,●,-0.85,0
105,私立,技專校院,1057,德明財經科技大學,●,93.18,●,5.10,●,-2.83,●,215.55,●,1739.92,●,8.51,0
