學年度,設立別,學校類別,學校統計處代碼,學校名稱,學雜費收入金額,學雜費收入(%),推廣及產學收入金額,推廣及產學收入(%),補助收入金額,補助收入(%),受贈收入金額,受贈收入(%),利息收入金額,利息收入(%),投資、基金及附屬機構收益金額,投資、基金及附屬機構收益(%),其他收入金額,其他收入(%),合計金額,合計(%)
105,私立,一般大學,1001,東海大學,1628235,61.87,388619,14.77,276760,10.52,101848,3.87,17503,0.67,29268,1.11,189527,7.20,2631760,100
105,私立,一般大學,1002,輔仁大學,2470111,59.56,425244,10.25,599696,14.46,336472,8.11,49095,1.18,14356,0.35,252638,6.09,4147611,100
105,私立,一般大學,1003,東吳大學,1419787,64.11,275385,12.43,239688,10.82,113133,5.11,11298,0.51,7559,0.34,147853,6.68,2214702,100
105,私立,一般大學,1004,中原大學,1636214,53.98,621665,20.51,407256,13.44,91456,3.02,9918,0.33,2052,0.07,262429,8.66,3030991,100
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,2407387,64.93,567293,15.30,404825,10.92,123000,3.32,6173,0.17,0,0,198809,5.36,3707487,100
105,私立,一般大學,1006,中國文化大學,2193681,58.40,938958,25,371865,9.90,17531,0.47,25813,0.69,21514,0.57,187001,4.98,3756363,100
105,私立,一般大學,1007,逢甲大學,2113851,54,974222,24.89,496367,12.68,109127,2.79,6584,0.17,34858,0.89,179625,4.59,3914635,100
105,私立,一般大學,1008,靜宜大學,1125252,64.92,185498,10.70,284416,16.41,13666,0.79,16173,0.93,239,0.01,108163,6.24,1733407,100
105,私立,一般大學,1009,長庚大學,609234,13.48,1401760,31.02,362807,8.03,12600,0.28,35682,0.79,1945856,43.06,150755,3.34,4518694,100
105,私立,一般大學,1010,元智大學,880100,50.22,326673,18.64,224305,12.80,27685,1.58,3057,0.17,207167,11.82,83482,4.76,1752468,100
105,私立,一般大學,1011,中華大學學校財團法人中華大學,705258,60.51,228526,19.61,132997,11.41,12156,1.04,8086,0.69,0,0,78462,6.73,1165484,100
105,私立,一般大學,1012,大葉大學,1151321,67.14,204362,11.92,240743,14.04,10599,0.62,10597,0.62,551,0.03,96677,5.64,1714850,100
105,私立,一般大學,1013,華梵大學,240242,57.76,29314,7.05,84919,20.42,19801,4.76,3983,0.96,11650,2.80,26001,6.25,415911,100
105,私立,一般大學,1014,義守大學,1581418,60.32,369975,14.11,283222,10.80,3159,0.12,3895,0.15,240,0.01,379879,14.49,2621787,100
105,私立,一般大學,1015,世新大學,1199423,67.38,282999,15.90,171776,9.65,29009,1.63,9402,0.53,42777,2.40,44629,2.51,1780015,100
105,私立,一般大學,1016,銘傳大學,1856294,68.96,303705,11.28,343296,12.75,15494,0.58,12418,0.46,216,0.01,160272,5.95,2691695,100
105,私立,一般大學,1017,實踐大學,1253852,66.69,214260,11.40,235344,12.52,12227,0.65,5079,0.27,216,0.01,159171,8.47,1880148,100
105,私立,技專校院,1018,朝陽科技大學,1524645,66.17,317256,13.77,244613,10.62,4035,0.18,25462,1.11,69161,3,118969,5.16,2304141,100
105,私立,一般大學,1019,高雄醫學大學,775906,26.77,529865,18.28,213712,7.37,22803,0.79,4466,0.15,1180957,40.75,170417,5.88,2898127,100
105,私立,一般大學,1020,南華大學,489201,34.85,65685,4.68,144289,10.28,630873,44.94,1053,0.07,1248,0.09,71372,5.08,1403721,100
105,私立,一般大學,1021,真理大學,691917,77.64,51881,5.82,84668,9.50,5604,0.63,1343,0.15,31,0,55780,6.26,891223,100
105,私立,一般大學,1022,大同大學,451458,57.02,122074,15.42,113829,14.38,9341,1.18,1134,0.14,0,0,93952,11.87,791788,100
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,1645164,64.64,321656,12.64,415080,16.31,7694,0.30,6518,0.26,712,0.03,148312,5.83,2545136,100
105,私立,技專校院,1024,崑山科技大學,1050961,60.14,226586,12.97,320719,18.35,9219,0.53,3940,0.23,420,0.02,135782,7.77,1747628,100
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,1485222,71.65,209506,10.11,210823,10.17,5180,0.25,3110,0.15,1347,0.06,157716,7.61,2072904,100
