,學年度,學校代碼,學校名稱,學雜費收入,%,推廣及產學收入,%,補助收入,%,受贈收入,%,利息收入,%,投資、基金及附屬機構收益,%,其他收入,%,合計,%
,101,1001,東海大學,1606414,61.87,345046,13.29,287463,11.07,72788,2.8,18132,0.7,84105,3.24,182332,7.02,2596281,100
,101,1002,輔仁大學,2373498,64.83,383680,10.48,471312,12.87,173380,4.74,62594,1.71,26,0,196586,5.37,3661075,100
,101,1003,東吳大學,1392876,67.43,212498,10.29,252718,12.23,62876,3.04,14265,0.69,10136,0.49,120265,5.82,2065634,100
,101,1004,中原大學,1547003,55.81,618290,22.31,374480,13.51,49388,1.78,14558,0.53,787,0.03,167446,6.04,2771952,100
,101,1005,淡江大學,2464701,69.91,416317,11.81,384039,10.89,60257,1.71,12528,0.36,-,-,187538,5.32,3525380,100
,101,1006,中國文化大學,2136496,59.64,783488,21.87,363571,10.15,23771,0.66,40589,1.13,30152,0.84,204322,5.7,3582388,100
,101,1007,逢甲大學,2022848,56.43,769983,21.48,539565,15.05,65729,1.83,6714,0.19,25876,0.72,153697,4.29,3584412,100
,101,1008,靜宜大學,1129193,65.43,184422,10.69,277394,16.07,5328,0.31,27628,1.6,277,0.02,101562,5.88,1725804,100
,101,1009,長庚大學,611355,18.43,1180953,35.61,342233,10.32,788382,23.77,59308,1.79,199446,6.01,134825,4.07,3316502,100
,101,1010,元智大學,941952,47.95,334704,17.04,264980,13.49,8781,0.45,9670,0.49,308468,15.7,95954,4.88,1964508,100
,101,1011,中華大學,751218,64.59,208798,17.95,119277,10.25,2991,0.26,6262,0.54,-,-,74583,6.41,1163129,100
,101,1012,大葉大學,940601,67.53,183540,13.18,181266,13.01,6759,0.49,11034,0.79,33,0,69671,5,1392904,100
,101,1013,華梵大學,327123,55.91,33232,5.68,148878,25.44,32400,5.54,9252,1.58,12784,2.18,21435,3.66,585104,100
,101,1014,義守大學,1495745,60.31,352862,14.23,206337,8.32,5965,0.24,2935,0.12,495,0.02,415749,16.76,2480088,100
,101,1015,世新大學,1196472,68.73,254341,14.61,181930,10.45,17214,0.99,3172,0.18,35902,2.06,51741,2.97,1740770,100
,101,1016,銘傳大學,1826206,71.3,247792,9.67,344178,13.44,11552,0.45,9962,0.39,391,0.02,121195,4.73,2561276,100
,101,1017,實踐大學,1259022,72.19,192836,11.06,170740,9.79,17418,1,3197,0.18,-,-,100750,5.78,1743964,100
,101,1018,朝陽科技大學,1513330,69.96,297193,13.74,217607,10.06,5123,0.24,18376,0.85,29103,1.35,82331,3.81,2163064,100
,101,1019,高雄醫學大學,773231,32.93,516358,21.99,277206,11.8,21163,0.9,1890,0.08,668818,28.48,89599,3.82,2348265,100
,101,1020,南華大學,402084,62.17,49175,7.6,136316,21.08,11468,1.77,2016,0.31,2100,0.32,43617,6.74,646777,100
,101,1021,真理大學,799153,79.58,45389,4.52,90174,8.98,4243,0.42,1460,0.15,38,0,63704,6.34,1004161,100
,101,1022,大同大學,492359,62.52,129407,16.43,103284,13.11,6868,0.87,912,0.12,-,-,54738,6.95,787567,100
,101,1023,南臺科技大學,1647905,69.29,233495,9.82,354711,14.92,2104,0.09,10688,0.45,-,-,129261,5.44,2378163,100
,101,1024,崑山科技大學,1089793,63.49,237050,13.81,255084,14.86,7750,0.45,3296,0.19,1105,0.06,122277,7.12,1716354,100
,101,1025,嘉南藥理大學,1520568,76.44,157723,7.93,169221,8.51,3438,0.17,5737,0.29,19,0,132561,6.66,1989265,100
,101,1026,樹德科技大學,1013304,71.96,59915,4.25,150896,10.72,5441,0.39,8515,0.6,1921,0.14,168113,11.94,1408104,100
,101,1027,慈濟大學,306566,21.25,496379,34.41,149239,10.35,375066,26,39985,2.77,15282,1.06,60011,4.16,1442527,100
,101,1028,臺北醫學大學,667289,23.83,752005,26.85,384243,13.72,117502,4.2,1259,0.04,778014,27.78,100206,3.58,2800518,100
,101,1029,中山醫學大學,823292,48.1,255116,14.9,145443,8.5,83143,4.86,1258,0.07,286723,16.75,116679,6.82,1711653,100
,101,1030,龍華科技大學,817069,70.7,92643,8.02,189885,16.43,1689,0.15,25447,2.2,-,-,28941,2.5,1155674,100
,101,1031,輔英科技大學,864950,74.72,80753,6.98,102891,8.89,1730,0.15,5570,0.48,22468,1.94,79291,6.85,1157653,100
,101,1032,明新科技大學,1101322,78.33,82764,5.89,156188,11.11,2376,0.17,5532,0.39,-,-,57847,4.11,1406029,100
,101,1033,長榮大學,902972,70.74,151988,11.91,116491,9.13,13214,1.04,2906,0.23,1475,0.12,87427,6.85,1276473,100
