學年度,設立別,學校類別,學校統計處代碼,學校名稱,人事費支出(含退休撫卹+超額年金)金額,人事費支出(含退休撫卹+超額年金)(%),業務費(不含折舊及攤銷)金額,業務費(不含折舊及攤銷)(%),折舊及攤銷金額,折舊及攤銷(%),獎學金支出金額,獎學金支出(%),補助弱勢清寒學生之助學性支出金額,補助弱勢清寒學生之助學性支出(%),建築物及設備之維護費用金額,建築物及設備之維護費用(%),利息費用金額,利息費用(%),各項投資、基金及附屬機構損失金額,各項投資、基金及附屬機構損失(%),其他校務支出金額,其他校務支出(%),合計金額,合計(%)
105,私立,一般大學,1001,東海大學,1514644,62.37,460506,18.96,223249,9.19,35881,1.48,96216,3.96,57936,2.39,97,0,0,0,40134,1.65,2428664,100
105,私立,一般大學,1002,輔仁大學,2053157,56.12,745812,20.38,301339,8.24,80832,2.21,243934,6.67,114525,3.13,71,0,65397,1.79,53652,1.47,3658718,100
105,私立,一般大學,1003,東吳大學,1318421,62.01,377139,17.74,190232,8.95,34616,1.63,110572,5.20,86068,4.05,272,0.01,0,0,8764,0.41,2126084,100
105,私立,一般大學,1004,中原大學,1499812,53.34,776162,27.60,270630,9.62,36826,1.31,132429,4.71,62548,2.22,505,0.02,280,0.01,32683,1.16,2811875,100
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,2174398,60.85,749914,20.99,284726,7.97,101513,2.84,117193,3.28,104170,2.92,0,0,0,0,41400,1.16,3573316,100
105,私立,一般大學,1006,中國文化大學,2086408,56.13,749251,20.16,396109,10.66,43178,1.16,216227,5.82,211968,5.70,9,0,190,0.01,13790,0.37,3717130,100
105,私立,一般大學,1007,逢甲大學,2096998,56.37,745958,20.05,290626,7.81,52005,1.40,226222,6.08,208074,5.59,10019,0.27,17777,0.48,72103,1.94,3719780,100
105,私立,一般大學,1008,靜宜大學,938415,55.47,323982,19.15,155058,9.17,21555,1.27,142342,8.41,76117,4.50,300,0.02,0,0,33968,2.01,1691737,100
105,私立,一般大學,1009,長庚大學,2150731,58.51,804687,21.89,439476,11.95,19745,0.54,76815,2.09,115545,3.14,0,0,0,0,69097,1.88,3676096,100
105,私立,一般大學,1010,元智大學,970532,55.40,378230,21.59,144573,8.25,13021,0.74,71377,4.07,70167,4.01,0,0,0,0,103989,5.94,1751888,100
105,私立,一般大學,1011,中華大學學校財團法人中華大學,692011,60.94,235146,20.71,93658,8.25,8658,0.76,64469,5.68,32535,2.87,1015,0.09,0,0,8119,0.71,1135611,100
105,私立,一般大學,1012,大葉大學,826971,53.91,341172,22.24,151056,9.85,29238,1.91,109240,7.12,62880,4.10,1315,0.09,0,0,12168,0.79,1534040,100
105,私立,一般大學,1013,華梵大學,281804,51.52,101276,18.51,103931,19,3015,0.55,44253,8.09,11429,2.09,0,0,0,0,1311,0.24,547020,100
105,私立,一般大學,1014,義守大學,1206770,51.13,711802,30.16,227113,9.62,32171,1.36,103932,4.40,40865,1.73,7161,0.30,0,0,30552,1.29,2360366,100
105,私立,一般大學,1015,世新大學,810196,49.83,451485,27.77,189805,11.67,13114,0.81,60354,3.71,22493,1.38,0,0,9791,0.60,68562,4.22,1625802,100
105,私立,一般大學,1016,銘傳大學,1518061,58.01,561413,21.45,185307,7.08,54823,2.09,90098,3.44,97464,3.72,793,0.03,0,0,109037,4.17,2616996,100
105,私立,一般大學,1017,實踐大學,973635,56.91,365927,21.39,168733,9.86,34229,2,71624,4.19,77299,4.52,49,0,0,0,19216,1.12,1710710,100
105,私立,技專校院,1018,朝陽科技大學,1012623,51.46,543112,27.60,154680,7.86,47417,2.41,86476,4.39,91163,4.63,0,0,14687,0.75,17495,0.89,1967652,100
105,私立,一般大學,1019,高雄醫學大學,1401731,48.65,636910,22.11,573163,19.89,31341,1.09,39927,1.39,64030,2.22,558,0.02,45493,1.58,87984,3.05,2881135,100
105,私立,一般大學,1020,南華大學,570719,51.72,123929,11.23,135231,12.25,68376,6.20,166214,15.06,35986,3.26,0,0,0,0,3080,0.28,1103535,100
105,私立,一般大學,1021,真理大學,578720,68.96,91431,10.89,99321,11.84,9207,1.10,32803,3.91,16672,1.99,7892,0.94,0,0,3157,0.38,839204,100
105,私立,一般大學,1022,大同大學,403267,53.63,186663,24.82,101679,13.52,13054,1.74,17355,2.31,26767,3.56,0,0,0,0,3217,0.43,752004,100
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,1256888,54.96,568381,24.85,241050,10.54,91134,3.98,82568,3.61,28448,1.24,0,0,13987,0.61,4501,0.20,2286956,100
105,私立,技專校院,1024,崑山科技大學,789235,48.18,450775,27.52,267209,16.31,21792,1.33,53583,3.27,44886,2.74,2097,0.13,0,0,8491,0.52,1638068,100
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,926800,51.43,435931,24.19,214704,11.91,13777,0.76,65662,3.64,126089,7,6863,0.38,59,0,12160,0.67,1802046,100
105,私立,技專校院,1026,樹德科技大學,643884,45.52,410904,29.05,153233,10.83,22133,1.56,91922,6.50,73788,5.22,9,0,0,0,18778,1.33,1414651,100
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,736530,56.56,227114,17.44,185863,14.27,41932,3.22,66780,5.13,32383,2.49,0,0,225,0.02,11319,0.87,1302147,100
105,私立,一般大學,1028,臺北醫學大學,1629297,47.37,1255113,36.49,306202,8.90,78961,2.30,43069,1.25,77404,2.25,8270,0.24,361,0.01,40909,1.19,3439587,100
105,私立,一般大學,1029,中山醫學大學,804794,56.92,359159,25.40,119835,8.47,5012,0.35,64667,4.57,29192,2.06,19568,1.38,0,0,11766,0.83,1413992,100
105,私立,技專校院,1030,龍華科技大學,570934,53.33,264438,24.70,121164,11.32,6492,0.61,38551,3.60,31952,2.98,21565,2.01,0,0,15550,1.45,1070646,100
105,私立,技專校院,1031,輔英科技大學,634508,58.35,284032,26.12,87531,8.05,4090,0.38,23620,2.17,43462,4,30,0,192,0.02,9911,0.91,1087377,100
105,私立,技專校院,1032,明新學校財團法人明新科技大學,832498,61.74,225161,16.70,155132,11.51,15278,1.13,44558,3.30,62629,4.64,4502,0.33,0,0,8597,0.64,1348354,100
105,私立,一般大學,1033,長榮大學,816542,65.78,211404,17.03,103907,8.37,15080,1.21,48473,3.90,30507,2.46,165,0.01,0,0,15242,1.23,1241319,100
105,私立,技專校院,1034,弘光科技大學,828715,56.38,381040,25.92,134928,9.18,10647,0.72,60245,4.10,26609,1.81,0,0,0,0,27595,1.88,1469779,100
105,私立,一般大學,1035,中國醫藥大學,1079397,53.92,603309,30.14,139820,6.98,27239,1.36,52667,2.63,28512,1.42,110,0.01,34983,1.75,35886,1.79,2001924,100
105,私立,技專校院,1036,健行學校財團法人健行科技大學,682779,55.71,283514,23.13,155396,12.68,13593,1.11,34978,2.85,37403,3.05,0,0,0,0,17900,1.46,1225563,100
105,私立,技專校院,1037,正修學校財團法人正修科技大學,1131175,57.22,439121,22.21,247786,12.53,11608,0.59,74591,3.77,59749,3.02,1408,0.07,0,0,11432,0.58,1976870,100
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,552241,46.87,258701,21.96,122640,10.41,9662,0.82,121845,10.34,40397,3.43,0,0,0,0,72753,6.17,1178239,100
105,私立,一般大學,1039,玄奘大學,342772,49.90,192378,28.01,95592,13.92,4871,0.71,27688,4.03,15656,2.28,0,0,0,0,7970,1.16,686927,100
105,私立,技專校院,1040,建國科技大學,620645,59.18,226984,21.65,113648,10.84,6529,0.62,45536,4.34,23395,2.23,1101,0.10,0,0,10817,1.03,1048655,100
105,私立,技專校院,1041,明志科技大學,521209,43.04,298161,24.62,236480,19.53,14792,1.22,58765,4.85,70412,5.81,0,0,0,0,11135,0.92,1210954,100
105,私立,技專校院,1042,高苑科技大學,514259,65.35,141092,17.93,61730,7.84,7064,0.90,39440,5.01,14124,1.79,35,0,0,0,9166,1.16,786910,100
105,私立,技專校院,1043,大仁科技大學,549804,59.06,209998,22.56,72233,7.76,42893,4.61,16342,1.76,34071,3.66,0,0,0,0,5599,0.60,930942,100
105,私立,技專校院,1044,聖約翰科技大學,421924,57.77,151664,20.77,94903,12.99,5605,0.77,25426,3.48,16845,2.31,0,0,0,0,14013,1.92,730381,100
105,私立,技專校院,1045,嶺東科技大學,583703,60.39,169549,17.54,105649,10.93,2905,0.30,29009,3,42811,4.43,2847,0.29,0,0,30096,3.11,966569,100
105,私立,技專校院,1046,中國科技大學,704792,59.05,230001,19.27,133645,11.20,10860,0.91,46657,3.91,54322,4.55,0,0,0,0,13198,1.11,1193475,100
105,私立,技專校院,1047,中臺科技大學,620646,65.66,149887,15.86,95609,10.12,24184,2.56,27809,2.94,18105,1.92,1117,0.12,0,0,7831,0.83,945188,100
105,私立,一般大學,1048,亞洲大學,893875,49.74,454111,25.27,131121,7.30,27163,1.51,62332,3.47,34641,1.93,15567,0.87,167502,9.32,10610,0.59,1796922,100
105,私立,一般大學,1049,開南大學,506982,58.02,165611,18.95,90678,10.38,41345,4.73,31634,3.62,28605,3.27,420,0.05,0,0,8511,0.97,873786,100
105,私立,一般大學,1050,佛光大學,402510,49.38,166730,20.46,96752,11.87,21039,2.58,84371,10.35,35295,4.33,0,0,0,0,8374,1.03,815071,100
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,705509,58.81,220822,18.41,140489,11.71,6848,0.57,49337,4.11,34007,2.83,23,0,1809,0.15,40884,3.41,1199729,100
105,私立,技專校院,1052,遠東科技大學,522753,53.75,245702,25.26,125180,12.87,10270,1.06,52942,5.44,12762,1.31,0,0,0,0,2893,0.30,972503,100
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,457347,58.17,168149,21.39,94171,11.98,8334,1.06,26163,3.33,28432,3.62,0,0,0,0,3637,0.46,786233,100
