學年度,設立別,學校類別,學校統計處代碼,學校名稱,各項資本支出情形-機械儀器及設備,各項資本支出情形-圖書及博物,各項資本支出情形-無形資產,各項資本支出情形-土地及土地改良物,各項資本支出情形-房屋及建築,各項資本支出情形-其他動產及不動產,各項資本支出情形-合計
105,私立,一般大學,1001,東海大學,59262,36832,15762,21652,113417,38390,285316
105,私立,一般大學,1002,輔仁大學,171336,49722,8917,31146,214381,3439,478940
105,私立,一般大學,1003,東吳大學,49368,21762,5337,4255,42368,37622,160712
105,私立,一般大學,1004,中原大學,115136,47003,31669,18296,373767,87656,673527
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,152003,80029,9169,450,249299,919,491870
105,私立,一般大學,1006,中國文化大學,234735,67176,24286,0,0,7317,333514
105,私立,一般大學,1007,逢甲大學,66363,48119,21267,0,42603,46210,224562
105,私立,一般大學,1008,靜宜大學,37866,17982,3514,4900,20770,15640,100673
105,私立,一般大學,1009,長庚大學,162885,10356,24905,0,312831,16950,527927
105,私立,一般大學,1010,元智大學,85990,26125,5415,0,0,12680,130211
105,私立,一般大學,1011,中華大學學校財團法人中華大學,34452,18301,9773,0,13104,12792,88422
105,私立,一般大學,1012,大葉大學,82267,28453,5629,230,0,1948,118526
105,私立,一般大學,1013,華梵大學,14802,1872,613,2310,22859,13056,55513
105,私立,一般大學,1014,義守大學,90865,13371,7637,0,40021,13727,165621
105,私立,一般大學,1015,世新大學,49346,7479,1309,16464,148024,11748,234371
105,私立,一般大學,1016,銘傳大學,71453,20562,3476,0,9632,20557,125681
105,私立,一般大學,1017,實踐大學,66001,14427,6965,10528,63173,17564,178657
105,私立,技專校院,1018,朝陽科技大學,100033,16822,20807,0,0,9200,146863
105,私立,一般大學,1019,高雄醫學大學,86970,24840,7734,0,7280,25042,151867
105,私立,一般大學,1020,南華大學,19238,5146,8563,0,560,12834,46341
105,私立,一般大學,1021,真理大學,11770,12403,1452,6,1125,13306,40062
105,私立,一般大學,1022,大同大學,35785,10730,2163,0,989,12229,61896
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,123063,14083,13999,1450,234811,12544,399951
105,私立,技專校院,1024,崑山科技大學,115053,7924,14353,198,29095,3127,169749
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,66000,11001,6920,0,464764,21231,569916
105,私立,技專校院,1026,樹德科技大學,53617,10517,9595,0,75919,22681,172329
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,33654,16338,5005,0,0,53015,108011
105,私立,一般大學,1028,臺北醫學大學,187501,31372,50941,0,179643,26459,475917
105,私立,一般大學,1029,中山醫學大學,36739,5914,3091,0,19922,14113,79779
105,私立,技專校院,1030,龍華科技大學,72771,4990,20649,0,59070,470,157950
105,私立,技專校院,1031,輔英科技大學,66837,4063,3973,0,21898,14333,111105
105,私立,技專校院,1032,明新學校財團法人明新科技大學,67773,4073,9922,17931,20509,29358,149567
105,私立,一般大學,1033,長榮大學,26768,3443,3829,21279,46733,30353,132405
105,私立,技專校院,1034,弘光科技大學,48155,19018,4350,0,42661,66189,180374
105,私立,一般大學,1035,中國醫藥大學,68829,31382,8598,0,48995,7928,165732
105,私立,技專校院,1036,健行學校財團法人健行科技大學,111995,9026,5447,0,392288,35623,554378
105,私立,技專校院,1037,正修學校財團法人正修科技大學,116519,15440,12931,5075,33681,83990,267636
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,45091,6395,2466,0,171861,7424,233237
