,學年度,學校代碼,學校名稱,"機械儀器
及設備",圖書及博物,無形資產,"土地及
土地改良物",房屋及建築,"其他動產
及不動產",合計
,101,1001,東海大學,75438,45026,21672,58054,54387,42439,297016
,101,1002,輔仁大學,108074,68094,9688,103161,7226,9264,305508
,101,1003,東吳大學,57234,26682,14420,14065,72702,44896,229999
,101,1004,中原大學,136368,44315,16490,-,38026,27301,262499
,101,1005,淡江大學,167691,95395,15664,-,64067,181,342998
,101,1006,中國文化大學,346234,69630,24508,-,186589,48000,674962
,101,1007,逢甲大學,99653,50779,20004,100007,3000,38845,312287
,101,1008,靜宜大學,51936,27798,8239,3402,4604,14969,110949
,101,1009,長庚大學,374747,8082,23295,-,8397,10055,424576
,101,1010,元智大學,74885,38778,11485,-,93,5024,130264
,101,1011,中華大學,33648,34361,4812,-,1700,8290,82812
,101,1012,大葉大學,57035,26412,5132,4721,24798,108,118206
,101,1013,華梵大學,29703,8028,7293,3892,30188,14858,93961
,101,1014,義守大學,129196,35100,6739,-,42721,23584,237340
,101,1015,世新大學,43098,35345,5633,79707,91198,15817,270797
,101,1016,銘傳大學,82896,44448,13589,-,88873,35630,265435
,101,1017,實踐大學,61406,16993,5923,-,6358,5444,96125
,101,1018,朝陽科技大學,88644,18223,10527,1088,-,8634,127115
,101,1019,高雄醫學大學,88458,19930,7101,-,155209,10587,281285
,101,1020,南華大學,16854,11283,9104,1280,9751,2296,50568
,101,1021,真理大學,12516,11581,5291,934,5329,6096,41747
,101,1022,大同大學,54891,13364,6973,-,-,15347,90574
,101,1023,南臺科技大學,132737,12466,21672,7214,51707,7446,233242
,101,1024,崑山科技大學,88843,20095,19964,26122,94547,3519,253089
,101,1025,嘉南藥理大學,75827,29912,5518,73282,431848,27414,643802
,101,1026,樹德科技大學,1559,11883,7629,2974,1773,79721,105539
,101,1027,慈濟大學,68503,17108,3207,689,10127,11787,111422
,101,1028,臺北醫學大學,164070,34493,13984,2338,40595,6943,262424
,101,1029,中山醫學大學,40695,10536,6143,-,100679,2758,160810
,101,1030,龍華科技大學,72469,6035,5779,-,7242,6602,98128
,101,1031,輔英科技大學,38191,9739,1219,-,14945,1176,65270
,101,1032,明新科技大學,35618,5300,11732,-,14754,9195,76599
,101,1033,長榮大學,23807,14787,6348,5168,1078,18824,70011
,101,1034,弘光科技大學,49155,17927,10137,-,750,8141,86110
,101,1035,中國醫藥大學,79789,42540,18111,332950,4651,7744,485785
,101,1036,健行科技大學,74965,9733,11943,-,6761,30781,134183
,101,1037,正修科技大學,149017,18376,15501,415,180380,28774,392464
,101,1038,萬能科技大學,43526,5355,5259,-,33065,5504,92709
,101,1039,玄奘大學,31404,6528,6931,-,86,9580,54528
,101,1040,建國科技大學,41790,6468,10719,7219,2304,13032,81532
,101,1041,明志科技大學,137359,2568,26564,-,49784,18602,234876
