查核年度,設立別,學校類別,學校統計處代碼,學校名稱,受查範圍(學年度),未發現重大異常情形,須持續追蹤改善(交易循環；建議改進事項、更正事項、收回事項、其他事項；件),本部持續追蹤改善結果說明,備註
108,私立,一般大學,1001,東海大學,106.107,,"不動產、房屋及設備循環：建議改進事項：1件。
收入循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,106.107,V,,,
108,私立,一般大學,1008,靜宜大學,106.107,,"不動產、房屋及設備循環：建議改進事項：4件。
收入循環：建議改進事項：1件。
其他循環：建議改進事項：3件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1011,中華大學學校財團法人中華大學,106.107,,採購及付款循環、其他循環：建議改進事項：1件。,本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1015,世新大學,106.107,,"收入循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項：2件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1018,朝陽科技大學,106.107,,"薪資循環、其他循環：建議改進事項︰1件。
薪資循環：建議改進事項︰1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1020,南華大學,106.107,,"不動產、房屋及設備循環：建議改進事項：1件。
薪資循環：建議改進事項：1件。
其他循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1021,真理大學,106.107,V,,,
108,私立,一般大學,1022,大同大學,106.107,,"收入循環、不動產、房屋及設備循環、其他循環：建議改進事項：1件。
收入循環：建議改進事項：1件。
薪資循環：建議改進事項：1件。
薪資循環、其他循環：建議改進事項：3件。
其他循環：建議改進事項：2件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1028,臺北醫學大學,106.107,,收入循環：建議改進事項：1件。,本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1030,龍華科技大學,106.107,,"收入循環：建議改進事項︰1件。
採購及付款循環：建議改進事項：1件。
其他資產循環：建議改進事項︰1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1031,輔英科技大學,106.107,,採購及付款循環：建議改進事項：2件。,本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1032,明新學校財團法人明新科技大學,106.107,,薪資循環、其他循環：建議改進事項︰3件。,本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1036,健行學校財團法人健行科技大學,106.107,,"其他循環：收回事項：2件，收回980,840元。
其他循環：建議改進事項：1件。
薪資循環：建議改進事項：1件。",本部至110年3月31日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,106.107,,"採購及付款循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1039,玄奘大學,106.107,,"其他循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項：1件。
收入循環：建議改進事項：1件。
其他循環：建議改進事項：2件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1040,建國科技大學,106.107,,"採購及付款循環：建議改進事項︰1件。
其他循環、不動產、房屋及設備循環、採購及付款循環：建議改進事項：3件。
其他循環：建議改進事項：2件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1042,高苑科技大學,106.107,,"其他循環：建議改進事項：3件。
其他循環：收回事項：1件，收回253,444元。
薪資循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1044,聖約翰科技大學,106.107,,"不動產、房屋及設備循環：建議改進事項：1件。
其他循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1046,中國科技大學,106.107,,"採購及付款循環：建議改進事項：1件。
不動產、房屋及設備循環循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1048,亞洲大學,106.107,,"其他循環：建議改進事項：3件。
採購及付款循環：建議改進事項：1件。
收入循環：建議改進事項：1件。
其他循環：建議改進事項：2件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1049,開南大學,106.107,,"其他循環：建議改進事項：2件。
薪資循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1052,遠東科技大學,106.107,,採購及付款循環：建議改進事項：1件。,本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,106.107,,"其他循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項：1件。
不動產、房屋及設備循環、其他循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1054,景文科技大學,106.107,,其他循環：建議改進事項：1件。,本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1055,中華醫事科技大學,106.107,,"薪資循環：建議改進事項︰1件。
其他循環：建議改進事項︰3件。
其他循環：收回事項：1件，收回607,327元。",本部至110年3月31日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1056,東南科技大學,106.107,,不動產、房屋及設備循環：建議改進事項：1件。,本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1061,中華學校財團法人中華科技大學,106.107,V,,,
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,106.107,,不動產、房屋及設備循環：建議改進事項：2件。,本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,106.107,,"不動產、房屋及設備循環：建議改進事項：1件。
薪資循環：建議改進事項︰3件。
薪資循環、其他循環：建議改進事項︰1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1068,中州學校財團法人中州科技大學,106.107,,"其他循環：建議改進事項：1件。
採購及付款循環：建議改進事項：1件。
其他循環、不動產、房屋及設備循環：建議改進事項：2件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1072,大華學校財團法人敏實科技大學,106.107,V,,,
108,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,106.107,,"其他循環：建議改進事項：3件。
採購及付款循環：建議改進事項：2件。
其他循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1074,南榮學校財團法人南榮科技大學,106.107,,薪資循環：建議改進事項：3件。,本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1079,康寧學校財團法人康寧大學,106.107,,不動產、房屋及設備循環：建議改進事項：1件。,本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1154,永達技術學院,106.107,,"其他循環：建議改進事項：3件。
不動產、房屋及設備循環：建議改進事項：5件。
融資循環、其他循環：建議改進事項：4件。",本部至109年6月30日止持續追蹤改善結果說明:本部尚在追蹤中。,(103.08.06停辦)
108,私立,技專校院,1159,和春技術學院,106.107,,"其他循環：建議改進事項：3件。
不動產、房屋及設備循環、採購及付款循環：建議改進事項：1件。",本部至110年3月31日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,106.107,,"其他循環：建議改進事項：3件。
收入循環、不動產、房屋及設備循環、採購及付款循環：建議改進事項：1件。
收入循環、不動產、房屋及設備循環、採購及付款循環：收回事項：1件，收回30,000元。
不動產、房屋及設備循環：建議改進事項：1件。
其他循環、收入循環、採購及付款循環：建議改進事項：2件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,一般大學,1176,稻江科技暨管理學院,106.107,,"收入循環：建議改進事項︰1件。
收入循環、不動產、房屋及設備循環：建議改進事項︰2件。
收入循環、其他循環：建議改進事項︰1件。
其他循環、薪資循環：建議改進事項︰2件。
其他循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1182,蘭陽技術學院,106.107,,"不動產、房屋及設備循環：建議改進事項：2件。
收入循環：建議改進事項：2件。
其他循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1185,經國管理暨健康學院,106.107,,"採購及付款循環：建議改進事項︰1件。
不動產、房屋及設備循環：建議改進事項：2件。
其他循環：建議改進事項：1件。
其他循環：收回事項：1件，收回115,539元。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1188,大同技術學院,106.107,,"不動產、房屋及設備循環：建議改進事項：1件。
其他循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,106.107,,"採購及付款循環、其他循環：建議改進事項：3件。
其他循環：建議改進事項：13件。
其他循環、不動產、房屋及設備循環：建議改進事項：3件。
收入循環、其他循環：建議改進事項：4件。",本部至109年6月30日止持續追蹤改善結果說明:本部尚在追蹤中。,(108.06.20停辦)
108,私立,技專校院,1192,臺灣觀光學院,106.107,,"不動產、房屋及設備循環：建議改進事項：1件。
薪資循環：建議改進事項：2件。
其他循環：建議改進事項：5件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1283,仁德醫護管理專科學校,106.107,,"其他循環：建議改進事項：3件。
採購及付款循環：建議改進事項：2件。
不動產、房屋及設備循環：建議改進事項：1件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
108,私立,技專校院,1288,高美醫護管理專科學校,106.107,,"其他循環、融資循環：建議改進事項：3件。
不動產、房屋及設備循環：建議改進事項：3件。
收入循環：建議改進事項：1件。
其他循環：建議改進事項︰4件。",本部至109年6月30日止持續追蹤改善結果說明:學校已完成改善。,
109,私立,一般大學,1003,東吳大學,107.108,V,,, 
109,私立,一般大學,1004,中原大學,107.108,,"收入循環：建議改進事項：1件。
其他循環：建議改進事項：2件。",本部至110年9月30日止持續追蹤改善結果說明:學校已完成改善。,
109,私立,一般大學,1007,逢甲大學,107.108,,其他循環：建議改進事項：2件。,"本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,一般大學,1010,元智大學,107.108,V,,, 
109,私立,一般大學,1012,大葉大學,107.108,,不動產、房屋及設備循環：建議改進事項：1件。,"本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,一般大學,1013,華梵大學,107.108,,"不動產、房屋及設備循環：建議改進事項：1件。
其他循環：建議改進事項：3件。",本部至110年9月30日止持續追蹤改善結果說明:學校已完成改善。,
109,私立,一般大學,1016,銘傳大學,107.108,,"收入循環、其他循環：建議改進事項：4件。
不動產、房屋及設備循環：建議改進事項：1件。",本部至110年9月30日止持續追蹤改善結果說明:學校已完成改善。,
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,107.108,,"收入循環：建議改進事項︰1件。
其他循環：建議改進事項︰2件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1024,崑山科技大學,107.108,,"採購及付款循環：建議改進事項︰1件。
不動產、房屋及設備循環：建議改進事項︰1件。
收入循環:建議改進事項：1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,107.108,,"採購及付款循環：建議改進事項：1件。
不動產、房屋及設備循環：建議改進事項︰1件。
薪資循環：建議改進事項︰2件。
其他循環：建議改進事項︰1件。
採購及付款循環、薪資循環：收回事項：3件，收回244,528元。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,一般大學,1029,中山醫學大學,107.108,,"不動產、房屋及設備循環、其他循環：建議改進事項：2件。
薪資循環：建議改進事項：2件。
其他循環：建議改進事項：1件。",本部至110年9月30日止持續追蹤改善結果說明:學校已完成改善。,
109,私立,一般大學,1033,長榮大學,107.108,,不動產、房屋及設備循環：建議改進事項：2件。,"本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1034,弘光科技大學,107.108,,"不動產、房屋及設備循環：建議改進事項︰2件。
收入循環：建議改進事項︰1件。
薪資循環：建議改進事項︰1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1040,建國科技大學,107.108,,"採購及付款循環：建議改進事項︰2件。
不動產、房屋及設備循環：建議改進事項：1件。
薪資循環：建議改進事項︰1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1044,聖約翰科技大學,107.108,,不動產、房屋及設備循環：建議改進事項：1件。,"本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1045,嶺東科技大學,107.108,,"採購及付款循環：建議改進事項︰5件。
不動產、房屋及設備循環：建議改進事項：1件。
薪資循環：建議改進事項：2件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1047,中臺科技大學,107.108,,"採購及付款循環：建議改進事項：1件。
其他循環：建議改進事項：3件。
不動產、房屋及設備循環：建議改進事項：3件。
薪資循環：收回事項：2件，收回72,620元。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,一般大學,1058,明道學校財團法人明道大學,107.108,,"其他循環：建議改進事項：1件。
採購及付款循環：建議改進事項︰1件。
不動產、房屋及設備循環：建議改進事項：3件。
薪資循環：建議改進事項︰1件。
其他循環：建議改進事項︰2件。",本部至110年9月30日止持續追蹤改善結果說明:學校已完成改善。,
109,私立,技專校院,1060,南開科技大學,107.108,,採購及付款循環：建議改進事項：1件。,"本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1062,僑光科技大學,107.108,,"其他循環：建議改進事項：2件。
採購及付款循環：建議改進事項：3件。
收入循環：建議改進事項：1件。
薪資循環：建議改進事項：1件。
收入循環、薪資循環：收回事項：2件，收回144,369元。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1066,環球學校財團法人環球科技大學,107.108,,"採購及付款循環：建議改進事項：1件。
收入循環、薪資循環：收回事項：2件，收回351,889元。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,107.108,,"採購及付款循環：建議改進事項：3件。
薪資循環：建議改進事項：2件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
109,私立,技專校院,1076,華夏學校財團法人華夏科技大學,107.108,V,,, 
109,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,107.108,,"採購及付款循環：建議改進事項：1件。
收入循環：建議改進事項：1件。
薪資循環：建議改進事項：3件。
其他循環：建議改進事項：1件。","本部至110年3月31日止持續追蹤改善結果說明:
學校已完成改善。", 
