,學年度,學校代碼,學校名稱,"人事費支出
（含退休撫卹）",%,"業務費
(不含折舊及攤銷)",%,折舊及攤銷,%,獎學金支出,%,補助弱勢清寒學生之助學性支出,%,"建築物及設備
之維護費用",%,利息費用,%,各項投資、基金及附屬機構損失,%,其他校務支出,%,合計,%
,101,1001,東海大學,1493431,63.59,450013,19.16,215930,9.19,29632,1.26,71995,3.07,50908,2.17,849,0.04,-,-,35866,1.53,2348624,100
,101,1002,輔仁大學,2020130,57.21,717369,20.31,308838,8.75,72973,2.07,230885,6.54,105959,3,1065,0.03,20094,0.57,54070,1.53,3531384,100
,101,1003,東吳大學,1315721,64.14,336305,16.39,187014,9.12,22944,1.12,99030,4.83,80290,3.91,-,-,-,-,10057,0.49,2051360,100
,101,1004,中原大學,1521586,54.86,720286,25.97,251276,9.06,114420,4.13,62053,2.24,75893,2.74,305,0.01,-,-,27876,1.01,2773696,100
,101,1005,淡江大學,2133027,63.51,594068,17.69,256212,7.63,74313,2.21,127331,3.79,139487,4.15,-,-,-,-,34116,1.02,3358554,100
,101,1006,中國文化大學,1997850,57,605605,17.28,430741,12.29,57487,1.64,234793,6.7,167695,4.78,532,0.02,-,-,10248,0.29,3504951,100
,101,1007,逢甲大學,1874680,54.34,548830,15.91,293804,8.52,96251,2.79,191646,5.56,141668,4.11,18284,0.53,222802,6.46,61967,1.8,3449932,100
,101,1008,靜宜大學,952058,56.86,277004,16.54,150810,9.01,35355,2.11,145732,8.7,63354,3.78,1427,0.09,-,-,48759,2.91,1674499,100
,101,1009,長庚大學,1876329,54.35,861097,24.94,447687,12.97,28575,0.83,71370,2.07,105877,3.07,-,-,-,-,61094,1.77,3452030,100
,101,1010,元智大學,974271,54.16,413707,23,188040,10.45,18003,1,57698,3.21,49609,2.76,-,-,-,-,97516,5.42,1798845,100
,101,1011,中華大學,707176,62.28,221849,19.54,80580,7.1,20043,1.77,53728,4.73,41989,3.7,1667,0.15,-,-,8492,0.75,1135524,100
,101,1012,大葉大學,725186,53.42,313416,23.09,138894,10.23,20842,1.54,67855,5,79140,5.83,111,0.01,-,-,11971,0.88,1357416,100
,101,1013,華梵大學,326471,51.85,129568,20.58,102544,16.29,15717,2.5,37670,5.98,16474,2.62,-,-,-,-,1235,0.2,629678,100
,101,1014,義守大學,1207954,51.26,679430,28.83,235225,9.98,37509,1.59,108061,4.59,32462,1.38,27294,1.16,-,-,28437,1.21,2356372,100
,101,1015,世新大學,843196,48.21,548387,31.35,207087,11.84,11913,0.68,61883,3.54,37494,2.14,-,-,17655,1.01,21513,1.23,1749128,100
,101,1016,銘傳大學,1451806,60.96,443517,18.62,206897,8.69,60130,2.52,96481,4.05,64525,2.71,7586,0.32,-,-,50650,2.13,2381593,100
,101,1017,實踐大學,921521,55.75,350975,21.23,171699,10.39,27724,1.68,78892,4.77,80834,4.89,2801,0.17,-,-,18432,1.12,1652878,100
,101,1018,朝陽科技大學,909285,48.75,499230,26.77,150802,8.08,42689,2.29,67410,3.61,163546,8.77,4078,0.22,5299,0.28,22880,1.23,1865220,100
,101,1019,高雄醫學大學,839016,46.54,674447,37.41,169036,9.38,13661,0.76,36320,2.01,36131,2,1333,0.07,-,-,32892,1.82,1802836,100
,101,1020,南華大學,465589,63.58,86403,11.8,118329,16.16,13448,1.84,32041,4.38,10602,1.45,-,-,-,-,5884,0.8,732296,100
