學校名稱,採購案件公告網址
東海大學,http://account.thu.edu.tw/web/finance/finance_detail.php?id=38
輔仁大學,http://www.fju.edu.tw/fee/4_1.html
東吳大學,http://www.scu.edu.tw/admin/scu_finance/finance4-3.html
中原大學,http://itouch.cycu.edu.tw/modules/cycu2500h_01/rdininfo/index.do
淡江大學,http://info.tku.edu.tw/purchase.aspx
逢甲大學,http://www.fcu.edu.tw/wSite/mp?mp=5
中國文化大學,http://omi.accounting.pccu.edu.tw/ezfiles/57/1057/img/1179/4-3-1.pdf
靜宜大學,http://web.pu.edu.tw/~info/report2.html
銘傳大學,"http://mcufinance.mcu.edu.tw/%E9%8A%98%E5%82%B3%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5
%8B%99%E8%B3%87%E8%A8%8A%E5%85%AC%E9%96%8B%E5%B0%88%E5%8D%8043%E5
%AD%B8%E6%A0%A1%E6%8E%A1%E8%B3%BC%E5%8F%8A%E9%87%8D%E5%A4%A7
%E8%B3%87%E7%94%A2%E6%83%85%E5%BD%A2.html"
長庚大學,http://public.cgu.edu.tw/files/13-1069-37350.php
元智大學,"http://www.yzu.edu.tw/admin/bo/index.php/content/view/317/400/lang,tw/"
中華大學,http://140.126.122.87/purchase/
大葉大學,http://info.dyu.edu.tw/4400.php
華梵大學,http://www.hfu.edu.tw/~fee/fee/03-1.htm
義守大學,http://www2.isu.edu.tw/ipages/336-4-20007.html
實踐大學,http://info.usc.edu.tw/bin/home.php
世新大學,http://finance.aladdin.shu.edu.tw/schoolpad/front/bin/ptdetail.phtml?Part=sch04&Rcg=14
高雄醫學大學,http://info.kmu.edu.tw/index.php/other-information/purchase
中國醫藥大學,http://cmumoney.cmu.edu.tw/sw-assist1.htm
臺北醫學大學,http://report.xms.tmu.edu.tw/
中山醫學大學,"http://info.csmu.edu.tw/files/15-1019-25750,c920-1.php?Lang=zh-tw"
慈濟大學,http://finance.tcu.edu.tw/?page_id=1827
大同大學,http://info.ttu.edu.tw/bin/home.php
長榮大學,http://sites.cjcu.edu.tw/wSite/file.aspx?depno=S0014&appid=1644
真理大學,http://financial.epage.au.edu.tw/files/90-1388-8.php
南華大學,http://203.72.2.33/modules/tadnews/
玄奘大學,http://info.hcu.edu.tw/front/bin/home.phtml
開南大學,http://general.knu.edu.tw/purchase.asp
台灣首府大學,http://oga.tsu.edu.tw/files/11-1003-642.php
康寧大學,http://web.knjc.edu.tw/files/11-1000-1925.php
"興國管理學院
(104學年度起更名為中信金融管理學院)",http://info.ctbc.edu.tw/files/11-1027-1888.php
佛光大學,http://www.fgu.edu.tw/newpage/fguwebs/webs/cose/index.php?pd_id=9688&typenum=140
亞洲大學,http://web.asia.edu.tw/files/13-1000-32264.php
明道大學,http://www.mdu.edu.tw/info/#
稻江科技暨管理學院,http://finstate.toko.edu.tw/
法鼓文理學院,https://sites.google.com/a/dila.edu.tw/institute-research/
馬偕醫學院,http://www.mmc.edu.tw/financial.asp
基督教台灣浸會神學院,http://alumnus.tbts.edu.tw/info/
臺北基督學院,http://www.cct.edu.tw/SF/sf.html
崑山科技大學,http://information.ksu.edu.tw/
南台科技大學,http://account.stust.edu.tw/tc/node/F1
朝陽科技大學,http://general.cyut.edu.tw/purchasing_order.php?dep=7
明新科技大學,https://sites.google.com/site/mustfdpage/important/3-buycut?pli=1
樹德科技大學,http://public.stu.edu.tw/?p=1158
大華科技大學,http://info.tust.edu.tw/ezfiles/38/1038/img/793/113924802.pdf
弘光科技大學,https://purchase.hk.edu.tw/
輔英科技大學,http://schoolmoney.fy.edu.tw/files/13-1050-12046.php?Lang=zh-tw
嘉南藥理大學,http://info.cnu.edu.tw/
台南應用科技大學,http://account.tut.edu.tw/ezfiles/10/1010/img/1665/index.htm
明志科技大學,http://public.mcut.edu.tw/files/11-1042-5242.php
黎明技術學院,http://message.lit.edu.tw/files/13-1025-1332.php
東南科技大學,http://www.tnu.edu.tw/campusdata/index.asp?menuId=d_4
亞東技術學院,http://ga.oit.edu.tw/files/11-1005-1573.php
吳鳳科技大學,http://www2.wfu.edu.tw/wp/sawu/?page_id=297
正修科技大學,http://general.csu.edu.tw/wSite/mp?mp=203
東方設計學院,"http://www.tf.edu.tw/tw/administrative-services/notice-information/area-public-school-financial-information/
102-school-annual-report.html"
華夏科技大學,http://ws.hwh.edu.tw/fip/file/4-3.html
蘭陽技術學院,http://admin2.fit.edu.tw/goffice/bcpub.asp
健行科技大學,http://gaoffice.uch.edu.tw/ga20302_6.aspx
修平科技大學,http://financial.hust.edu.tw/xue-xiao-qi-ta-zhong-yao-zi-xun/xue-xiao-cai-gou-ji-chu-fen-zhong-da-zi-chan-qing-xing
聖約翰科技大學,http://sjuweb.sju.edu.tw/SJUFinancial/DownList.aspx?func=FA4_7
南榮科技大學,http://www.nju.edu.tw/njga/bulletin/
遠東科技大學,http://www.feu.edu.tw/adms/acc/CFIDA/index.html
中華科技大學,http://www.cust.edu.tw/www/cinfo/smain.php
中州科技大學,http://www.ccut.edu.tw/adminSection/front/showContent.asp?m_id=240&site_id=finance
台北城市科技大學,http://www.tpcu.edu.tw/files/13-1000-17159.php?Lang=zh-tw
南開科技大學,http://sdssys.nkut.edu.tw/financial/4_School_Other/index.html
德霖技術學院,http://accounting.dlit.edu.tw/ezcatfiles/b010/img/img/634/4.3.1.pdf
龍華科技大學,http://www.lhu.edu.tw/m/oga/tender.asp
南亞技術學院,http://web.tiit.edu.tw/gaof/gapg01-3.asp
萬能科技大學,http://www2.vnu.edu.tw/afd/
建國科技大學,https://sites.google.com/site/financialctu/
亞太創意技術學院,http://www.ga.apic.edu.tw/index.php/zh/2014-09-16-00-44-08
高苑科技大學,http://www.general.kyu.edu.tw/d.htm
和春技術學院,http://www.fotech.edu.tw/school_expenses/4-3.html
景文科技大學,http://public.just.edu.tw/bin/home.php
大漢技術學院,http://happygo.dahan.edu.tw/~info/index.php/2015-08-11-06-45-45/100
中國科技大學,http://m.cute.edu.tw/cutepublicinfo/ShowCatagory.aspx
大同技術學院,http://public.ttc.edu.tw/files/11-1040-1688.php
僑光科技大學,http://w3.ocu.edu.tw/genaffa/
嶺東科技大學,http://newwebov.ltu.edu.tw/LTU_public/lay4_3_1.html
環球科技大學,http://mail.twu.edu.tw/~tuition/d_003.php
致理科技大學,http://financialreport.chihlee.edu.tw/files/11-1032-2505.php?Lang=zh-tw
醒吾科技大學,http://info.hwu.edu.tw/
德明財經科技大學,http://www.takming.edu.tw/purchase/
臺灣觀光學院,http://gen.tht.edu.tw/files/11-1012-1291.php
