學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
101,公立,一般大學,18,國立嘉義大學,140101,教育學系,學士班(日間),168,47,121
101,公立,一般大學,18,國立嘉義大學,140101,教育學系博士班,博士班,71,35,36
101,公立,一般大學,18,國立嘉義大學,140101,教育學系碩士在職專班,碩士在職專班,108,28,80
101,公立,一般大學,18,國立嘉義大學,140101,教育學系碩士班,碩士班(日間),67,28,39
101,公立,一般大學,18,國立嘉義大學,140119,家庭教育與諮商研究所教學碩士學位班,碩士在職專班,3,0,3
101,公立,一般大學,18,國立嘉義大學,140209,數理教育研究所碩士班,碩士班(日間),74,45,29
101,公立,一般大學,18,國立嘉義大學,140401,幼兒教育學系,學士班(日間),217,30,187
101,公立,一般大學,18,國立嘉義大學,140401,幼兒教育學系碩士在職專班,碩士在職專班,78,5,73
101,公立,一般大學,18,國立嘉義大學,140401,幼兒教育學系碩士班,碩士班(日間),61,5,56
101,公立,一般大學,18,國立嘉義大學,140601,特殊教育學系,學士班(日間),157,38,119
101,公立,一般大學,18,國立嘉義大學,140601,特殊教育學系碩士班,碩士班(日間),53,17,36
101,公立,一般大學,18,國立嘉義大學,140702,教育行政與政策發展研究所碩士在職專班,碩士在職專班,51,23,28
101,公立,一般大學,18,國立嘉義大學,140702,教育行政與政策發展研究所碩士班,碩士班(日間),39,17,22
101,公立,一般大學,18,國立嘉義大學,140806,數位學習設計與管理學系,學士班(日間),199,66,133
101,公立,一般大學,18,國立嘉義大學,140806,數位學習設計與管理學系碩士班,碩士班(日間),48,27,21
101,公立,一般大學,18,國立嘉義大學,210401,音樂學系,學士班(日間),191,43,148
101,公立,一般大學,18,國立嘉義大學,210401,音樂學系碩士班,碩士班(日間),28,1,27
101,公立,一般大學,18,國立嘉義大學,210604,視覺藝術學系,學士班(日間),195,48,147
101,公立,一般大學,18,國立嘉義大學,210604,視覺藝術學系,學士班(進修),37,11,26
101,公立,一般大學,18,國立嘉義大學,210604,視覺藝術學系碩士班,碩士班(日間),66,21,45
101,公立,一般大學,18,國立嘉義大學,210604,視覺藝術教學碩士學位班,碩士在職專班,9,5,4
101,公立,一般大學,18,國立嘉義大學,220201,中國文學教學碩士學位班,碩士在職專班,14,1,13
101,公立,一般大學,18,國立嘉義大學,220201,中國文學系,學士班(日間),207,78,129
101,公立,一般大學,18,國立嘉義大學,220201,中國文學系碩士在職專班,碩士在職專班,51,15,36
101,公立,一般大學,18,國立嘉義大學,220201,中國文學系碩士班,碩士班(日間),48,13,35
101,公立,一般大學,18,國立嘉義大學,220706,外國語言學系,學士班(日間),422,93,329
101,公立,一般大學,18,國立嘉義大學,220706,外國語言學系碩士班,碩士班(日間),50,20,30
101,公立,一般大學,18,國立嘉義大學,220902,史地學系,學士班(日間),202,106,96
101,公立,一般大學,18,國立嘉義大學,220902,史地學系碩士在職專班,碩士在職專班,48,23,25
101,公立,一般大學,18,國立嘉義大學,220902,史地學系碩士班,碩士班(日間),38,19,19
101,公立,一般大學,18,國立嘉義大學,310102,應用經濟學系,學士班(日間),198,89,109
101,公立,一般大學,18,國立嘉義大學,310102,應用經濟學系碩士班,碩士班(日間),19,11,8
101,公立,一般大學,18,國立嘉義大學,310506,輔導與諮商學系,學士班(日間),220,56,164
