序號,代碼,校區,子區域,供水區,水號,水號格式1,裝置日期,供水區說明
1,A1,蘭潭,蘭潭,主校區,51180002015,51-1800-0201-5,1980/10/24,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水)
2,A2,蘭潭,蘭潭,能源學系,51180255228,51-1802-5522-8,2002/10/21,機械與能源學系、創新育成中心大樓用水
3,A3,蘭潭,蘭潭,宿舍區,5118000200K,51-1800-0200-K,1981/4/11,學生1、2舍、學苑餐廳及管理室等用水
4,A4,蘭潭,蘭潭,宿舍區,51180001006,51-1800-0100-6,1984/1/14,學生2、3、5、6舍用水
5,B1,民雄,民雄,全校區,5Y240018005,5Y-2400-1800-5,,
6,C1,林森,林森,全校區,51030008002,51-0300-0800-2,,
7,D1,新民,新民,管院及宿舍,51309638400,51-3096-3840-0,,管理學院AB棟、明德齋、警衛室、司令台及運動場用水
8,D2,新民,新民,動物疾病診斷中心,51193267405,51-1932-6740-5,,動物醫院用水
9,D3,新民,新民,游泳池,51193267358,51-1932-6735-8,,新民泳池用水
10,Z1,首長宿舍,其他,51063297009,51-0632-9700-9,,忠義街首長宿舍用水
