水號,繳費年月,繳費金額,用水度數,同期增減金額,同期增減度數
51-18000201-5,2008-04-01,378482,23039,,
51-18025522-8,2008-04-01,33367,1931,,
51-30963840-0,2008-04-01,35412,2114,,
51-18000100-6,2008-05-01,99603,6040,,
51-18000201-5,2008-05-01,406228,24736,,
51-18000200-K,2008-05-01,21678,1274,,
5Y-24001800-5,2008-05-01,299630,18099,,
51-06329700-9,2008-06-01,308,23,,
51-18000100-6,2008-06-01,101648,6165,,
51-18000201-5,2008-06-01,399427,24320,,
51-18000200-K,2008-06-01,23477,1384,,
51-18000100-6,2008-07-01,107827,6543,,
51-18025522-8,2008-07-01,34234,1984,,
51-30963840-0,2008-07-01,51126,3075,,
51-18000200-K,2008-07-01,25162,1487,,
5Y-24001800-5,2008-07-01,394897,24065,,
51-18000201-5,2008-08-01,437163,26628,,
51-18025522-8,2008-08-01,34199,1982,,
51-30963840-0,2008-08-01,33385,1990,,
51-18000100-6,2008-09-01,24540,1449,,
51-18000201-5,2008-09-01,420438,25605,,
51-30963840-0,2008-09-01,24785,1464,,
5Y-24001800-5,2008-09-01,245536,14965,,
51-30963840-0,2008-10-01,28807,1710,,
51-18000200-K,2008-10-01,13797,792,,
5Y-24001800-5,2008-10-01,269097,16372,,
51-06329700-9,2008-11-01,377,28,,
51-18000201-5,2008-11-01,418164,25466,,
5Y-24001800-5,2008-11-01,359382,21876,,
51-18025522-8,2008-12-01,33006,1909,,
51-30963840-0,2008-12-01,52515,3160,,
5Y-24001800-5,2008-12-01,398570,24269,,
51-18000100-6,2009-01-01,12161,7386,,
51-18000201-5,2009-01-01,429626,26167,,
51-18000201-5,2009-02-01,466657,28432,,
51-18000200-K,2009-02-01,19291,1128,,
51-18000100-6,2009-04-01,103151,6257,,
51-18000201-5,2009-04-01,425113,25891,,
51-30963840-0,2009-04-01,37603,2248,,
51-18000200-K,2009-04-01,32306,1924,,
51-18000201-5,2009-05-01,438667,26720,,
51-18000200-K,2009-05-01,23248,1370,,
51-18000100-6,2009-07-01,123130,7479,,
51-18000201-5,2009-07-01,477416,29090,,
51-18000201-5,2013-09-01,317106,19285,,
51-19326740-5,2013-09-01,6360,384,11,
51-19326735-8,2013-09-01,21892,1287,-695,
51-18000200-K,2013-10-01,36230,2164,934,
51-06329700-9,2013-10-01,110,8,-18,
51-30963840-0,2013-10-01,20208,1184,101,
51-18000100-6,2013-10-01,28595,1697,-421,
51-19326740-5,2013-10-01,5232,315,-127,
51-19326735-8,2013-10-01,10871,613,-450,
51-18000200-K,2013-07-01,28218,1674,467,
5Y-24001800-5,2013-07-01,233313,14218,3673,
51-30963840-0,2013-07-01,46187,2773,548,
51-18000100-6,2014-07-01,95940,5816,29,
51-18025522-8,2014-07-01,15984,868,506,
5Y-24001800-5,2014-08-01,107120,6500,-339,
51-30963840-0,2014-08-01,23555,1389,-8,
51-18000201-5,2014-08-01,274771,16696,-1234,
51-18000100-6,2014-08-01,39615,2371,522,
51-18025522-8,2014-08-01,24976,1418,982,
51-19326740-5,2014-08-01,8678,526,164,
51-19326735-8,2014-08-01,13307,762,-376,
51-06329700-9,2014-09-01,278,21,8,
51-18000201-5,2014-09-01,275933,16767,-2518,
51-18025522-8,2014-09-01,37026,2155,1396,
51-19326740-5,2014-09-01,8090,490,106,
51-19326735-8,2014-09-01,16577,962,-325,
51-06329700-9,2014-10-01,265,20,12,
51-30963840-0,2014-10-01,18144,1058,-126,
51-18025522-8,2014-10-01,10212,515,145,
51-19326740-5,2014-10-01,8367,507,192,
51-18000200-K,2014-11-01,14828,855,-1632,
5Y-24001800-5,2014-11-01,252555,15395,2800,
51-30963840-0,2014-11-01,38794,2321,-202,
51-18025522-8,2014-11-01,19940,1110,491,
51-18000200-K,2015-04-01,12899,737,-755,
5Y-24001800-5,2015-04-01,169936,10342,-656,
51-30963840-0,2015-04-01,35753,2135,-627,
51-18000201-5,2015-04-01,336296,20459,6797,
51-19326740-5,2015-04-01,8291,553,106,
51-18000200-K,2015-05-01,13553,777,-171,
51-30963840-0,2015-05-01,39154,2343,-260,
51-18000100-6,2015-05-01,92295,5593,-249,
51-18025522-8,2015-05-01,24306,1377,639,
51-19326740-5,2015-05-01,7651,510,61,
51-06329700-9,2015-06-01,251,19,1,
51-30963840-0,2015-06-01,41279,2473,-337,
51-18000100-6,2015-06-01,91902,5569,-577,
51-06329700-9,2015-07-01,251,19,0,
51-18000201-5,2015-07-01,324246,19722,4563,
51-18000100-6,2015-07-01,94420,5723,-93,
51-18025522-8,2015-07-01,23357,1319,451,
51-18000200-K,2015-08-01,12278,699,-21,
51-06329700-9,2015-08-01,320,24,7,
5Y-24001800-5,2015-08-01,118844,7217,717,
51-30963840-0,2012-08-01,28088,1666,326,
51-18000100-6,2015-08-01,53872,3243,872,
51-18025522-8,2015-08-01,15999,869,-549,
51-19326735-8,2015-08-01,7561,452,-310,
51-18000100-6,2015-09-01,15810,915,-533,
51-19326740-5,2015-09-01,9404,628,138,
51-06329700-9,2015-10-01,238,18,-2,
5Y-24001800-5,2015-10-01,123063,7475,-3820,
51-30963840-0,2015-10-01,17163,998,-60,
51-18000201-5,2015-10-01,311721,18956,2204,
51-18000100-6,2015-10-01,34790,2076,502,
51-18000200-K,2015-11-01,18752,1095,240,
51-06329700-9,2015-11-01,374,28,10,
5Y-24001800-5,2015-11-01,201296,12260,-3135,
51-30963840-0,2015-11-01,37715,2255,-66,
51-18025522-8,2015-11-01,10931,559,-551,
51-19326740-5,2015-11-01,22011,1477,942,
51-19326735-8,2015-11-01,4813,267,-640,
51-06329700-9,2015-12-01,432,32,9,
51-30963840-0,2015-12-01,43977,2638,153,
51-18000201-5,2015-12-01,339124,20632,1986,
51-18025522-8,2015-12-01,15526,840,41,
51-19326735-8,2015-12-01,3581,184,-261,
51-18000200-K,2016-01-01,13765,790,-540,
51-06329700-9,2016-01-01,265,20,-3,
51-30963840-0,2016-01-01,37911,2267,-295,
51-19326740-5,2016-01-01,16428,1101,471,
51-19326735-8,2016-01-01,1293,29,-11,
5Y-24001800-5,2016-02-01,170542,10379,-945,
51-30963840-0,2016-02-01,34592,2064,-219,
51-18025522-8,2016-02-01,7611,356,-123,
51-19326740-5,2016-02-01,5439,361,-108,
51-19326735-8,2016-02-01,1023,6,-11,
51-18000200-K,2012-11-01,24556,1450,495,
51-06329700-9,2012-12-01,281,21,-3,
51-18000100-6,2012-12-01,104295,6327,342,
51-19326735-8,2012-12-01,18590,1085,,
51-19326740-5,2012-12-01,7977,483,1,
51-18000200-K,2012-12-01,28382,1684,844,
51-06329700-9,2013-01-01,295,22,-4,
51-18000100-6,2013-01-01,101369,6148,108,
51-18000201-5,2013-01-01,355821,21653,,
51-30963840-0,2013-01-01,38863,2325,-127,
51-18000200-K,2013-02-01,31374,1867,685,
51-30963840-0,2013-02-01,38895,2327,-414,
51-18000201-5,2013-02-01,302471,18390,,
51-18000100-6,2013-02-01,104818,6359,-617,
51-18025522-8,2013-02-01,9382,464,54,
51-19326740-5,2013-02-01,9662,586,-648,
51-06329700-9,2013-03-01,323,24,13,
51-18000201-5,2013-03-01,303125,18430,,
51-18000100-6,2013-03-01,47380,2846,955,
51-18000201-5,2008-01-01,390516,23775,,
51-18025522-8,2008-01-01,36554,2126,,
51-30963840-0,2008-01-01,38617,2310,,
51-18000200-K,2008-01-01,28790,1709,,
5Y-24001800-5,2008-01-01,289492,17654,,
51-06329700-9,2008-02-01,281,28,,
51-18000200-K,2009-07-01,19080,1115,,
51-18000100-6,2009-08-01,43881,2632,,
51-18000201-5,2009-09-01,477221,29078,,
51-30963840-0,2009-09-01,16642,966,,
51-18000200-K,2009-09-01,16249,942,,
51-18000201-5,2009-10-01,510933,31140,,
51-30963840-0,2009-10-01,21957,1291,,
51-18000200-K,2009-10-01,19455,1138,,
51-18000201-5,2009-11-01,480752,29294,,
51-18000200-K,2009-11-01,23232,1369,,
51-18000100-6,2009-12-01,102055,6190,,
51-30963840-0,2009-12-01,43964,2637,,
51-18000100-6,2010-01-01,122656,7450,,
51-18000201-5,2010-01-01,537470,32763,,
51-30963840-0,2010-01-01,45533,2733,,
51-18000200-K,2010-01-01,26306,1557,,
51-18000100-6,2010-02-01,100698,6107,,
51-18000200-K,2010-02-01,21286,1250,,
51-18000100-6,2010-03-01,56521,3405,,
51-18000201-5,2010-03-01,449932,27409,,
51-30963840-0,2010-03-01,26535,1571,,
51-30963840-0,2010-04-01,36459,2178,,
51-18000200-K,2010-04-01,22789,1342,,
51-18000100-6,2010-05-01,96659,5860,,
51-18000201-5,2010-06-01,458581,27938,,
51-18000201-5,2010-07-01,531813,32417,-346,
51-18025522-8,2010-07-01,29328,1684,-458,
51-06329700-9,2010-08-01,268,20,-1,
51-30963840-0,2010-08-01,42345,2538,-195,
51-18000200-K,2010-10-01,19161,1120,-437,
51-06329700-9,2010-10-01,241,18,-3,
51-30963840-0,2010-10-01,20501,1202,-1531,
51-18025522-8,2010-10-01,25944,1477,-665,
51-18000100-6,2010-10-01,34775,2075,-5375,
51-18000200-K,2010-11-01,23885,1409,-148,
51-06329700-9,2010-11-01,308,23,2,
51-30963840-0,2010-11-01,40743,2440,-293,
51-18000201-5,2010-11-01,507517,30931,-1832,
51-18025522-8,2010-11-01,18063,995,-1147,
51-18000100-6,2010-11-01,98114,5949,-1501,
51-18000200-K,2010-12-01,26371,1561,4,
51-18000100-6,2010-12-01,107680,6534,-916,
51-06329700-9,2011-01-01,281,21,0,
51-18000201-5,2011-01-01,507353,30921,-1842,
51-18000100-6,2011-01-01,95629,5797,-1653,
5Y-24001800-5,2011-02-01,318741,19443,4432,
51-19326740-5,2011-02-01,4904,295,,
51-30963840-0,2011-02-01,38520,2304,-170,
51-18000201-5,2011-02-01,496431,30253,3132,
51-18000100-6,2011-02-01,107941,6550,443,
51-18000200-K,2011-04-01,24948,1474,132,
51-06329700-9,2011-04-01,281,21,-3,
51-19326740-5,2011-04-01,3824,229,,
51-18000201-5,2011-04-01,487439,29703,-2901,
51-18025522-8,2011-04-01,14793,795,-660,
51-06329700-9,2011-05-01,336,25,5,
51-30963840-0,2011-05-01,32142,1914,-320,
51-18000201-5,2011-05-01,484380,29516,-2065,
51-18025522-8,2011-05-01,14089,752,-605,
51-18000100-6,2011-05-01,90218,5466,-394,
5Y-24001800-5,2011-06-01,385826,23546,4538,
51-18025522-8,2011-06-01,15725,852,-653,
5Y-24001800-5,2011-07-01,324137,19773,-2185,
51-18000201-5,2011-07-01,533480,32519,102,
51-18000100-6,2011-07-01,102726,6231,-629,
51-18000200-K,2011-08-01,16774,974,-312,
5Y-24001800-5,2011-08-01,122918,7466,-10849,
51-30963840-0,2011-08-01,22757,1340,-1198,
51-18000201-5,2011-08-01,513845,31318,1526,
51-18025522-8,2011-08-01,13681,727,-1155,
51-18000200-K,2011-09-01,11395,645,-441,
51-06329700-9,2011-09-01,323,24,5,
5Y-24001800-5,2011-09-01,94075,5702,-8747,
51-19326740-5,2011-09-01,4642,279,,
51-18025522-8,2011-09-01,17131,938,-1228,
51-18000100-6,2011-09-01,36574,2185,857,
51-18000200-K,2011-10-01,17395,1012,-108,
51-19326740-5,2011-10-01,5035,303,,
51-18000201-5,2011-10-01,586618,35769,,
51-18000100-6,2011-10-01,46677,2803,728,
51-18000200-K,2011-11-01,16463,955,-454,
51-06329700-9,2011-11-01,323,24,1,
51-30963840-0,2011-11-01,40285,2412,-28,
51-18025522-8,2011-11-01,11196,575,-420,
51-19326740-5,2011-12-01,7961,482,231,
51-30963840-0,2011-12-01,39091,2339,-410,
51-18000201-5,2011-12-01,572180,34886,,
51-18000100-6,2011-12-01,98704,5985,-549,
51-18000200-K,2012-01-01,15237,880,-563,
51-06329700-9,2012-01-01,350,26,5,
51-19326740-5,2012-01-01,13193,802,563,
51-30963840-0,2012-01-01,40939,2452,175,
51-18000201-5,2012-01-01,579947,35361,,
51-18000200-K,2012-02-01,20173,1182,-634,
51-06329700-9,2012-02-01,350,26,4,
5Y-24001800-5,2012-02-01,169613,10322,-9121,
51-18000201-5,2012-02-01,586290,35749,,
5Y-24001800-5,2012-03-01,80620,4879,-17300,
51-19326735-8,2014-02-01,1324,28,27,
51-18000200-K,2014-03-01,23167,1365,-346,
51-18025522-8,2010-02-01,20139,1122,,
51-18025522-8,2010-03-01,20793,1162,,
51-18025522-8,2010-04-01,25584,1455,,
51-18025522-8,2010-06-01,26402,1505,,
51-18025522-8,2009-01-01,29346,1685,,
51-18025522-8,2009-02-01,33120,1916,,
51-18025522-8,2009-03-01,36228,2106,,
51-06329700-9,2008-03-01,377,21,,
51-18000100-6,2008-03-01,48100,2890,,
51-18025522-8,2008-03-01,39236,2486,,
51-30963840-0,2008-03-01,22971,2351,,
51-18000200-K,2008-03-01,27482,1629,,
51-18000100-6,2008-04-01,107548,6526,,
51-18000200-K,2008-04-01,23396,1379,,
5Y-24001800-5,2008-04-01,218647,13321,,
51-06329700-9,2008-05-01,268,20,,
51-18025522-8,2008-05-01,36161,2102,,
51-30963840-0,2008-05-01,42820,2567,,
51-18025522-8,2008-06-01,39334,2296,,
51-30963840-0,2008-06-01,43849,2630,,
5Y-24001800-5,2008-06-01,339768,20729,,
51-06329700-9,2008-07-01,295,22,,
51-18000201-5,2008-07-01,384940,23434,,
51-06329700-9,2008-08-01,268,20,,
51-18000100-6,2008-08-01,63845,3853,,
51-18000200-K,2008-08-01,24326,1436,,
5Y-24001800-5,2008-08-01,334876,20428,,
51-06329700-9,2008-09-01,186,14,,
51-18025522-8,2008-09-01,30539,1758,,
51-18000200-K,2008-09-01,13929,800,,
51-06329700-9,2008-10-01,241,18,,
51-18000100-6,2008-10-01,36280,2167,,
51-18000201-5,2008-10-01,440661,26842,,
51-18025522-8,2008-10-01,33727,1953,,
51-18000100-6,2008-11-01,112961,6857,,
51-18025522-8,2008-11-01,33628,1947,,
51-30963840-0,2008-11-01,58695,3538,,
51-18000200-K,2008-11-01,24442,1443,,
51-06329700-9,2008-12-01,241,18,,
51-18000100-6,2008-12-01,119599,7263,,
51-18000201-5,2008-12-01,479770,29234,,
51-18000200-K,2008-12-01,18016,1050,,
51-30963840-0,2009-01-01,47969,2882,,
51-18000200-K,2009-01-01,16478,956,,
51-18000100-6,2009-02-01,133969,8142,,
51-30963840-0,2009-02-01,53986,3250,,
51-18000100-6,2009-03-01,54215,1872,,
51-18000201-5,2009-03-01,521316,31775,,
51-30963840-0,2009-03-01,24901,1471,,
51-18000200-K,2009-03-01,36835,2201,,
51-18000100-6,2009-05-01,108137,6562,,
51-30963840-0,2009-05-01,38568,2307,,
51-18000100-6,2009-06-01,116690,7085,,
51-18000201-5,2009-06-01,478054,29129,,
51-30963840-0,2009-06-01,41675,2497,,
51-18000200-K,2009-06-01,17215,1001,,
51-30963840-0,2009-07-01,43375,2601,,
51-18000100-6,2013-09-01,16381,950,-308,
51-18025522-8,2013-09-01,14204,759,418,
5Y-24001800-5,2013-10-01,67376,4069,-3257,
51-18000201-5,2013-10-01,246717,14980,,
51-18025522-8,2013-10-01,7845,370,20,
51-06329700-9,2013-07-01,295,22,8,
51-18000201-5,2013-07-01,330822,20124,,
51-19326740-5,2014-07-01,7631,462,-38,
51-19326735-8,2014-07-01,3906,187,-424,
51-18000200-K,2014-08-01,12621,720,-634,
51-06329700-9,2014-08-01,225,17,-3,
51-18000200-K,2014-09-01,12310,701,-646,
5Y-24001800-5,2014-09-01,145216,8830,5126,
51-30963840-0,2014-09-01,17164,998,-108,
51-18000100-6,2014-09-01,24523,1448,498,
51-18000200-K,2014-10-01,11345,642,-1522,
5Y-24001800-5,2014-10-01,185519,11295,7226,
51-18000201-5,2014-10-01,275686,16752,1772,
51-18000100-6,2014-10-01,26584,1574,-123,
51-19326735-8,2014-10-01,15482,895,282,
51-06329700-9,2014-11-01,238,18,-3,
51-18000201-5,2014-11-01,285071,17326,-961,
51-18000100-6,2014-11-01,89875,5445,-116,
51-19326740-5,2014-11-01,8022,535,-2,
51-19326735-8,2014-11-01,14317,907,-567,
51-18000200-K,2014-12-01,18980,1109,-774,
51-18000200-K,2012-08-01,23543,1388,414,
51-06329700-9,2015-04-01,401,30,14,
51-18000100-6,2015-04-01,86456,5236,-381,
51-18025522-8,2015-04-01,21770,1222,551,
51-19326735-8,2015-04-01,1319,31,12,
51-06329700-9,2015-05-01,305,23,4,
5Y-24001800-5,2015-05-01,176625,10751,1447,
51-18000201-5,2015-05-01,330476,20103,5783,
51-19326735-8,2015-05-01,1282,28,-1459,
51-18000200-K,2015-06-01,12261,698,-239,
5Y-24001800-5,2015-06-01,177311,10793,2163,
51-18000201-5,2015-06-01,317215,19292,2647,
51-18025522-8,2015-06-01,23832,1348,478,
51-19326740-5,2015-06-01,9271,619,53,
51-19326735-8,2015-06-01,1017,6,-377,
51-18000200-K,2015-07-01,12736,727,-127,
5Y-24001800-5,2015-07-01,180483,10987,1365,
51-30963840-0,2015-07-01,43143,2587,200,
51-19326740-5,2015-07-01,12523,838,376,
51-19326735-8,2015-07-01,23079,1497,1310,
51-30963840-0,2015-08-01,38958,2331,942,
51-18000201-5,2015-08-01,348150,21184,4488,
51-19326740-5,2015-08-01,17110,1147,621,
51-18000200-K,2015-09-01,20827,1222,521,
51-06329700-9,2015-09-01,278,21,0,
5Y-24001800-5,2015-09-01,71527,4323,4507,
51-30963840-0,2015-09-01,25354,1499,501,
51-18000201-5,2015-09-01,363486,22122,5355,
51-18025522-8,2015-09-01,9573,476,-1679,
51-19326735-8,2015-09-01,13471,850,-112,
51-18000200-K,2015-10-01,13633,782,140,
51-18025522-8,2015-10-01,7808,368,-147,
51-19326740-5,2015-10-01,10132,655,148,
51-19326735-8,2015-10-01,4593,390,-505,
51-18000201-5,2015-11-01,334433,20345,3019,
51-18000100-6,2015-11-01,96448,5847,402,
51-18000200-K,2015-12-01,17739,1033,-76,
5Y-24001800-5,2015-12-01,225184,13721,-556,
51-18000100-6,2015-12-01,114578,6956,91,
51-19326740-5,2015-12-01,24669,1656,1088,
5Y-24001800-5,2016-01-01,182591,11116,-945,
51-18000201-5,2016-01-01,293934,17868,33,
51-18000100-6,2016-01-01,98621,5980,-970,
51-18025522-8,2016-01-01,8790,428,-247,
51-18000200-K,2016-02-01,14844,856,-231,
51-06329700-9,2016-02-01,265,20,1,
51-18000201-5,2016-02-01,296729,18039,-1012,
